MeV,Yield,error
3.875,0,0
4.125,0,0
4.375,1741200,3293700
4.625,2304200,2888800
4.875,3956800,2791700
5.125,-138630,1964000
5.375,3161300,2237400
5.625,258840,1772600
5.875,679460,1825100
6.125,1307400,1923000
6.375,2790000,2104100
6.625,1296200,1971900
6.875,5336500,2388500
7.125,5972300,2464200
7.375,1926900,2108700
7.625,10653000,2873500
7.875,4906800,2430300
8.125,5546600,2504800
8.375,12148000,3029700
8.625,20028000,3553500
8.875,20246000,3579700
9.125,23873000,3801400
9.375,33459000,4315600
9.625,30701000,4188400
9.875,20281000,3633100
10.125,11565000,3095400
10.375,4126900,2550900
10.625,4352400,2587300
10.875,2024400,2407200
11.125,-302360,2212400
11.375,2054100,2447100
11.625,2282700,2485200
11.875,-1318900,2175600
12.125,3168500,2594800
12.375,419600,2377500
12.625,225840,2378900
12.875,1735400,2528100
13.125,-1862200,2224500
13.375,1777200,2566400
13.625,-3947900,2058600
13.875,-2435600,2229300
14.125,-4328000,2062100
14.375,-260220,2464100
14.625,-1726100,2352800
14.875,-1914100,2354400
15.125,-824970,2468700
15.375,690990,2612900
15.625,79140,2579500
15.875,-2660400,2361000
16.125,1838000,2752300
16.375,1653800,2753800
16.625,618640,2688700
16.875,3840900,2947300
17.125,252710,2691700
17.375,496100,2726700
17.625,-4794200,2295300
17.875,2686900,2922100
18.125,-3880000,2414400
18.375,1899100,2893900
18.625,-5517700,2302800
18.875,1965000,2928000
19.125,2211500,2960300
19.375,1181400,2899900
19.625,2856100,3362800
19.875,-7446200,3375300
