WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
N190218-002 90-078:1,590000000.0,3700000000.0,11.97,0.54,0,0
N190218-002 90-078:3,500000000.0,170000000.0,12.03,0.1,0,0
N190218-002 90-078:4,350000000.0,55000000.0,11.94,0.09,0,0
N190505-002 90-078:1,850000000.0,250000000.0,11.7,0.08,0,0
N190505-002 90-078:3,460000000.0,110000000.0,11.81,0.11,0,0
N190505-002 90-078:4,520000000.0,120000000.0,11.83,0.08,0,0
N210912-002 90-078:1,1600000000.0,1000000000.0,11.97,0.1,0,0
N210928-004 90-078:1,940000000.0,300000000.0,11.49,0.08,0,0
N210928-004 90-078:3,1000000000.0,110000000.0,11.58,0.08,0,0
N210928-004 90-078:4,1600000000.0,440000000.0,11.54,0.08,0,0
