WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
N210712-001 90-078:1,38000000000.0,5900000000.0,13.82,0.08,0,0,34.6,16.5,0.0,0.0
N210713-001 00-000:1,41000000000.0,6600000000.0,13.95,0.07,0,0,30.0,11.6,0.0,0.0
N210713-001 90-078:1,53000000000.0,6300000000.0,14.03,0.08,0,0,27.3,9.2,0.0,0.0
N210713-002 00-000:1,68000000000.0,11000000000.0,13.84,0.7,0,0,33.9,15.6,0.0,0.0
N210713-002 90-078:1,100000000000.0,9000000000.0,14.02,0.08,0,0,27.7,9.8,0.0,0.0
N211116-001 00-000:1,52000000000.0,8600000000.0,13.93,0.07,0,0,30.7,12.4,0.0,0.0
N211116-001 90-078:1,39000000000.0,7700000000.0,13.92,0.08,0,0,31.1,12.8,0.0,0.0
N211116-002 00-000:1,55000000000.0,15000000000.0,14.03,0.14,0,0,27.4,10.1,0.0,0.0
N211116-002 90-078:1,180000000000.0,88000000000.0,13.99,0.07,0,0,28.7,10.5,0.0,0.0
N211117-001 00-000:1,77000000000.0,8700000000.0,14.05,0.07,0,0,26.7,8.8,0.0,0.0
N211117-001 90-078:1,93000000000.0,190000000000.0,14.09,0.1,0,0,25.4,8.0,0.0,0.0
N220405-002 00-00:1,61000000000.0,4200000000.0,14.0,0.07,0,0,40.0,6.3,0.0,0.0
N220405-002 90-78:1,120000000000.0,35000000000.0,13.71,0.07,0,0,52.3,7.1,0.0,0.0
N220405-003 00-00:1,21000000000.0,4500000000.0,13.73,0.07,0,0,51.6,6.9,0.0,0.0
N220405-003 90-78:1,29000000000.0,9600000000.0,13.77,0.07,0,0,49.6,6.8,0.0,0.0
N220406-001 00-00:1,20000000000.0,4700000000.0,13.57,0.08,0,0,59.5,7.9,0.0,0.0
N220406-001 90-78:1,18000000000.0,1600000000.0,13.54,0.07,0,0,60.9,7.7,0.0,0.0
N220511-001 00-000:1,34000000000.0,4500000000.0,14.14,0.07,0,0,34.0,6.2,0.0,0.0
N220511-001 90-315:1,23000000000.0,3700000000.0,13.88,0.11,0,0,45.0,7.4,0.0,0.0
