WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
N210223-002 90-078:4,20000000.0,14000000.0,12.2,0.8,0,0,0.0,0.0,76.1,28.0,0,0,nan,inf,nan,inf
N210223-002 90-124:1,17000000.0,11000000.0,11.3,1.4,0,0,0.0,0.0,107.6,49.0,0,0,nan,inf,nan,inf
N210223-003 90-124:1,43000000.0,21000000.0,10.5,0.4,0,0,0.0,0.0,118.1,19.1,0,0,nan,inf,nan,inf
N210223-003 90-124:4,33000000.0,110000000.0,9.9,1.3,0,0,0.0,0.0,155.9,45.2,0,0,nan,inf,nan,inf
N210623-002 90-078:1,26000000.0,19000000.0,12.07,1.57,0,0,0.0,0.0,92.8,55.3,0,0,nan,inf,nan,inf
N210623-002 90-124:1,37000000.0,160000000.0,10.86,2.6,0,0,0.0,0.0,135.8,89.8,0,0,nan,inf,nan,inf
N220207-001 90-078:1,91000000.0,70000000.0,10.98,0.35,0,0,0.0,0.0,134.5,16.7,0,0,nan,inf,nan,inf
N220207-001 90-124:1,100000000.0,340000000.0,10.47,0.63,0,0,0.0,0.0,152.7,26.1,0,0,nan,inf,nan,inf
N220208-001 90-078:1,130000000.0,190000000.0,9.16,0.37,0,0,0.0,0.0,195.6,20.2,0,0,nan,inf,nan,inf
N220208-001 90-124:1,69000000.0,210000000.0,9.24,0.53,0,0,0.0,0.0,192.8,23.6,0,0,nan,inf,nan,inf
N220905-002 90-078:1,980000000.0,1100000000.0,10.15,0.25,0,0,0.0,0.0,195.7,20.4,0,0,nan,inf,nan,inf
N220905-002 90-124:1,130000000.0,530000000.0,10.43,1.01,0,0,0.0,0.0,185.2,41.9,0,0,nan,inf,nan,inf
N220906-001 90-078:3,14000000.0,68000000.0,11.91,2.0,0,0,0.0,0.0,120.3,73.1,0,0,nan,inf,nan,inf
N220906-001 90-124:1,27000000.0,140000000.0,11.97,1.84,0,0,0.0,0.0,118.3,67.3,0,0,nan,inf,nan,inf
N230207-003 90-078:1,35000000.0,100000000.0,9.92,0.65,0,0,0.0,0.0,193.3,29.1,0,0,nan,inf,nan,inf
N230207-003 90-124:1,48000000.0,140000000.0,10.81,0.51,0,0,0.0,0.0,161.0,23.4,0,0,nan,inf,nan,inf
N230208-001 90-078:4,55000000.0,170000000.0,12.45,1.78,0,0,0.0,0.0,100.2,69.2,0,0,nan,inf,nan,inf
N230208-001 90-124:1,80000000.0,86000000.0,13.05,0.36,0,0,0.0,0.0,76.9,15.5,0,0,nan,inf,nan,inf
N230208-002 90-078:3,90000000.0,48000000.0,12.04,0.2,0,0,0.0,0.0,115.3,12.3,0,0,nan,inf,nan,inf
N230208-002 90-078:4,32000000.0,100000000.0,11.52,0.57,0,0,0.0,0.0,134.6,24.3,0,0,nan,inf,nan,inf
