WRF ANALYSIS
Date & time = ,2024-11-05, 07:56
Display format=,3
Program version:,2021-05-25

Scan file = ,N160215-003_DIM_0-0_Pos3_13425888_13512210_2hr_40x_s6
Port & distance (cm) =,dim 9078; pos 3,50.0
WRF ID; Al blast(um) & cal=,13425888-g058 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,15,15,10.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.293,0.009,0.99

Fit limits (MeV):,6.500,9.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 7.905,0.438,4.948e+09
Value (raw stats):, 7.902,0.420,4.939e+09
Uncertainties
    Random:, 0.062,0.004,6.89%
    Systematic calib:, 0.080,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.004,5.96%
     DvE:, 0.009,0.001,3.25%
     Dmax:, 0.023,0.000,1.20%
     WRF nonlinearity:, 0.022,0.000,0.00%
     Cal. & processing:, 0.053,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.925 	 0.000e+00 	 0.000e+00
3.975 	 0.000e+00 	 0.000e+00
4.025 	 0.000e+00 	 0.000e+00
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 -4.791e+06 	 1.072e+08
4.225 	 -6.438e+06 	 4.760e+07
4.275 	 -6.382e+06 	 2.808e+07
4.325 	 -6.436e+06 	 2.808e+07
4.375 	 -5.452e+06 	 1.862e+07
4.425 	 -5.496e+06 	 1.862e+07
4.475 	 7.801e+06 	 1.319e+07
4.525 	 -5.416e+06 	 1.319e+07
4.575 	 -4.972e+06 	 9.767e+06
4.625 	 -5.012e+06 	 9.768e+06
4.675 	 -5.053e+06 	 9.768e+06
4.725 	 -4.558e+06 	 7.464e+06
4.775 	 -4.594e+06 	 7.465e+06
4.825 	 -4.630e+06 	 7.465e+06
4.875 	 1.543e+06 	 5.842e+06
4.925 	 -4.314e+06 	 5.842e+06
4.975 	 1.478e+06 	 5.843e+06
5.025 	 7.270e+06 	 8.250e+06
5.075 	 -4.410e+06 	 5.843e+06
5.125 	 -4.443e+06 	 5.843e+06
5.175 	 -4.475e+06 	 5.844e+06
5.225 	 1.317e+06 	 5.844e+06
5.275 	 -4.540e+06 	 5.844e+06
5.325 	 7.077e+06 	 8.251e+06
5.375 	 1.287e+07 	 1.010e+07
5.425 	 -4.635e+06 	 5.845e+06
5.475 	 -4.668e+06 	 5.845e+06
5.525 	 1.125e+06 	 5.846e+06
5.575 	 -4.731e+06 	 5.846e+06
5.625 	 -4.764e+06 	 5.846e+06
5.675 	 -4.795e+06 	 5.847e+06
5.725 	 9.977e+05 	 5.847e+06
5.775 	 -4.858e+06 	 5.847e+06
5.825 	 6.758e+06 	 8.253e+06
5.875 	 3.002e+07 	 1.428e+07
5.925 	 -4.953e+06 	 5.848e+06
5.975 	 8.395e+05 	 5.848e+06
6.025 	 8.078e+05 	 5.849e+06
6.075 	 7.760e+05 	 5.849e+06
6.125 	 6.569e+06 	 8.254e+06
6.175 	 1.236e+07 	 1.010e+07
6.225 	 6.827e+05 	 5.850e+06
6.275 	 6.476e+06 	 8.255e+06
6.325 	 2.392e+07 	 1.304e+07
6.375 	 2.389e+07 	 1.304e+07
6.425 	 1.803e+07 	 1.166e+07
6.475 	 6.353e+06 	 8.256e+06
6.525 	 3.544e+07 	 1.542e+07
6.575 	 8.783e+07 	 2.330e+07
6.625 	 2.956e+07 	 1.428e+07
6.675 	 1.460e+08 	 2.970e+07
6.725 	 1.227e+08 	 2.732e+07
6.775 	 1.110e+08 	 2.605e+07
6.825 	 3.323e+08 	 4.436e+07
6.875 	 2.915e+08 	 4.160e+07
6.925 	 3.555e+08 	 4.586e+07
6.975 	 5.419e+08 	 5.647e+07
7.025 	 6.001e+08 	 5.940e+07
7.075 	 7.515e+08 	 6.641e+07
7.125 	 8.155e+08 	 6.916e+07
7.175 	 1.113e+09 	 8.071e+07
7.225 	 1.293e+09 	 8.698e+07
7.275 	 1.561e+09 	 9.553e+07
7.325 	 1.899e+09 	 1.053e+08
7.375 	 2.213e+09 	 1.137e+08
7.425 	 2.452e+09 	 1.196e+08
7.475 	 2.796e+09 	 1.277e+08
7.525 	 3.011e+09 	 1.326e+08
7.575 	 3.564e+09 	 1.442e+08
7.625 	 3.745e+09 	 1.478e+08
7.675 	 3.867e+09 	 1.502e+08
7.725 	 4.380e+09 	 1.598e+08
7.775 	 4.228e+09 	 1.570e+08
7.825 	 4.304e+09 	 1.584e+08
7.875 	 4.543e+09 	 1.628e+08
7.925 	 4.181e+09 	 1.562e+08
7.975 	 4.432e+09 	 1.608e+08
8.025 	 4.467e+09 	 1.614e+08
8.075 	 4.094e+09 	 1.545e+08
8.125 	 4.071e+09 	 1.541e+08
8.175 	 3.779e+09 	 1.485e+08
8.225 	 3.552e+09 	 1.440e+08
8.275 	 3.203e+09 	 1.367e+08
8.325 	 2.725e+09 	 1.261e+08
8.375 	 2.766e+09 	 1.271e+08
8.425 	 2.236e+09 	 1.143e+08
8.475 	 1.770e+09 	 1.017e+08
8.525 	 1.688e+09 	 9.936e+07
8.575 	 1.275e+09 	 8.639e+07
8.625 	 1.286e+09 	 8.678e+07
8.675 	 9.777e+08 	 7.572e+07
8.725 	 7.505e+08 	 6.641e+07
8.775 	 6.515e+08 	 6.192e+07
8.825 	 4.068e+08 	 4.908e+07
8.875 	 2.670e+08 	 3.994e+07
8.925 	 2.553e+08 	 3.908e+07
8.975 	 2.378e+08 	 3.775e+07
9.025 	 8.637e+07 	 2.331e+07
