WRF ANALYSIS
Date & time = ,2024-11-05, 08:04
Display format=,3
Program version:,2021-05-25

Scan file = ,N160215-004_90-78_Pos3_WRF-13425869_CR39-13512195_2hr_100x_s6
Port & distance (cm) =,dim 9078; pos3,50.0
WRF ID; Al blast(um) & cal=,13425869-g039 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(61-203),(0-168),-1.158,1.151,-0.989,1.000
Back x0; x1; y0; y1 (cm) =,0,28,0,168,
C; e; Dmax; dDmax; Dscale =,8,15,9.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,15.50,no

DvE fit: c; dc; red. Chi^2 =, 1.519,0.040,2.78

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.627,0.272,8.747e+09
Value (raw stats):, 14.639,0.258,8.654e+09
Uncertainties
    Random:, 0.040,0.003,15.68%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.004,0.003,4.66%
     DvE:, 0.009,0.000,14.95%
     Dmax:, 0.020,0.000,0.67%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 1.028e+08 	 1.078e+08
4.375 	 -4.006e+06 	 4.704e+07
4.425 	 -3.281e+06 	 3.503e+07
4.475 	 1.821e+07 	 2.162e+07
4.525 	 -2.788e+06 	 1.758e+07
4.575 	 -2.811e+06 	 1.758e+07
4.625 	 -2.833e+06 	 1.758e+07
4.675 	 -2.856e+06 	 1.758e+07
4.725 	 -2.878e+06 	 1.758e+07
4.775 	 -2.901e+06 	 1.758e+07
4.825 	 -2.923e+06 	 1.758e+07
4.875 	 -2.946e+06 	 1.758e+07
4.925 	 -2.969e+06 	 1.758e+07
4.975 	 -2.990e+06 	 1.758e+07
5.025 	 1.455e+07 	 1.758e+07
5.075 	 -3.035e+06 	 1.758e+07
5.125 	 -3.057e+06 	 1.758e+07
5.175 	 3.205e+07 	 2.485e+07
5.225 	 -3.101e+06 	 1.758e+07
5.275 	 1.444e+07 	 1.758e+07
5.325 	 -3.146e+06 	 1.758e+07
5.375 	 -3.168e+06 	 1.758e+07
5.425 	 -3.189e+06 	 1.758e+07
5.475 	 1.435e+07 	 1.758e+07
5.525 	 -3.234e+06 	 1.758e+07
5.575 	 -3.255e+06 	 1.758e+07
5.625 	 -3.278e+06 	 1.758e+07
5.675 	 -3.299e+06 	 1.758e+07
5.725 	 1.424e+07 	 1.758e+07
5.775 	 -3.343e+06 	 1.758e+07
5.825 	 -3.365e+06 	 1.758e+07
5.875 	 -3.386e+06 	 1.758e+07
5.925 	 -3.408e+06 	 1.758e+07
5.975 	 -3.430e+06 	 1.758e+07
6.025 	 -3.452e+06 	 1.758e+07
6.075 	 -3.473e+06 	 1.758e+07
6.125 	 1.407e+07 	 1.758e+07
6.175 	 -3.516e+06 	 1.758e+07
6.225 	 1.403e+07 	 1.758e+07
6.275 	 -3.559e+06 	 1.758e+07
6.325 	 -3.580e+06 	 1.758e+07
6.375 	 -3.602e+06 	 1.758e+07
6.425 	 3.151e+07 	 2.485e+07
6.475 	 -3.644e+06 	 1.758e+07
6.525 	 -3.665e+06 	 1.758e+07
6.575 	 -3.685e+06 	 1.758e+07
6.625 	 3.142e+07 	 2.485e+07
6.675 	 1.384e+07 	 1.758e+07
6.725 	 1.382e+07 	 1.758e+07
6.775 	 -3.770e+06 	 1.758e+07
6.825 	 -3.791e+06 	 1.759e+07
6.875 	 -3.812e+06 	 1.759e+07
