Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.625000000000000000e+00,-5.824000000000000000e+06,2.621000000000000000e+07
4.674999999999999822e+00,-5.870000000000000000e+06,2.621000000000000000e+07
4.724999999999999645e+00,-6.724000000000000000e+06,1.753000000000000000e+07
4.775000000000000355e+00,-6.778000000000000000e+06,1.753000000000000000e+07
4.825000000000000178e+00,-6.413000000000000000e+06,1.254000000000000000e+07
4.875000000000000000e+00,1.857000000000000000e+07,1.771000000000000000e+07
4.924999999999999822e+00,-6.896000000000000000e+06,9.372000000000000000e+06
4.974999999999999645e+00,2.399000000000000000e+06,9.373000000000000000e+06
5.025000000000000355e+00,2.347000000000000000e+06,9.373000000000000000e+06
5.075000000000000178e+00,-2.888000000000000000e+05,7.231000000000000000e+06
5.125000000000000000e+00,-7.546000000000000000e+06,7.231000000000000000e+06
5.174999999999999822e+00,2.120000000000000000e+07,1.442000000000000000e+07
5.224999999999999645e+00,-2.983000000000000000e+06,5.713000000000000000e+06
5.275000000000000355e+00,-3.047000000000000000e+06,5.714000000000000000e+06
5.325000000000000178e+00,2.570000000000000000e+06,8.056000000000000000e+06
5.375000000000000000e+00,2.508000000000000000e+06,8.056000000000000000e+06
5.424999999999999822e+00,-3.230000000000000000e+06,5.715000000000000000e+06
5.474999999999999645e+00,-8.970000000000000000e+06,5.716000000000000000e+06
5.525000000000000355e+00,1.368000000000000000e+07,1.138000000000000000e+07
5.575000000000000178e+00,2.264000000000000000e+06,8.057000000000000000e+06
5.625000000000000000e+00,-3.476000000000000000e+06,5.717000000000000000e+06
5.674999999999999822e+00,-3.536000000000000000e+06,5.718000000000000000e+06
5.724999999999999645e+00,-3.597000000000000000e+06,5.718000000000000000e+06
5.775000000000000355e+00,2.020000000000000000e+06,8.059000000000000000e+06
5.825000000000000178e+00,7.637000000000000000e+06,9.859000000000000000e+06
5.875000000000000000e+00,7.576000000000000000e+06,9.859000000000000000e+06
5.924999999999999822e+00,-3.840000000000000000e+06,5.720000000000000000e+06
5.974999999999999645e+00,-3.901000000000000000e+06,5.721000000000000000e+06
6.025000000000000355e+00,1.716000000000000000e+06,8.061000000000000000e+06
6.075000000000000178e+00,1.301000000000000000e+07,1.138000000000000000e+07
6.125000000000000000e+00,7.273000000000000000e+06,9.860000000000000000e+06
6.174999999999999822e+00,-4.143000000000000000e+06,5.723000000000000000e+06
6.224999999999999645e+00,7.154000000000000000e+06,9.861000000000000000e+06
6.275000000000000355e+00,1.277000000000000000e+07,1.138000000000000000e+07
6.325000000000000178e+00,2.407000000000000000e+07,1.393000000000000000e+07
6.375000000000000000e+00,1.265000000000000000e+07,1.138000000000000000e+07
6.424999999999999822e+00,1.827000000000000000e+07,1.272000000000000000e+07
6.474999999999999645e+00,1.179000000000000000e+06,8.064000000000000000e+06
6.525000000000000355e+00,1.121000000000000000e+06,8.065000000000000000e+06
6.575000000000000178e+00,1.242000000000000000e+07,1.138000000000000000e+07
6.625000000000000000e+00,2.939000000000000000e+07,1.504000000000000000e+07
6.674999999999999822e+00,1.230000000000000000e+07,1.138000000000000000e+07
6.724999999999999645e+00,1.224000000000000000e+07,1.138000000000000000e+07
6.775000000000000355e+00,4.057000000000000000e+07,1.705000000000000000e+07
6.825000000000000178e+00,6.891000000000000000e+07,2.126000000000000000e+07
6.875000000000000000e+00,5.181000000000000000e+07,1.885000000000000000e+07
6.924999999999999822e+00,8.015000000000000000e+07,2.273000000000000000e+07
6.974999999999999645e+00,1.255000000000000000e+08,2.783000000000000000e+07
7.025000000000000355e+00,9.706000000000000000e+07,2.476000000000000000e+07
7.075000000000000178e+00,1.481000000000000000e+08,3.006000000000000000e+07
7.125000000000000000e+00,2.048000000000000000e+08,3.501000000000000000e+07
7.174999999999999822e+00,3.467000000000000000e+08,4.508000000000000000e+07
7.224999999999999645e+00,4.545000000000000000e+08,5.142000000000000000e+07
7.275000000000000355e+00,4.545000000000000000e+08,5.142000000000000000e+07
7.325000000000000178e+00,6.191000000000000000e+08,5.983000000000000000e+07
7.375000000000000000e+00,6.304000000000000000e+08,6.036000000000000000e+07
7.424999999999999822e+00,9.369000000000000000e+08,7.338000000000000000e+07
7.474999999999999645e+00,1.062000000000000000e+09,7.806000000000000000e+07
7.525000000000000355e+00,1.221000000000000000e+09,8.365000000000000000e+07
7.575000000000000178e+00,1.556000000000000000e+09,9.433000000000000000e+07
7.625000000000000000e+00,1.777000000000000000e+09,1.008000000000000000e+08
7.674999999999999822e+00,2.106000000000000000e+09,1.097000000000000000e+08
7.724999999999999645e+00,2.424000000000000000e+09,1.176000000000000000e+08
7.775000000000000355e+00,2.776000000000000000e+09,1.258000000000000000e+08
7.825000000000000178e+00,3.338000000000000000e+09,1.379000000000000000e+08
7.875000000000000000e+00,3.594000000000000000e+09,1.431000000000000000e+08
7.924999999999999822e+00,4.082000000000000000e+09,1.525000000000000000e+08
7.974999999999999645e+00,4.303000000000000000e+09,1.565000000000000000e+08
