WRF ANALYSIS
Date & time = ,2023-10-04, 14:59
Display format=,3
Program version:,2021-05-25

Scan file = ,N160731-001-999_WRF_00-00_Pos2_13425870_AL_13512351_S2_40x_2hr
Port & distance (cm) =,p2_2,50.0
WRF ID; Al blast(um) & cal=,13425870-g040 *-2?,0,cal16.1014

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,16,15,9.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,15.50,no

DvE fit: c; dc; red. Chi^2 =, 1.460,0.024,1.22

Fit limits (MeV):,8.500,11.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 9.803,0.468,2.224e+09
Value (raw stats):, 9.793,0.446,2.213e+09
Uncertainties
    Random:, 0.055,0.011,13.13%
    Systematic calib:, 0.122,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.007,0.011,8.77%
     DvE:, 0.013,0.003,9.70%
     Dmax:, 0.025,0.000,1.18%
     WRF nonlinearity:, 0.019,0.000,0.00%
     Cal. & processing:, 0.043,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 -4.793e+06 	 1.541e+08
4.475 	 -4.689e+06 	 4.273e+07
4.525 	 -3.676e+06 	 2.908e+07
4.575 	 -3.358e+06 	 2.108e+07
4.625 	 -3.385e+06 	 2.108e+07
4.675 	 -2.706e+06 	 1.592e+07
4.725 	 -2.828e+06 	 1.239e+07
4.775 	 -2.850e+06 	 1.239e+07
4.825 	 -2.693e+06 	 9.854e+06
4.875 	 -2.713e+06 	 9.854e+06
4.925 	 -2.734e+06 	 9.855e+06
4.975 	 7.089e+06 	 9.855e+06
5.025 	 -2.775e+06 	 9.855e+06
5.075 	 7.048e+06 	 9.855e+06
5.125 	 -2.816e+06 	 9.855e+06
5.175 	 7.007e+06 	 9.855e+06
5.225 	 -2.856e+06 	 9.856e+06
5.275 	 -2.877e+06 	 9.856e+06
5.325 	 6.946e+06 	 9.856e+06
5.375 	 -2.918e+06 	 9.856e+06
5.425 	 -2.937e+06 	 9.856e+06
5.475 	 -2.958e+06 	 9.856e+06
5.525 	 -2.978e+06 	 9.857e+06
5.575 	 -2.998e+06 	 9.857e+06
5.625 	 -3.019e+06 	 9.857e+06
5.675 	 -3.038e+06 	 9.857e+06
5.725 	 -3.059e+06 	 9.857e+06
5.775 	 6.764e+06 	 9.858e+06
5.825 	 -3.099e+06 	 9.858e+06
5.875 	 -3.119e+06 	 9.858e+06
5.925 	 -3.139e+06 	 9.858e+06
5.975 	 -3.159e+06 	 9.858e+06
6.025 	 -3.179e+06 	 9.859e+06
6.075 	 -3.199e+06 	 9.859e+06
6.125 	 1.647e+07 	 1.393e+07
6.175 	 6.605e+06 	 9.859e+06
6.225 	 -3.258e+06 	 9.859e+06
6.275 	 -3.278e+06 	 9.860e+06
6.325 	 -3.297e+06 	 9.860e+06
6.375 	 -3.317e+06 	 9.860e+06
6.425 	 6.506e+06 	 9.860e+06
6.475 	 -3.356e+06 	 9.860e+06
6.525 	 6.468e+06 	 9.861e+06
6.575 	 -3.394e+06 	 9.861e+06
6.625 	 6.429e+06 	 9.861e+06
6.675 	 -3.433e+06 	 9.861e+06
6.725 	 -3.452e+06 	 9.861e+06
6.775 	 -3.472e+06 	 9.862e+06
6.825 	 -3.491e+06 	 9.862e+06
6.875 	 -3.511e+06 	 9.862e+06
6.925 	 6.314e+06 	 9.862e+06
6.975 	 -3.549e+06 	 9.862e+06
7.025 	 -3.568e+06 	 9.863e+06
7.075 	 6.256e+06 	 9.863e+06
7.125 	 -3.607e+06 	 9.863e+06
7.175 	 -3.626e+06 	 9.863e+06
7.225 	 6.198e+06 	 9.863e+06
7.275 	 6.179e+06 	 9.864e+06
7.325 	 2.585e+07 	 1.706e+07
7.375 	 -3.702e+06 	 9.864e+06
7.425 	 -3.722e+06 	 9.864e+06
7.475 	 6.103e+06 	 9.865e+06
7.525 	 6.083e+06 	 9.865e+06
7.575 	 -3.779e+06 	 9.865e+06
7.625 	 6.045e+06 	 9.865e+06
7.675 	 -3.817e+06 	 9.865e+06
7.725 	 1.585e+07 	 1.394e+07
7.775 	 1.583e+07 	 1.394e+07
7.825 	 2.566e+07 	 1.706e+07
7.875 	 5.950e+06 	 9.866e+06
7.925 	 -3.911e+06 	 9.867e+06
7.975 	 3.544e+07 	 1.970e+07
8.025 	 4.527e+07 	 2.202e+07
8.075 	 5.875e+06 	 9.867e+06
8.125 	 3.538e+07 	 1.970e+07
8.175 	 2.552e+07 	 1.706e+07
8.225 	 3.535e+07 	 1.970e+07
8.275 	 -4.043e+06 	 9.868e+06
8.325 	 3.531e+07 	 1.970e+07
8.375 	 7.466e+07 	 2.785e+07
8.425 	 6.480e+07 	 2.605e+07
8.475 	 1.238e+08 	 3.550e+07
8.525 	 8.445e+07 	 2.954e+07
