WRF ANALYSIS
Date & time = ,2023-10-04, 15:07
Display format=,3
Program version:,2021-05-25

Scan file = ,N160731-001-999_WRF_00-00_Pos3_13425869_AL_13512375_S2_40x_2hr
Port & distance (cm) =,p3_3,50.0
WRF ID; Al blast(um) & cal=,13425869-g039 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,64,75,0,63,
Back x0; x1; y0; y1 (cm) =,25,43,0,63,
C; e; Dmax; dDmax; Dscale =,19,15,9.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.390,0.020,2.47

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.787,0.326,4.170e+09
Value (raw stats):, 14.778,0.324,4.203e+09
Uncertainties
    Random:, 0.040,0.005,10.31%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.005,0.005,6.97%
     DvE:, 0.009,0.000,7.57%
     Dmax:, 0.021,0.000,0.68%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 -1.992e+07 	 6.544e+07
4.375 	 -2.394e+07 	 3.885e+07
4.425 	 7.890e+05 	 2.578e+07
4.475 	 -2.509e+07 	 2.578e+07
4.525 	 -8.580e+06 	 1.820e+07
4.575 	 -8.747e+06 	 1.820e+07
4.625 	 -1.393e+07 	 1.338e+07
4.675 	 1.253e+07 	 2.310e+07
4.725 	 -1.936e+07 	 1.015e+07
4.775 	 -9.458e+06 	 1.431e+07
4.825 	 6.119e+05 	 1.567e+07
4.875 	 -7.379e+06 	 1.358e+07
4.925 	 2.537e+05 	 1.567e+07
4.975 	 8.372e+04 	 1.567e+07
5.025 	 3.116e+07 	 2.213e+07
5.075 	 -2.572e+05 	 1.567e+07
5.125 	 1.519e+07 	 1.917e+07
5.175 	 -5.975e+05 	 1.567e+07
5.225 	 -7.609e+05 	 1.567e+07
5.275 	 -8.746e+06 	 1.358e+07
5.325 	 1.453e+07 	 1.917e+07
5.375 	 1.437e+07 	 1.918e+07
5.425 	 2.203e+07 	 2.071e+07
5.475 	 -1.572e+06 	 1.567e+07
5.525 	 2.171e+07 	 2.071e+07
5.575 	 -9.694e+06 	 1.359e+07
5.625 	 -1.766e+07 	 1.112e+07
5.675 	 -2.185e+06 	 1.567e+07
5.725 	 -1.796e+07 	 1.112e+07
5.775 	 -3.374e+07 	 7.911e+06
5.825 	 1.300e+07 	 1.918e+07
5.875 	 -2.621e+07 	 7.913e+06
5.925 	 -2.915e+06 	 1.568e+07
5.975 	 -1.087e+07 	 1.359e+07
6.025 	 4.615e+06 	 1.752e+07
6.075 	 -1.115e+07 	 1.359e+07
6.125 	 -3.471e+06 	 1.568e+07
6.175 	 4.210e+06 	 1.752e+07
6.225 	 -1.936e+07 	 1.113e+07
6.275 	 -2.730e+07 	 7.921e+06
6.325 	 -3.524e+07 	 7.922e+06
6.375 	 -2.756e+07 	 7.923e+06
6.425 	 -1.986e+07 	 1.113e+07
6.475 	 -3.561e+07 	 7.924e+06
6.525 	 -2.010e+07 	 1.113e+07
6.575 	 3.229e+06 	 1.752e+07
6.625 	 -4.708e+06 	 1.568e+07
6.675 	 -4.816e+06 	 1.568e+07
6.725 	 -2.055e+07 	 1.113e+07
6.775 	 -1.285e+07 	 1.360e+07
6.825 	 -2.859e+07 	 7.931e+06
