WRF ANALYSIS
Date & time = ,2023-10-04, 15:24
Display format=,3
Program version:,2021-05-25

Scan file = ,N160731-001-999_WRF_90-78_Pos4_13425890_AL_13512364_S2_40x_2hr
Port & distance (cm) =,p4_2,50.0
WRF ID; Al blast(um) & cal=,13425890-g060 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,18,15,9.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.50,14.50,no

DvE fit: c; dc; red. Chi^2 =, 1.462,0.053,1.87

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.856,0.346,5.066e+09
Value (raw stats):, 14.848,0.328,5.053e+09
Uncertainties
    Random:, 0.042,0.007,22.46%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.006,0.007,5.48%
     DvE:, 0.017,0.003,21.77%
     Dmax:, 0.021,0.000,0.67%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 -2.422e+06 	 1.010e+08
4.575 	 -1.447e+06 	 4.489e+07
4.625 	 3.246e+07 	 3.384e+07
4.675 	 -2.283e+06 	 2.145e+07
4.725 	 1.534e+07 	 1.769e+07
4.775 	 1.532e+07 	 1.769e+07
4.825 	 -2.371e+06 	 1.769e+07
4.875 	 -2.389e+06 	 1.769e+07
4.925 	 -2.408e+06 	 1.769e+07
4.975 	 -2.426e+06 	 1.769e+07
5.025 	 1.523e+07 	 1.769e+07
5.075 	 1.522e+07 	 1.769e+07
5.125 	 -2.480e+06 	 1.769e+07
5.175 	 -2.498e+06 	 1.769e+07
5.225 	 -2.515e+06 	 1.769e+07
5.275 	 -2.534e+06 	 1.769e+07
5.325 	 1.513e+07 	 1.769e+07
5.375 	 -2.570e+06 	 1.769e+07
5.425 	 1.509e+07 	 1.769e+07
5.475 	 -2.605e+06 	 1.769e+07
5.525 	 -2.623e+06 	 1.769e+07
5.575 	 -2.640e+06 	 1.769e+07
5.625 	 -2.659e+06 	 1.769e+07
5.675 	 -2.676e+06 	 1.769e+07
5.725 	 -2.694e+06 	 1.769e+07
5.775 	 -2.711e+06 	 1.769e+07
5.825 	 -2.729e+06 	 1.769e+07
5.875 	 1.493e+07 	 1.769e+07
5.925 	 -2.764e+06 	 1.769e+07
5.975 	 -2.782e+06 	 1.769e+07
6.025 	 -2.800e+06 	 1.769e+07
