Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.924999999999999822e+00,-2.726000000000000000e+06,2.470000000000000000e+07
4.974999999999999645e+00,-2.746000000000000000e+06,2.470000000000000000e+07
5.025000000000000355e+00,-2.608000000000000000e+06,1.781000000000000000e+07
5.075000000000000178e+00,-2.904000000000000000e+06,1.339000000000000000e+07
5.125000000000000000e+00,-2.926000000000000000e+06,1.340000000000000000e+07
5.174999999999999822e+00,7.812000000000000000e+06,1.038000000000000000e+07
5.224999999999999645e+00,-2.576000000000000000e+06,1.038000000000000000e+07
5.275000000000000355e+00,6.019000000000000000e+06,8.233000000000000000e+06
5.325000000000000178e+00,6.003000000000000000e+06,8.233000000000000000e+06
5.375000000000000000e+00,-2.236000000000000000e+06,8.233000000000000000e+06
5.424999999999999822e+00,5.972000000000000000e+06,8.233000000000000000e+06
5.474999999999999645e+00,-2.266000000000000000e+06,8.234000000000000000e+06
5.525000000000000355e+00,-2.282000000000000000e+06,8.234000000000000000e+06
5.575000000000000178e+00,5.926000000000000000e+06,8.234000000000000000e+06
5.625000000000000000e+00,-2.313000000000000000e+06,8.234000000000000000e+06
5.674999999999999822e+00,-2.328000000000000000e+06,8.234000000000000000e+06
5.724999999999999645e+00,-2.344000000000000000e+06,8.234000000000000000e+06
5.775000000000000355e+00,5.864000000000000000e+06,8.234000000000000000e+06
5.825000000000000178e+00,5.849000000000000000e+06,8.235000000000000000e+06
5.875000000000000000e+00,-2.390000000000000000e+06,8.235000000000000000e+06
5.924999999999999822e+00,5.818000000000000000e+06,8.235000000000000000e+06
5.974999999999999645e+00,5.803000000000000000e+06,8.235000000000000000e+06
6.025000000000000355e+00,-2.436000000000000000e+06,8.235000000000000000e+06
6.075000000000000178e+00,-2.451000000000000000e+06,8.235000000000000000e+06
6.125000000000000000e+00,5.757000000000000000e+06,8.235000000000000000e+06
6.174999999999999822e+00,-2.481000000000000000e+06,8.236000000000000000e+06
6.224999999999999645e+00,-2.496000000000000000e+06,8.236000000000000000e+06
6.275000000000000355e+00,5.712000000000000000e+06,8.236000000000000000e+06
6.325000000000000178e+00,1.392000000000000000e+07,1.164000000000000000e+07
6.375000000000000000e+00,-2.542000000000000000e+06,8.236000000000000000e+06
6.424999999999999822e+00,1.389000000000000000e+07,1.164000000000000000e+07
6.474999999999999645e+00,1.387000000000000000e+07,1.164000000000000000e+07
6.525000000000000355e+00,-2.586000000000000000e+06,8.237000000000000000e+06
6.575000000000000178e+00,-2.601000000000000000e+06,8.237000000000000000e+06
6.625000000000000000e+00,5.607000000000000000e+06,8.237000000000000000e+06
6.674999999999999822e+00,-2.630000000000000000e+06,8.237000000000000000e+06
6.724999999999999645e+00,5.578000000000000000e+06,8.237000000000000000e+06
6.775000000000000355e+00,-2.660000000000000000e+06,8.237000000000000000e+06
6.825000000000000178e+00,-2.675000000000000000e+06,8.238000000000000000e+06
6.875000000000000000e+00,5.533000000000000000e+06,8.238000000000000000e+06
6.924999999999999822e+00,5.519000000000000000e+06,8.238000000000000000e+06
6.974999999999999645e+00,-2.719000000000000000e+06,8.238000000000000000e+06
7.025000000000000355e+00,1.371000000000000000e+07,1.164000000000000000e+07
7.075000000000000178e+00,5.474000000000000000e+06,8.238000000000000000e+06
7.125000000000000000e+00,-2.764000000000000000e+06,8.239000000000000000e+06
7.174999999999999822e+00,-2.778000000000000000e+06,8.239000000000000000e+06
7.224999999999999645e+00,-2.793000000000000000e+06,8.239000000000000000e+06
7.275000000000000355e+00,5.416000000000000000e+06,8.239000000000000000e+06
7.325000000000000178e+00,-2.823000000000000000e+06,8.239000000000000000e+06
7.375000000000000000e+00,-2.837000000000000000e+06,8.239000000000000000e+06
7.424999999999999822e+00,5.371000000000000000e+06,8.240000000000000000e+06
7.474999999999999645e+00,5.357000000000000000e+06,8.240000000000000000e+06
7.525000000000000355e+00,5.342000000000000000e+06,8.240000000000000000e+06
7.575000000000000178e+00,1.355000000000000000e+07,1.164000000000000000e+07
7.625000000000000000e+00,5.313000000000000000e+06,8.240000000000000000e+06
7.674999999999999822e+00,2.174000000000000000e+07,1.425000000000000000e+07
7.724999999999999645e+00,5.284000000000000000e+06,8.241000000000000000e+06
7.775000000000000355e+00,5.270000000000000000e+06,8.241000000000000000e+06
7.825000000000000178e+00,1.348000000000000000e+07,1.164000000000000000e+07
7.875000000000000000e+00,5.241000000000000000e+06,8.241000000000000000e+06
7.924999999999999822e+00,1.345000000000000000e+07,1.164000000000000000e+07
7.974999999999999645e+00,-3.011000000000000000e+06,8.241000000000000000e+06
8.025000000000000355e+00,1.342000000000000000e+07,1.164000000000000000e+07
8.074999999999999289e+00,1.341000000000000000e+07,1.164000000000000000e+07
8.125000000000000000e+00,2.161000000000000000e+07,1.425000000000000000e+07
8.175000000000000711e+00,5.154000000000000000e+06,8.242000000000000000e+06
8.224999999999999645e+00,6.270000000000000000e+07,2.327000000000000000e+07
8.275000000000000355e+00,5.125000000000000000e+06,8.243000000000000000e+06
8.324999999999999289e+00,2.156000000000000000e+07,1.425000000000000000e+07
8.375000000000000000e+00,2.154000000000000000e+07,1.425000000000000000e+07
8.425000000000000711e+00,4.620000000000000000e+07,2.015000000000000000e+07
