WRF ANALYSIS
Date & time = ,2023-10-04, 15:35
Display format=,3
Program version:,2021-05-25

Scan file = ,N160731-003--999_WRF_00-00_Pos3_13425874_AL_13512322_S2_40x_1.5hr
Port & distance (cm) =,p3_3,50.0
WRF ID; Al blast(um) & cal=,13425874-g044 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,17,15,7.55,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.50,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.414,0.037,1.46

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.818,0.314,3.395e+09
Value (raw stats):, 14.828,0.298,3.379e+09
Uncertainties
    Random:, 0.043,0.006,15.47%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.005,0.006,6.25%
     DvE:, 0.011,0.000,14.13%
     Dmax:, 0.025,0.000,0.81%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 -5.294e+06 	 8.540e+07
4.425 	 4.759e+07 	 5.253e+07
4.475 	 -4.820e+06 	 2.661e+07
4.525 	 -5.331e+06 	 2.035e+07
4.575 	 7.595e+07 	 4.067e+07
4.625 	 5.852e+07 	 3.198e+07
4.675 	 8.456e+07 	 3.398e+07
4.725 	 5.884e+07 	 2.872e+07
4.775 	 1.744e+08 	 4.805e+07
4.825 	 1.101e+08 	 3.853e+07
4.875 	 1.486e+08 	 4.449e+07
4.925 	 1.357e+08 	 4.260e+07
4.975 	 1.870e+08 	 4.974e+07
5.025 	 1.613e+08 	 4.631e+07
5.075 	 1.356e+08 	 4.260e+07
5.125 	 1.741e+08 	 4.806e+07
5.175 	 1.740e+08 	 4.806e+07
5.225 	 1.740e+08 	 4.806e+07
5.275 	 2.125e+08 	 5.295e+07
5.325 	 2.638e+08 	 5.885e+07
5.375 	 1.610e+08 	 4.631e+07
5.425 	 2.894e+08 	 6.159e+07
5.475 	 3.279e+08 	 6.548e+07
5.525 	 2.765e+08 	 6.024e+07
5.575 	 2.764e+08 	 6.024e+07
5.625 	 3.021e+08 	 6.292e+07
5.675 	 1.736e+08 	 4.806e+07
5.725 	 4.047e+08 	 7.265e+07
5.775 	 3.919e+08 	 7.150e+07
5.825 	 3.148e+08 	 6.421e+07
5.875 	 2.634e+08 	 5.885e+07
5.925 	 4.559e+08 	 7.705e+07
5.975 	 3.788e+08 	 7.034e+07
6.025 	 2.119e+08 	 5.295e+07
6.075 	 2.503e+08 	 5.744e+07
6.125 	 4.044e+08 	 7.265e+07
6.175 	 4.429e+08 	 7.598e+07
6.225 	 3.530e+08 	 6.796e+07
6.275 	 3.272e+08 	 6.549e+07
6.325 	 3.657e+08 	 6.916e+07
6.375 	 3.528e+08 	 6.796e+07
6.425 	 3.271e+08 	 6.549e+07
6.475 	 2.886e+08 	 6.159e+07
6.525 	 3.527e+08 	 6.796e+07
6.575 	 3.142e+08 	 6.422e+07
6.625 	 2.499e+08 	 5.744e+07
6.675 	 2.114e+08 	 5.296e+07
6.725 	 2.242e+08 	 5.449e+07
6.775 	 2.241e+08 	 5.449e+07
6.825 	 2.883e+08 	 6.159e+07
6.875 	 2.369e+08 	 5.598e+07
6.925 	 2.497e+08 	 5.744e+07
6.975 	 1.469e+08 	 4.450e+07
7.025 	 2.239e+08 	 5.449e+07
7.075 	 1.468e+08 	 4.450e+07
7.125 	 1.853e+08 	 4.975e+07
7.175 	 2.495e+08 	 5.744e+07
7.225 	 2.880e+08 	 6.159e+07
7.275 	 1.852e+08 	 4.975e+07
7.325 	 3.007e+08 	 6.292e+07
7.375 	 8.239e+07 	 3.399e+07
7.425 	 2.364e+08 	 5.599e+07
7.475 	 1.337e+08 	 4.260e+07
7.525 	 2.877e+08 	 6.160e+07
7.575 	 2.877e+08 	 6.160e+07
7.625 	 1.721e+08 	 4.806e+07
7.675 	 2.106e+08 	 5.296e+07
7.725 	 2.362e+08 	 5.599e+07
7.775 	 1.848e+08 	 4.975e+07
7.825 	 1.334e+08 	 4.260e+07
7.875 	 1.719e+08 	 4.806e+07
7.925 	 1.719e+08 	 4.806e+07
7.975 	 1.718e+08 	 4.806e+07
8.025 	 1.846e+08 	 4.975e+07
8.075 	 1.846e+08 	 4.975e+07
8.125 	 2.231e+08 	 5.449e+07
8.175 	 1.845e+08 	 4.975e+07
8.225 	 3.000e+08 	 6.292e+07
8.275 	 3.257e+08 	 6.549e+07
8.325 	 2.614e+08 	 5.886e+07
8.375 	 3.256e+08 	 6.549e+07
8.425 	 4.411e+08 	 7.598e+07
8.475 	 6.979e+08 	 9.524e+07
8.525 	 5.310e+08 	 8.323e+07
8.575 	 6.208e+08 	 8.990e+07
8.625 	 9.932e+08 	 1.134e+08
8.675 	 8.134e+08 	 1.027e+08
8.725 	 8.647e+08 	 1.059e+08
8.775 	 8.903e+08 	 1.074e+08
8.825 	 1.109e+09 	 1.198e+08
8.875 	 9.545e+08 	 1.112e+08
8.925 	 8.645e+08 	 1.059e+08
8.975 	 1.083e+09 	 1.184e+08
9.025 	 9.672e+08 	 1.120e+08
9.075 	 1.481e+09 	 1.383e+08
9.125 	 1.622e+09 	 1.447e+08
9.175 	 1.378e+09 	 1.335e+08
9.225 	 1.173e+09 	 1.232e+08
9.275 	 1.532e+09 	 1.407e+08
9.325 	 1.018e+09 	 1.149e+08
9.375 	 1.198e+09 	 1.245e+08
9.425 	 9.669e+08 	 1.120e+08
9.475 	 7.999e+08 	 1.019e+08
9.525 	 8.898e+08 	 1.074e+08
9.575 	 9.026e+08 	 1.082e+08
9.625 	 8.383e+08 	 1.043e+08
9.675 	 6.200e+08 	 8.990e+07
9.725 	 4.659e+08 	 7.812e+07
9.775 	 5.814e+08 	 8.711e+07
9.825 	 4.786e+08 	 7.917e+07
9.875 	 3.245e+08 	 6.549e+07
9.925 	 3.630e+08 	 6.917e+07
9.975 	 3.244e+08 	 6.549e+07
10.025 	 3.372e+08 	 6.674e+07
10.075 	 2.987e+08 	 6.292e+07
10.125 	 2.858e+08 	 6.160e+07
10.175 	 1.830e+08 	 4.975e+07
10.225 	 9.309e+07 	 3.635e+07
10.275 	 1.444e+08 	 4.451e+07
10.325 	 8.018e+07 	 3.400e+07
10.375 	 1.315e+08 	 4.261e+07
10.425 	 1.058e+08 	 3.855e+07
10.475 	 8.007e+07 	 3.400e+07
10.525 	 2.867e+07 	 2.229e+07
10.575 	 5.431e+07 	 2.875e+07
10.625 	 4.144e+07 	 2.572e+07
10.675 	 2.856e+07 	 2.229e+07
10.725 	 4.136e+07 	 2.572e+07
10.775 	 1.564e+07 	 1.822e+07
10.825 	 2.767e+06 	 1.292e+07
10.875 	 2.731e+06 	 1.292e+07
10.925 	 2.695e+06 	 1.292e+07
10.975 	 -1.018e+07 	 1.292e+07
11.025 	 2.623e+06 	 1.292e+07
11.075 	 1.543e+07 	 1.822e+07
11.125 	 1.539e+07 	 1.822e+07
11.175 	 2.820e+07 	 2.229e+07
11.225 	 2.481e+06 	 1.292e+07
11.275 	 1.529e+07 	 1.822e+07
11.325 	 5.378e+07 	 2.875e+07
11.375 	 2.806e+07 	 2.229e+07
11.425 	 2.338e+06 	 1.293e+07
11.475 	 -1.054e+07 	 1.293e+07
11.525 	 4.079e+07 	 2.573e+07
11.575 	 2.791e+07 	 2.229e+07
11.625 	 2.788e+07 	 2.229e+07
11.675 	 2.784e+07 	 2.229e+07
11.725 	 4.065e+07 	 2.573e+07
11.775 	 4.061e+07 	 2.573e+07
11.825 	 7.910e+07 	 3.401e+07
11.875 	 2.017e+06 	 1.293e+07
11.925 	 6.619e+07 	 3.149e+07
11.975 	 1.479e+07 	 1.822e+07
12.025 	 1.475e+07 	 1.823e+07
12.075 	 1.472e+07 	 1.823e+07
12.125 	 2.752e+07 	 2.230e+07
12.175 	 -1.104e+07 	 1.293e+07
12.225 	 1.770e+06 	 1.293e+07
12.275 	 1.458e+07 	 1.823e+07
12.325 	 1.454e+07 	 1.823e+07
12.375 	 -1.118e+07 	 1.294e+07
12.425 	 2.731e+07 	 2.230e+07
12.475 	 1.444e+07 	 1.823e+07
12.525 	 -1.128e+07 	 1.294e+07
12.575 	 1.524e+06 	 1.294e+07
12.625 	 1.489e+06 	 1.294e+07
12.675 	 1.454e+06 	 1.294e+07
12.725 	 1.419e+06 	 1.294e+07
12.775 	 1.384e+06 	 1.294e+07
12.825 	 1.349e+06 	 1.294e+07
12.875 	 1.416e+07 	 1.823e+07
12.925 	 -1.156e+07 	 1.294e+07
12.975 	 -1.160e+07 	 1.294e+07
13.025 	 1.210e+06 	 1.294e+07
13.075 	 -1.167e+07 	 1.295e+07
13.125 	 1.140e+06 	 1.295e+07
13.175 	 -1.174e+07 	 1.295e+07
13.225 	 1.071e+06 	 1.295e+07
13.275 	 -1.181e+07 	 1.295e+07
13.325 	 -1.184e+07 	 1.295e+07
13.375 	 -1.187e+07 	 1.295e+07
13.425 	 -1.191e+07 	 1.295e+07
13.475 	 8.978e+05 	 1.295e+07
13.525 	 -1.198e+07 	 1.295e+07
13.575 	 8.282e+05 	 1.295e+07
13.625 	 7.938e+05 	 1.295e+07
13.675 	 7.594e+05 	 1.295e+07
13.725 	 1.357e+07 	 1.824e+07
13.775 	 2.637e+07 	 2.231e+07
13.825 	 -1.219e+07 	 1.295e+07
13.875 	 2.630e+07 	 2.231e+07
13.925 	 6.479e+07 	 3.150e+07
13.975 	 1.033e+08 	 3.856e+07
14.025 	 1.803e+08 	 4.977e+07
14.075 	 1.417e+08 	 4.452e+07
14.125 	 2.188e+08 	 5.451e+07
14.175 	 6.040e+08 	 8.899e+07
14.225 	 4.498e+08 	 7.707e+07
14.275 	 1.079e+09 	 1.184e+08
14.325 	 1.259e+09 	 1.278e+08
14.375 	 1.888e+09 	 1.562e+08
14.425 	 1.875e+09 	 1.557e+08
14.475 	 2.183e+09 	 1.679e+08
14.525 	 2.941e+09 	 1.948e+08
14.575 	 3.121e+09 	 2.006e+08
14.625 	 3.686e+09 	 2.179e+08
14.675 	 3.724e+09 	 2.191e+08
14.725 	 3.994e+09 	 2.268e+08
14.775 	 4.405e+09 	 2.382e+08
14.825 	 4.482e+09 	 2.403e+08
14.875 	 4.225e+09 	 2.333e+08
14.925 	 4.405e+09 	 2.382e+08
14.975 	 3.762e+09 	 2.202e+08
15.025 	 3.339e+09 	 2.075e+08
15.075 	 2.517e+09 	 1.802e+08
15.125 	 2.619e+09 	 1.839e+08
15.175 	 2.247e+09 	 1.704e+08
15.225 	 2.144e+09 	 1.665e+08
15.275 	 1.669e+09 	 1.470e+08
15.325 	 1.027e+09 	 1.156e+08
15.375 	 1.014e+09 	 1.149e+08
15.425 	 8.214e+08 	 1.035e+08
15.475 	 6.031e+08 	 8.899e+07
15.525 	 2.820e+08 	 6.161e+07
15.575 	 2.306e+08 	 5.601e+07
15.625 	 1.150e+08 	 4.065e+07
15.675 	 1.792e+08 	 4.977e+07
15.725 	 8.925e+07 	 3.637e+07
15.775 	 2.501e+07 	 2.232e+07
15.825 	 2.498e+07 	 2.232e+07
15.875 	 5.063e+07 	 2.878e+07
15.925 	 -1.361e+07 	 1.298e+07
15.975 	 -1.365e+07 	 1.298e+07
16.025 	 -1.368e+07 	 1.298e+07
16.075 	 -8.709e+05 	 1.298e+07
16.125 	 -1.375e+07 	 1.299e+07
16.175 	 -9.380e+05 	 1.299e+07
16.225 	 -1.381e+07 	 1.299e+07
16.275 	 -1.385e+07 	 1.299e+07
16.325 	 -1.388e+07 	 1.299e+07
16.375 	 -1.391e+07 	 1.299e+07
16.425 	 -1.395e+07 	 1.299e+07
16.475 	 -1.138e+06 	 1.299e+07
16.525 	 -1.171e+06 	 1.299e+07
16.575 	 -1.405e+07 	 1.299e+07
16.625 	 -1.237e+06 	 1.299e+07
16.675 	 -1.411e+07 	 1.299e+07
16.725 	 -1.415e+07 	 1.299e+07
16.775 	 -1.418e+07 	 1.299e+07
16.825 	 1.147e+07 	 1.827e+07
16.875 	 -1.424e+07 	 1.300e+07
16.925 	 -1.428e+07 	 1.300e+07
16.975 	 -1.431e+07 	 1.300e+07
17.025 	 1.134e+07 	 1.827e+07
17.075 	 -1.438e+07 	 1.300e+07
17.125 	 -1.568e+06 	 1.300e+07
17.175 	 1.124e+07 	 1.827e+07
17.225 	 -1.635e+06 	 1.300e+07
17.275 	 -1.451e+07 	 1.300e+07
17.325 	 1.114e+07 	 1.827e+07
17.375 	 -1.458e+07 	 1.300e+07
17.425 	 -1.461e+07 	 1.300e+07
17.475 	 -1.464e+07 	 1.300e+07
17.525 	 -1.467e+07 	 1.300e+07
17.575 	 -1.471e+07 	 1.301e+07
17.625 	 -1.474e+07 	 1.301e+07
17.675 	 -1.477e+07 	 1.301e+07
17.725 	 1.088e+07 	 1.828e+07
17.775 	 1.085e+07 	 1.828e+07
17.825 	 -2.030e+06 	 1.301e+07
17.875 	 -1.490e+07 	 1.301e+07
17.925 	 -1.494e+07 	 1.301e+07
17.975 	 -1.497e+07 	 1.301e+07
18.025 	 -1.500e+07 	 1.301e+07
18.075 	 -1.504e+07 	 1.301e+07
18.125 	 -1.507e+07 	 1.301e+07
18.175 	 -2.259e+06 	 1.301e+07
18.225 	 -1.513e+07 	 1.302e+07
18.275 	 -1.517e+07 	 1.302e+07
18.325 	 2.333e+07 	 2.234e+07
18.375 	 -1.523e+07 	 1.302e+07
18.425 	 -1.526e+07 	 1.302e+07
18.475 	 -1.530e+07 	 1.302e+07
18.525 	 -2.488e+06 	 1.302e+07
18.575 	 2.316e+07 	 2.235e+07
18.625 	 -1.539e+07 	 1.302e+07
18.675 	 -1.543e+07 	 1.302e+07
18.725 	 -1.546e+07 	 1.302e+07
18.775 	 -1.549e+07 	 1.302e+07
18.825 	 -2.683e+06 	 1.302e+07
18.875 	 -1.556e+07 	 1.303e+07
18.925 	 -2.748e+06 	 1.303e+07
18.975 	 -2.781e+06 	 1.303e+07
19.025 	 -2.813e+06 	 1.303e+07
19.075 	 -1.716e+07 	 2.010e+07
19.125 	 0.000e+00 	 0.000e+00
19.175 	 0.000e+00 	 0.000e+00
19.225 	 0.000e+00 	 0.000e+00
19.275 	 0.000e+00 	 0.000e+00
19.325 	 0.000e+00 	 0.000e+00
19.375 	 0.000e+00 	 0.000e+00
19.425 	 0.000e+00 	 0.000e+00
19.475 	 0.000e+00 	 0.000e+00
19.525 	 0.000e+00 	 0.000e+00
19.575 	 0.000e+00 	 0.000e+00
19.625 	 0.000e+00 	 0.000e+00
19.675 	 0.000e+00 	 0.000e+00
19.725 	 0.000e+00 	 0.000e+00
19.775 	 0.000e+00 	 0.000e+00
19.825 	 0.000e+00 	 0.000e+00
19.875 	 0.000e+00 	 0.000e+00
19.925 	 0.000e+00 	 0.000e+00
