WRF ANALYSIS
Date & time = ,2023-10-04, 15:54
Display format=,3
Program version:,2021-05-25

Scan file = ,N160731-003-999_WRF_90-78_Pos3_13425871_AL_13512321_S2_40x_1.5hr_SCAN2
Port & distance (cm) =,p3_3,50.0
WRF ID; Al blast(um) & cal=,13425871-g041 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,18,15,7.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,15.50,no

DvE fit: c; dc; red. Chi^2 =, 1.458,0.023,3.11

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.025,0.306,8.164e+09
Value (raw stats):, 15.028,0.298,8.185e+09
Uncertainties
    Random:, 0.057,0.003,12.34%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.004,0.001,8.35%
     DvE:, 0.009,0.002,9.05%
     Dmax:, 0.025,0.000,0.78%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.049,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 -1.748e+06 	 7.490e+07
4.425 	 4.283e+07 	 4.571e+07
4.475 	 -1.980e+06 	 3.129e+07
4.525 	 2.118e+07 	 2.283e+07
4.575 	 -1.394e+06 	 1.734e+07
4.625 	 1.201e+07 	 1.356e+07
4.675 	 1.200e+07 	 1.356e+07
4.725 	 -1.605e+06 	 1.084e+07
4.775 	 -1.618e+06 	 1.084e+07
4.825 	 -1.631e+06 	 1.084e+07
4.875 	 2.002e+07 	 1.532e+07
4.925 	 -1.656e+06 	 1.084e+07
4.975 	 -1.668e+06 	 1.084e+07
5.025 	 -1.680e+06 	 1.084e+07
5.075 	 9.140e+06 	 1.084e+07
5.125 	 9.127e+06 	 1.084e+07
5.175 	 -1.717e+06 	 1.084e+07
5.225 	 -1.730e+06 	 1.084e+07
5.275 	 9.090e+06 	 1.084e+07
5.325 	 -1.754e+06 	 1.084e+07
5.375 	 -1.767e+06 	 1.084e+07
5.425 	 -1.779e+06 	 1.084e+07
5.475 	 -1.791e+06 	 1.084e+07
5.525 	 -1.804e+06 	 1.084e+07
5.575 	 -1.816e+06 	 1.084e+07
5.625 	 9.004e+06 	 1.084e+07
5.675 	 8.992e+06 	 1.084e+07
5.725 	 -1.852e+06 	 1.084e+07
5.775 	 8.968e+06 	 1.084e+07
5.825 	 -1.877e+06 	 1.084e+07
5.875 	 -1.889e+06 	 1.084e+07
5.925 	 -1.901e+06 	 1.084e+07
5.975 	 -1.913e+06 	 1.084e+07
6.025 	 8.907e+06 	 1.084e+07
6.075 	 8.895e+06 	 1.084e+07
6.125 	 -1.949e+06 	 1.084e+07
6.175 	 8.871e+06 	 1.084e+07
6.225 	 8.859e+06 	 1.084e+07
6.275 	 -1.985e+06 	 1.084e+07
6.325 	 -1.997e+06 	 1.084e+07
6.375 	 -2.009e+06 	 1.084e+07
6.425 	 -2.021e+06 	 1.084e+07
6.475 	 8.800e+06 	 1.084e+07
6.525 	 -2.044e+06 	 1.084e+07
6.575 	 -2.055e+06 	 1.084e+07
6.625 	 -2.068e+06 	 1.084e+07
6.675 	 8.753e+06 	 1.084e+07
6.725 	 -2.091e+06 	 1.084e+07
6.775 	 -2.103e+06 	 1.084e+07
6.825 	 -2.114e+06 	 1.084e+07
6.875 	 8.706e+06 	 1.084e+07
6.925 	 8.695e+06 	 1.084e+07
6.975 	 8.683e+06 	 1.084e+07
7.025 	 3.034e+07 	 1.877e+07
7.075 	 -2.172e+06 	 1.084e+07
7.125 	 8.648e+06 	 1.084e+07
7.175 	 -2.196e+06 	 1.084e+07
7.225 	 8.625e+06 	 1.084e+07
7.275 	 8.613e+06 	 1.084e+07
7.325 	 8.601e+06 	 1.084e+07
7.375 	 -2.242e+06 	 1.084e+07
7.425 	 -2.254e+06 	 1.085e+07
7.475 	 -2.265e+06 	 1.085e+07
7.525 	 8.555e+06 	 1.085e+07
7.575 	 8.544e+06 	 1.085e+07
7.625 	 1.936e+07 	 1.533e+07
7.675 	 -2.312e+06 	 1.085e+07
7.725 	 -2.323e+06 	 1.085e+07
7.775 	 -2.334e+06 	 1.085e+07
7.825 	 8.486e+06 	 1.085e+07
7.875 	 8.475e+06 	 1.085e+07
7.925 	 -2.369e+06 	 1.085e+07
7.975 	 -2.380e+06 	 1.085e+07
8.025 	 8.440e+06 	 1.085e+07
8.075 	 -2.403e+06 	 1.085e+07
8.125 	 -2.415e+06 	 1.085e+07
8.175 	 8.406e+06 	 1.085e+07
8.225 	 -2.437e+06 	 1.085e+07
8.275 	 8.383e+06 	 1.085e+07
8.325 	 -2.460e+06 	 1.085e+07
8.375 	 -2.471e+06 	 1.085e+07
8.425 	 -2.482e+06 	 1.085e+07
8.475 	 1.917e+07 	 1.533e+07
8.525 	 -2.505e+06 	 1.085e+07
8.575 	 -2.516e+06 	 1.085e+07
8.625 	 8.304e+06 	 1.085e+07
8.675 	 8.293e+06 	 1.085e+07
8.725 	 -2.550e+06 	 1.085e+07
8.775 	 1.910e+07 	 1.533e+07
8.825 	 -2.573e+06 	 1.085e+07
8.875 	 -2.584e+06 	 1.085e+07
8.925 	 -2.595e+06 	 1.085e+07
8.975 	 8.226e+06 	 1.085e+07
9.025 	 8.215e+06 	 1.085e+07
9.075 	 -2.628e+06 	 1.085e+07
9.125 	 -2.639e+06 	 1.085e+07
9.175 	 1.901e+07 	 1.533e+07
9.225 	 -2.661e+06 	 1.085e+07
9.275 	 -2.672e+06 	 1.085e+07
9.325 	 -2.683e+06 	 1.085e+07
9.375 	 -2.694e+06 	 1.085e+07
9.425 	 -2.706e+06 	 1.085e+07
9.475 	 -2.716e+06 	 1.085e+07
9.525 	 1.894e+07 	 1.533e+07
9.575 	 -2.739e+06 	 1.085e+07
9.625 	 -2.750e+06 	 1.085e+07
9.675 	 8.072e+06 	 1.085e+07
9.725 	 -2.772e+06 	 1.085e+07
9.775 	 -2.783e+06 	 1.085e+07
9.825 	 -2.793e+06 	 1.085e+07
9.875 	 -2.804e+06 	 1.085e+07
9.925 	 8.017e+06 	 1.085e+07
9.975 	 -2.826e+06 	 1.085e+07
10.025 	 -2.837e+06 	 1.085e+07
10.075 	 -2.848e+06 	 1.085e+07
10.125 	 2.964e+07 	 1.877e+07
10.175 	 -2.870e+06 	 1.085e+07
10.225 	 7.951e+06 	 1.085e+07
10.275 	 -2.892e+06 	 1.085e+07
10.325 	 -2.903e+06 	 1.085e+07
10.375 	 7.919e+06 	 1.085e+07
10.425 	 -2.925e+06 	 1.085e+07
10.475 	 7.897e+06 	 1.085e+07
10.525 	 7.886e+06 	 1.085e+07
10.575 	 -2.957e+06 	 1.085e+07
10.625 	 7.864e+06 	 1.085e+07
10.675 	 -2.979e+06 	 1.085e+07
10.725 	 1.867e+07 	 1.534e+07
10.775 	 2.950e+07 	 1.878e+07
10.825 	 7.821e+06 	 1.086e+07
10.875 	 2.947e+07 	 1.878e+07
10.925 	 5.113e+07 	 2.423e+07
10.975 	 6.195e+07 	 2.654e+07
11.025 	 8.360e+07 	 3.065e+07
11.075 	 1.053e+08 	 3.426e+07
11.125 	 1.377e+08 	 3.906e+07
11.175 	 1.702e+08 	 4.333e+07
11.225 	 2.244e+08 	 4.964e+07
11.275 	 1.377e+08 	 3.906e+07
11.325 	 2.352e+08 	 5.081e+07
11.375 	 2.568e+08 	 5.307e+07
11.425 	 4.951e+08 	 7.347e+07
11.475 	 5.493e+08 	 7.736e+07
11.525 	 5.818e+08 	 7.960e+07
11.575 	 7.659e+08 	 9.128e+07
11.625 	 7.334e+08 	 8.933e+07
11.675 	 8.634e+08 	 9.689e+07
11.725 	 8.092e+08 	 9.381e+07
11.775 	 8.200e+08 	 9.444e+07
11.825 	 9.825e+08 	 1.033e+08
11.875 	 1.123e+09 	 1.105e+08
11.925 	 9.283e+08 	 1.005e+08
11.975 	 7.658e+08 	 9.128e+07
12.025 	 3.325e+08 	 6.032e+07
12.075 	 2.242e+08 	 4.964e+07
12.125 	 1.267e+08 	 3.753e+07
12.175 	 7.253e+07 	 2.867e+07
12.225 	 4.002e+07 	 2.168e+07
12.275 	 7.513e+06 	 1.086e+07
12.325 	 2.917e+07 	 1.878e+07
12.375 	 7.491e+06 	 1.086e+07
12.425 	 7.481e+06 	 1.086e+07
12.475 	 7.470e+06 	 1.086e+07
12.525 	 -3.372e+06 	 1.086e+07
12.575 	 7.450e+06 	 1.086e+07
12.625 	 7.439e+06 	 1.086e+07
12.675 	 -3.403e+06 	 1.086e+07
12.725 	 7.418e+06 	 1.086e+07
12.775 	 -3.424e+06 	 1.086e+07
12.825 	 7.397e+06 	 1.086e+07
12.875 	 -3.445e+06 	 1.086e+07
12.925 	 7.376e+06 	 1.086e+07
12.975 	 -3.466e+06 	 1.086e+07
13.025 	 7.356e+06 	 1.086e+07
13.075 	 -3.487e+06 	 1.086e+07
13.125 	 7.335e+06 	 1.086e+07
13.175 	 7.324e+06 	 1.086e+07
13.225 	 7.314e+06 	 1.086e+07
13.275 	 -3.528e+06 	 1.086e+07
13.325 	 -3.539e+06 	 1.086e+07
13.375 	 -3.549e+06 	 1.086e+07
13.425 	 -3.559e+06 	 1.086e+07
13.475 	 -3.570e+06 	 1.086e+07
13.525 	 -3.580e+06 	 1.086e+07
13.575 	 -3.591e+06 	 1.087e+07
13.625 	 7.231e+06 	 1.087e+07
13.675 	 1.805e+07 	 1.534e+07
13.725 	 -3.621e+06 	 1.087e+07
13.775 	 -3.632e+06 	 1.087e+07
13.825 	 -3.642e+06 	 1.087e+07
13.875 	 2.884e+07 	 1.878e+07
13.925 	 1.800e+07 	 1.534e+07
13.975 	 7.159e+06 	 1.087e+07
14.025 	 2.881e+07 	 1.878e+07
14.075 	 8.296e+07 	 3.065e+07
14.125 	 1.046e+08 	 3.427e+07
14.175 	 1.804e+08 	 4.467e+07
14.225 	 2.996e+08 	 5.732e+07
14.275 	 4.837e+08 	 7.267e+07
14.325 	 7.545e+08 	 9.063e+07
14.375 	 1.069e+09 	 1.078e+08
14.425 	 1.643e+09 	 1.336e+08
14.475 	 2.628e+09 	 1.689e+08
14.525 	 2.758e+09 	 1.730e+08
14.575 	 3.657e+09 	 1.991e+08
14.625 	 4.481e+09 	 2.204e+08
14.675 	 5.445e+09 	 2.429e+08
14.725 	 6.658e+09 	 2.686e+08
14.775 	 7.297e+09 	 2.812e+08
14.825 	 7.893e+09 	 2.925e+08
14.875 	 9.691e+09 	 3.241e+08
14.925 	 1.069e+10 	 3.403e+08
14.975 	 1.065e+10 	 3.398e+08
15.025 	 1.061e+10 	 3.391e+08
15.075 	 9.994e+09 	 3.291e+08
15.125 	 1.015e+10 	 3.316e+08
15.175 	 9.832e+09 	 3.264e+08
15.225 	 8.770e+09 	 3.083e+08
15.275 	 7.503e+09 	 2.852e+08
15.325 	 6.560e+09 	 2.667e+08
15.375 	 5.477e+09 	 2.437e+08
15.425 	 4.307e+09 	 2.161e+08
15.475 	 3.376e+09 	 1.913e+08
15.525 	 2.585e+09 	 1.675e+08
15.575 	 2.422e+09 	 1.621e+08
15.625 	 1.697e+09 	 1.357e+08
15.675 	 1.382e+09 	 1.226e+08
15.725 	 7.651e+08 	 9.128e+07
15.775 	 6.567e+08 	 8.461e+07
15.825 	 4.076e+08 	 6.678e+07
15.875 	 3.426e+08 	 6.128e+07
15.925 	 1.909e+08 	 4.597e+07
15.975 	 1.367e+08 	 3.907e+07
16.025 	 3.924e+07 	 2.169e+07
16.075 	 9.339e+07 	 3.251e+07
16.125 	 7.172e+07 	 2.868e+07
16.175 	 2.838e+07 	 1.879e+07
16.225 	 -4.128e+06 	 1.088e+07
16.275 	 1.753e+07 	 1.535e+07
16.325 	 -4.148e+06 	 1.088e+07
16.375 	 -4.158e+06 	 1.088e+07
16.425 	 -4.168e+06 	 1.088e+07
16.475 	 6.654e+06 	 1.088e+07
16.525 	 -4.188e+06 	 1.088e+07
16.575 	 -4.198e+06 	 1.088e+07
16.625 	 -4.208e+06 	 1.088e+07
16.675 	 3.911e+07 	 2.169e+07
16.725 	 -4.228e+06 	 1.088e+07
16.775 	 1.743e+07 	 1.535e+07
16.825 	 -4.247e+06 	 1.088e+07
16.875 	 -4.257e+06 	 1.088e+07
16.925 	 -4.267e+06 	 1.088e+07
16.975 	 6.555e+06 	 1.088e+07
17.025 	 -4.287e+06 	 1.088e+07
17.075 	 6.535e+06 	 1.088e+07
17.125 	 2.819e+07 	 1.879e+07
17.175 	 -4.317e+06 	 1.088e+07
17.225 	 -4.327e+06 	 1.088e+07
17.275 	 6.496e+06 	 1.088e+07
17.325 	 1.732e+07 	 1.535e+07
17.375 	 6.476e+06 	 1.088e+07
17.425 	 6.466e+06 	 1.088e+07
17.475 	 -4.376e+06 	 1.088e+07
17.525 	 -4.386e+06 	 1.088e+07
17.575 	 -4.396e+06 	 1.088e+07
17.625 	 6.427e+06 	 1.088e+07
17.675 	 -4.415e+06 	 1.088e+07
17.725 	 -4.425e+06 	 1.088e+07
17.775 	 -4.435e+06 	 1.088e+07
17.825 	 -4.445e+06 	 1.088e+07
17.875 	 -4.455e+06 	 1.088e+07
17.925 	 -4.464e+06 	 1.088e+07
17.975 	 -4.474e+06 	 1.088e+07
18.025 	 6.348e+06 	 1.088e+07
18.075 	 1.717e+07 	 1.536e+07
18.125 	 -4.504e+06 	 1.088e+07
18.175 	 6.319e+06 	 1.088e+07
18.225 	 -4.523e+06 	 1.088e+07
18.275 	 -4.533e+06 	 1.088e+07
18.325 	 1.712e+07 	 1.536e+07
18.375 	 -4.552e+06 	 1.089e+07
18.425 	 -4.562e+06 	 1.089e+07
18.475 	 -4.572e+06 	 1.089e+07
18.525 	 -4.581e+06 	 1.089e+07
18.575 	 1.707e+07 	 1.536e+07
18.625 	 -4.601e+06 	 1.089e+07
18.675 	 1.705e+07 	 1.536e+07
18.725 	 -4.620e+06 	 1.089e+07
18.775 	 6.202e+06 	 1.089e+07
18.825 	 6.192e+06 	 1.089e+07
18.875 	 -4.650e+06 	 1.089e+07
18.925 	 -4.659e+06 	 1.089e+07
18.975 	 6.163e+06 	 1.089e+07
19.025 	 1.079e+07 	 1.424e+07
19.075 	 -5.556e+06 	 2.895e+07
19.125 	 0.000e+00 	 0.000e+00
19.175 	 0.000e+00 	 0.000e+00
19.225 	 0.000e+00 	 0.000e+00
19.275 	 0.000e+00 	 0.000e+00
19.325 	 0.000e+00 	 0.000e+00
19.375 	 0.000e+00 	 0.000e+00
19.425 	 0.000e+00 	 0.000e+00
19.475 	 0.000e+00 	 0.000e+00
19.525 	 0.000e+00 	 0.000e+00
19.575 	 0.000e+00 	 0.000e+00
19.625 	 0.000e+00 	 0.000e+00
19.675 	 0.000e+00 	 0.000e+00
19.725 	 0.000e+00 	 0.000e+00
19.775 	 0.000e+00 	 0.000e+00
19.825 	 0.000e+00 	 0.000e+00
19.875 	 0.000e+00 	 0.000e+00
19.925 	 0.000e+00 	 0.000e+00
