WRF ANALYSIS
Date & time = ,2023-07-13, 12:33
Display format=,3
Program version:,2021-05-25

Scan file = ,N181127-001-999_WRF_000-000_4_13425856_AL_13515879_S1_40X_1hr
Port & distance (cm) =,004,51.8
WRF ID; Al blast(um) & cal=,13425856-g026 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,19,15,6.20,0.25,new
Dlow; Dhigh; Dauto; Elims =,11.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.742,0.193,1.23

Fit limits (MeV):,11.000,13.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 12.213,0.358,7.814e+09
Value (raw stats):, 12.177,0.362,7.882e+09
Uncertainties
    Random:, 0.071,0.010,114.13%
    Systematic calib:, 0.058,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.007,0.005,13.50%
     DvE:, 0.020,0.009,113.32%
     Dmax:, 0.033,0.000,1.37%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.057,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 0.000e+00 	 0.000e+00
5.025 	 0.000e+00 	 0.000e+00
5.075 	 0.000e+00 	 0.000e+00
5.125 	 -1.478e+07 	 2.627e+08
5.175 	 4.895e+07 	 6.206e+07
5.225 	 4.015e+07 	 5.209e+07
5.275 	 4.007e+07 	 5.209e+07
5.325 	 3.998e+07 	 5.209e+07
5.375 	 3.990e+07 	 5.209e+07
5.425 	 -1.222e+07 	 5.209e+07
5.475 	 3.973e+07 	 5.209e+07
5.525 	 -1.239e+07 	 5.209e+07
5.575 	 -1.248e+07 	 5.209e+07
5.625 	 3.948e+07 	 5.209e+07
5.675 	 3.940e+07 	 5.209e+07
5.725 	 -1.273e+07 	 5.209e+07
5.775 	 -1.281e+07 	 5.210e+07
5.825 	 3.914e+07 	 5.210e+07
5.875 	 3.906e+07 	 5.210e+07
5.925 	 -1.306e+07 	 5.210e+07
5.975 	 3.889e+07 	 5.210e+07
6.025 	 -1.323e+07 	 5.210e+07
6.075 	 -1.331e+07 	 5.210e+07
6.125 	 -1.339e+07 	 5.210e+07
6.175 	 -1.348e+07 	 5.210e+07
6.225 	 3.848e+07 	 5.210e+07
6.275 	 3.840e+07 	 5.210e+07
6.325 	 -1.372e+07 	 5.210e+07
6.375 	 -1.380e+07 	 5.210e+07
6.425 	 1.422e+08 	 9.017e+07
6.475 	 -1.396e+07 	 5.211e+07
6.525 	 -1.404e+07 	 5.211e+07
6.575 	 -1.412e+07 	 5.211e+07
6.625 	 3.783e+07 	 5.211e+07
6.675 	 -1.429e+07 	 5.211e+07
6.725 	 -1.437e+07 	 5.211e+07
6.775 	 -1.445e+07 	 5.211e+07
6.825 	 3.751e+07 	 5.211e+07
6.875 	 -1.461e+07 	 5.211e+07
6.925 	 3.735e+07 	 5.211e+07
6.975 	 -1.477e+07 	 5.211e+07
7.025 	 -1.485e+07 	 5.211e+07
7.075 	 -1.493e+07 	 5.212e+07
7.125 	 3.703e+07 	 5.212e+07
7.175 	 3.695e+07 	 5.212e+07
7.225 	 3.687e+07 	 5.212e+07
7.275 	 -1.525e+07 	 5.212e+07
7.325 	 3.671e+07 	 5.212e+07
7.375 	 3.663e+07 	 5.212e+07
7.425 	 1.406e+08 	 9.018e+07
7.475 	 8.851e+07 	 7.365e+07
7.525 	 -1.565e+07 	 5.212e+07
7.575 	 -1.572e+07 	 5.212e+07
7.625 	 8.827e+07 	 7.365e+07
7.675 	 -1.588e+07 	 5.213e+07
7.725 	 -1.596e+07 	 5.213e+07
7.775 	 8.804e+07 	 7.366e+07
7.825 	 -1.612e+07 	 5.213e+07
7.875 	 8.788e+07 	 7.366e+07
7.925 	 -1.628e+07 	 5.213e+07
7.975 	 3.568e+07 	 5.213e+07
8.025 	 3.560e+07 	 5.213e+07
8.075 	 8.757e+07 	 7.366e+07
8.125 	 -1.659e+07 	 5.213e+07
8.175 	 -1.667e+07 	 5.213e+07
8.225 	 8.733e+07 	 7.366e+07
8.275 	 8.725e+07 	 7.366e+07
8.325 	 3.994e+08 	 1.472e+08
8.375 	 3.473e+08 	 1.377e+08
8.425 	 1.391e+08 	 9.019e+07
8.475 	 -1.714e+07 	 5.214e+07
8.525 	 -1.721e+07 	 5.214e+07
8.575 	 3.475e+07 	 5.214e+07
8.625 	 -1.737e+07 	 5.214e+07
8.675 	 3.459e+07 	 5.214e+07
8.725 	 1.906e+08 	 1.041e+08
8.775 	 8.648e+07 	 7.367e+07
8.825 	 8.640e+07 	 7.367e+07
8.875 	 3.429e+07 	 5.215e+07
8.925 	 -1.783e+07 	 5.215e+07
8.975 	 1.902e+08 	 1.041e+08
9.025 	 2.422e+08 	 1.164e+08
9.075 	 8.602e+07 	 7.367e+07
9.125 	 1.380e+08 	 9.020e+07
9.175 	 -1.821e+07 	 5.215e+07
9.225 	 3.375e+07 	 5.215e+07
9.275 	 -1.836e+07 	 5.215e+07
9.325 	 -1.844e+07 	 5.216e+07
9.375 	 8.556e+07 	 7.368e+07
9.425 	 -1.859e+07 	 5.216e+07
9.475 	 8.541e+07 	 7.368e+07
9.525 	 3.330e+07 	 5.216e+07
9.575 	 -1.882e+07 	 5.216e+07
9.625 	 3.315e+07 	 5.216e+07
9.675 	 -1.897e+07 	 5.216e+07
9.725 	 1.371e+08 	 9.021e+07
9.775 	 3.292e+07 	 5.216e+07
9.825 	 1.369e+08 	 9.021e+07
9.875 	 3.277e+07 	 5.217e+07
9.925 	 -1.934e+07 	 5.217e+07
9.975 	 -1.942e+07 	 5.217e+07
10.025 	 3.254e+07 	 5.217e+07
10.075 	 -1.957e+07 	 5.217e+07
10.125 	 -1.965e+07 	 5.217e+07
10.175 	 3.232e+07 	 5.217e+07
10.225 	 -1.979e+07 	 5.217e+07
10.275 	 -1.987e+07 	 5.217e+07
10.325 	 8.413e+07 	 7.369e+07
10.375 	 8.406e+07 	 7.369e+07
10.425 	 -2.010e+07 	 5.218e+07
10.475 	 1.880e+08 	 1.041e+08
10.525 	 3.180e+07 	 5.218e+07
10.575 	 -2.032e+07 	 5.218e+07
10.625 	 -2.039e+07 	 5.218e+07
10.675 	 8.361e+07 	 7.370e+07
10.725 	 3.150e+07 	 5.218e+07
10.775 	 3.142e+07 	 5.218e+07
10.825 	 3.135e+07 	 5.219e+07
10.875 	 1.354e+08 	 9.022e+07
10.925 	 8.324e+07 	 7.370e+07
10.975 	 1.872e+08 	 1.042e+08
11.025 	 1.351e+08 	 9.022e+07
11.075 	 3.432e+08 	 1.377e+08
11.125 	 1.870e+08 	 1.042e+08
11.175 	 3.951e+08 	 1.472e+08
11.225 	 6.552e+08 	 1.877e+08
11.275 	 6.031e+08 	 1.803e+08
11.325 	 1.175e+09 	 2.496e+08
11.375 	 1.332e+09 	 2.654e+08
11.425 	 9.672e+08 	 2.269e+08
11.475 	 1.540e+09 	 2.851e+08
11.525 	 2.060e+09 	 3.291e+08
11.575 	 1.852e+09 	 3.123e+08
11.625 	 2.216e+09 	 3.413e+08
11.675 	 2.736e+09 	 3.789e+08
11.725 	 3.985e+09 	 4.567e+08
11.775 	 3.985e+09 	 4.567e+08
11.825 	 4.869e+09 	 5.046e+08
11.875 	 5.910e+09 	 5.556e+08
11.925 	 5.390e+09 	 5.307e+08
11.975 	 5.806e+09 	 5.507e+08
12.025 	 6.639e+09 	 5.888e+08
12.075 	 8.876e+09 	 6.805e+08
12.125 	 8.200e+09 	 6.541e+08
12.175 	 8.876e+09 	 6.805e+08
12.225 	 9.240e+09 	 6.943e+08
12.275 	 8.043e+09 	 6.479e+08
12.325 	 9.188e+09 	 6.923e+08
12.375 	 8.303e+09 	 6.583e+08
12.425 	 7.314e+09 	 6.179e+08
12.475 	 6.846e+09 	 5.979e+08
12.525 	 5.597e+09 	 5.408e+08
12.575 	 5.649e+09 	 5.433e+08
12.625 	 4.712e+09 	 4.964e+08
12.675 	 3.775e+09 	 4.446e+08
12.725 	 2.370e+09 	 3.530e+08
12.775 	 2.266e+09 	 3.452e+08
12.825 	 1.538e+09 	 2.851e+08
12.875 	 1.225e+09 	 2.550e+08
12.925 	 1.173e+09 	 2.496e+08
12.975 	 9.129e+08 	 2.208e+08
13.025 	 7.567e+08 	 2.016e+08
13.075 	 4.964e+08 	 1.646e+08
13.125 	 4.443e+08 	 1.562e+08
13.175 	 1.841e+08 	 1.042e+08
13.225 	 1.840e+08 	 1.042e+08
13.275 	 2.359e+08 	 1.165e+08
13.325 	 2.359e+08 	 1.165e+08
13.375 	 2.765e+07 	 5.224e+07
13.425 	 2.758e+07 	 5.224e+07
13.475 	 2.751e+07 	 5.224e+07
13.525 	 2.744e+07 	 5.225e+07
13.575 	 -2.467e+07 	 5.225e+07
13.625 	 -2.474e+07 	 5.225e+07
13.675 	 2.723e+07 	 5.225e+07
13.725 	 7.919e+07 	 7.374e+07
13.775 	 -2.495e+07 	 5.225e+07
13.825 	 -2.503e+07 	 5.225e+07
13.875 	 -2.510e+07 	 5.225e+07
13.925 	 -2.517e+07 	 5.226e+07
13.975 	 -2.524e+07 	 5.226e+07
14.025 	 2.673e+07 	 5.226e+07
14.075 	 -2.538e+07 	 5.226e+07
14.125 	 -2.545e+07 	 5.226e+07
14.175 	 -2.552e+07 	 5.226e+07
14.225 	 -2.559e+07 	 5.226e+07
14.275 	 -2.566e+07 	 5.226e+07
14.325 	 2.631e+07 	 5.227e+07
14.375 	 -2.580e+07 	 5.227e+07
14.425 	 -2.587e+07 	 5.227e+07
14.475 	 2.610e+07 	 5.227e+07
14.525 	 -2.601e+07 	 5.227e+07
14.575 	 2.596e+07 	 5.227e+07
14.625 	 7.793e+07 	 7.376e+07
14.675 	 2.582e+07 	 5.227e+07
14.725 	 2.575e+07 	 5.228e+07
14.775 	 -2.636e+07 	 5.228e+07
14.825 	 1.297e+08 	 9.027e+07
14.875 	 -2.650e+07 	 5.228e+07
14.925 	 -2.657e+07 	 5.228e+07
14.975 	 -2.664e+07 	 5.228e+07
15.025 	 -2.671e+07 	 5.228e+07
15.075 	 2.526e+07 	 5.228e+07
15.125 	 7.723e+07 	 7.377e+07
15.175 	 2.512e+07 	 5.229e+07
15.225 	 2.505e+07 	 5.229e+07
15.275 	 -2.706e+07 	 5.229e+07
15.325 	 -2.713e+07 	 5.229e+07
15.375 	 2.484e+07 	 5.229e+07
15.425 	 -2.727e+07 	 5.229e+07
15.475 	 2.470e+07 	 5.229e+07
15.525 	 -2.740e+07 	 5.230e+07
15.575 	 -2.747e+07 	 5.230e+07
15.625 	 -2.754e+07 	 5.230e+07
15.675 	 -2.761e+07 	 5.230e+07
15.725 	 -2.768e+07 	 5.230e+07
15.775 	 7.633e+07 	 7.378e+07
15.825 	 -2.782e+07 	 5.230e+07
15.875 	 -2.789e+07 	 5.230e+07
15.925 	 -2.796e+07 	 5.231e+07
15.975 	 2.401e+07 	 5.231e+07
16.025 	 2.395e+07 	 5.231e+07
16.075 	 -2.816e+07 	 5.231e+07
16.125 	 -2.823e+07 	 5.231e+07
16.175 	 -2.830e+07 	 5.231e+07
16.225 	 7.571e+07 	 7.379e+07
16.275 	 1.797e+08 	 1.042e+08
16.325 	 2.354e+07 	 5.232e+07
16.375 	 -2.857e+07 	 5.232e+07
16.425 	 2.340e+07 	 5.232e+07
16.475 	 -2.871e+07 	 5.232e+07
16.525 	 2.326e+07 	 5.232e+07
16.575 	 -2.885e+07 	 5.232e+07
16.625 	 -2.891e+07 	 5.232e+07
16.675 	 -2.898e+07 	 5.233e+07
16.725 	 2.299e+07 	 5.233e+07
16.775 	 7.496e+07 	 7.380e+07
16.825 	 -2.919e+07 	 5.233e+07
16.875 	 2.279e+07 	 5.233e+07
16.925 	 2.272e+07 	 5.233e+07
16.975 	 7.469e+07 	 7.380e+07
17.025 	 2.258e+07 	 5.234e+07
17.075 	 2.251e+07 	 5.234e+07
17.125 	 2.245e+07 	 5.234e+07
17.175 	 -2.966e+07 	 5.234e+07
17.225 	 2.231e+07 	 5.234e+07
17.275 	 -2.980e+07 	 5.234e+07
17.325 	 -2.986e+07 	 5.234e+07
17.375 	 -2.993e+07 	 5.235e+07
17.425 	 -3.000e+07 	 5.235e+07
17.475 	 2.197e+07 	 5.235e+07
17.525 	 -3.014e+07 	 5.235e+07
17.575 	 -3.020e+07 	 5.235e+07
17.625 	 2.177e+07 	 5.235e+07
17.675 	 7.374e+07 	 7.382e+07
17.725 	 -3.041e+07 	 5.236e+07
17.775 	 -3.047e+07 	 5.236e+07
17.825 	 7.354e+07 	 7.382e+07
17.875 	 -3.061e+07 	 5.236e+07
17.925 	 2.136e+07 	 5.236e+07
17.975 	 -3.074e+07 	 5.236e+07
18.025 	 7.327e+07 	 7.382e+07
18.075 	 -3.088e+07 	 5.236e+07
18.125 	 -3.095e+07 	 5.237e+07
18.175 	 2.103e+07 	 5.237e+07
18.225 	 -3.108e+07 	 5.237e+07
18.275 	 -3.115e+07 	 5.237e+07
18.325 	 -3.121e+07 	 5.237e+07
18.375 	 -3.128e+07 	 5.237e+07
