WRF ANALYSIS
Date & time = ,2023-07-13, 12:38
Display format=,3
Program version:,2021-05-25

Scan file = ,N181127-001-999_WRF_090-078_1_13425894_AL_13515888_S1_40X_1.5hr
Port & distance (cm) =,781,51.8
WRF ID; Al blast(um) & cal=,13425894-g064 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,17,15,8.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,14.00,no

DvE fit: c; dc; red. Chi^2 =, 1.351,0.015,1.74

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.005,0.305,1.373e+10
Value (raw stats):, 15.003,0.295,1.372e+10
Uncertainties
    Random:, 0.056,0.003,8.13%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.002,5.77%
     DvE:, 0.007,0.003,5.68%
     Dmax:, 0.022,0.000,0.71%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.049,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 0.000e+00 	 0.000e+00
5.025 	 0.000e+00 	 0.000e+00
5.075 	 0.000e+00 	 0.000e+00
5.125 	 -2.355e+06 	 1.461e+08
5.175 	 -2.220e+06 	 6.839e+07
5.225 	 2.820e+07 	 2.992e+07
5.275 	 -1.844e+06 	 2.241e+07
5.325 	 -1.885e+06 	 1.749e+07
5.375 	 -1.525e+06 	 1.406e+07
5.425 	 -1.536e+06 	 1.406e+07
5.475 	 -1.368e+06 	 1.155e+07
5.525 	 -1.377e+06 	 1.155e+07
5.575 	 -1.386e+06 	 1.155e+07
5.625 	 -1.396e+06 	 1.155e+07
5.675 	 -1.405e+06 	 1.155e+07
5.725 	 -1.414e+06 	 1.155e+07
5.775 	 -1.424e+06 	 1.155e+07
5.825 	 -1.433e+06 	 1.155e+07
5.875 	 -1.442e+06 	 1.155e+07
5.925 	 -1.451e+06 	 1.155e+07
5.975 	 -1.461e+06 	 1.155e+07
6.025 	 -1.470e+06 	 1.155e+07
6.075 	 -1.479e+06 	 1.155e+07
6.125 	 -1.488e+06 	 1.155e+07
6.175 	 1.004e+07 	 1.155e+07
6.225 	 -1.507e+06 	 1.155e+07
6.275 	 2.156e+07 	 1.633e+07
6.325 	 -1.525e+06 	 1.155e+07
6.375 	 -1.534e+06 	 1.155e+07
6.425 	 -1.543e+06 	 1.155e+07
6.475 	 9.988e+06 	 1.155e+07
6.525 	 9.980e+06 	 1.155e+07
6.575 	 -1.569e+06 	 1.155e+07
6.625 	 -1.579e+06 	 1.155e+07
6.675 	 -1.588e+06 	 1.155e+07
6.725 	 -1.596e+06 	 1.155e+07
6.775 	 -1.606e+06 	 1.155e+07
6.825 	 -1.614e+06 	 1.155e+07
6.875 	 9.917e+06 	 1.155e+07
6.925 	 9.908e+06 	 1.155e+07
6.975 	 -1.641e+06 	 1.155e+07
7.025 	 9.890e+06 	 1.155e+07
7.075 	 -1.659e+06 	 1.155e+07
7.125 	 -1.668e+06 	 1.155e+07
7.175 	 -1.677e+06 	 1.155e+07
7.225 	 9.855e+06 	 1.155e+07
7.275 	 -1.694e+06 	 1.155e+07
7.325 	 9.837e+06 	 1.155e+07
7.375 	 -1.712e+06 	 1.155e+07
7.425 	 9.819e+06 	 1.155e+07
7.475 	 9.811e+06 	 1.155e+07
7.525 	 9.802e+06 	 1.155e+07
7.575 	 9.793e+06 	 1.155e+07
7.625 	 -1.756e+06 	 1.155e+07
7.675 	 -1.765e+06 	 1.155e+07
7.725 	 -1.774e+06 	 1.155e+07
7.775 	 -1.783e+06 	 1.155e+07
7.825 	 -1.791e+06 	 1.155e+07
7.875 	 9.740e+06 	 1.155e+07
7.925 	 -1.809e+06 	 1.155e+07
7.975 	 -1.817e+06 	 1.155e+07
8.025 	 -1.826e+06 	 1.155e+07
8.075 	 -1.835e+06 	 1.155e+07
8.125 	 -1.844e+06 	 1.155e+07
8.175 	 -1.852e+06 	 1.155e+07
8.225 	 -1.861e+06 	 1.155e+07
8.275 	 -1.870e+06 	 1.155e+07
8.325 	 -1.878e+06 	 1.155e+07
8.375 	 -1.887e+06 	 1.155e+07
8.425 	 -1.896e+06 	 1.155e+07
8.475 	 -1.904e+06 	 1.155e+07
8.525 	 -1.913e+06 	 1.155e+07
8.575 	 -1.922e+06 	 1.155e+07
8.625 	 -1.930e+06 	 1.155e+07
8.675 	 -1.939e+06 	 1.155e+07
8.725 	 9.593e+06 	 1.155e+07
8.775 	 -1.956e+06 	 1.155e+07
8.825 	 -1.964e+06 	 1.155e+07
8.875 	 -1.973e+06 	 1.155e+07
8.925 	 9.559e+06 	 1.155e+07
8.975 	 -1.990e+06 	 1.155e+07
9.025 	 -1.998e+06 	 1.155e+07
9.075 	 9.534e+06 	 1.155e+07
9.125 	 -2.015e+06 	 1.155e+07
9.175 	 9.517e+06 	 1.155e+07
9.225 	 -2.032e+06 	 1.155e+07
9.275 	 -2.041e+06 	 1.155e+07
9.325 	 9.491e+06 	 1.155e+07
9.375 	 -2.057e+06 	 1.155e+07
9.425 	 -2.066e+06 	 1.155e+07
9.475 	 -2.074e+06 	 1.155e+07
9.525 	 -2.083e+06 	 1.155e+07
9.575 	 -2.091e+06 	 1.155e+07
9.625 	 2.098e+07 	 1.633e+07
9.675 	 -2.108e+06 	 1.155e+07
9.725 	 -2.116e+06 	 1.155e+07
9.775 	 -2.125e+06 	 1.155e+07
9.825 	 9.407e+06 	 1.155e+07
9.875 	 -2.141e+06 	 1.155e+07
9.925 	 9.391e+06 	 1.155e+07
9.975 	 -2.158e+06 	 1.155e+07
10.025 	 2.091e+07 	 1.633e+07
10.075 	 -2.175e+06 	 1.155e+07
10.125 	 -2.183e+06 	 1.156e+07
10.175 	 -2.192e+06 	 1.156e+07
10.225 	 -2.200e+06 	 1.156e+07
10.275 	 9.332e+06 	 1.156e+07
10.325 	 -2.216e+06 	 1.156e+07
10.375 	 9.316e+06 	 1.156e+07
10.425 	 -2.233e+06 	 1.156e+07
10.475 	 9.299e+06 	 1.156e+07
10.525 	 2.083e+07 	 1.633e+07
10.575 	 -2.258e+06 	 1.156e+07
10.625 	 3.235e+07 	 2.000e+07
10.675 	 -2.274e+06 	 1.156e+07
10.725 	 9.258e+06 	 1.156e+07
10.775 	 -2.291e+06 	 1.156e+07
10.825 	 9.241e+06 	 1.156e+07
10.875 	 9.233e+06 	 1.156e+07
10.925 	 9.225e+06 	 1.156e+07
10.975 	 -2.324e+06 	 1.156e+07
11.025 	 -2.332e+06 	 1.156e+07
11.075 	 -2.340e+06 	 1.156e+07
11.125 	 -2.348e+06 	 1.156e+07
11.175 	 -2.356e+06 	 1.156e+07
11.225 	 -2.365e+06 	 1.156e+07
11.275 	 9.167e+06 	 1.156e+07
11.325 	 -2.381e+06 	 1.156e+07
11.375 	 9.151e+06 	 1.156e+07
11.425 	 9.143e+06 	 1.156e+07
11.475 	 -2.405e+06 	 1.156e+07
11.525 	 -2.413e+06 	 1.156e+07
11.575 	 -2.422e+06 	 1.156e+07
11.625 	 -2.430e+06 	 1.156e+07
11.675 	 9.102e+06 	 1.156e+07
11.725 	 -2.446e+06 	 1.156e+07
11.775 	 -2.454e+06 	 1.156e+07
11.825 	 9.078e+06 	 1.156e+07
11.875 	 -2.470e+06 	 1.156e+07
11.925 	 9.062e+06 	 1.156e+07
11.975 	 -2.487e+06 	 1.156e+07
12.025 	 9.046e+06 	 1.156e+07
12.075 	 -2.502e+06 	 1.156e+07
12.125 	 -2.511e+06 	 1.156e+07
12.175 	 9.022e+06 	 1.156e+07
12.225 	 9.014e+06 	 1.156e+07
12.275 	 9.005e+06 	 1.156e+07
12.325 	 -2.543e+06 	 1.156e+07
12.375 	 -2.551e+06 	 1.156e+07
12.425 	 8.981e+06 	 1.156e+07
12.475 	 -2.567e+06 	 1.156e+07
12.525 	 -2.575e+06 	 1.156e+07
12.575 	 8.957e+06 	 1.156e+07
12.625 	 8.949e+06 	 1.156e+07
12.675 	 -2.599e+06 	 1.156e+07
12.725 	 8.933e+06 	 1.156e+07
12.775 	 -2.615e+06 	 1.156e+07
12.825 	 -2.623e+06 	 1.156e+07
12.875 	 8.910e+06 	 1.156e+07
12.925 	 -2.639e+06 	 1.156e+07
12.975 	 8.894e+06 	 1.156e+07
13.025 	 -2.655e+06 	 1.156e+07
13.075 	 8.878e+06 	 1.156e+07
13.125 	 2.041e+07 	 1.634e+07
13.175 	 -2.679e+06 	 1.156e+07
13.225 	 8.854e+06 	 1.156e+07
13.275 	 8.846e+06 	 1.156e+07
13.325 	 -2.702e+06 	 1.156e+07
13.375 	 -2.710e+06 	 1.156e+07
13.425 	 2.036e+07 	 1.634e+07
13.475 	 -2.726e+06 	 1.156e+07
13.525 	 -2.734e+06 	 1.156e+07
13.575 	 -2.742e+06 	 1.156e+07
13.625 	 2.033e+07 	 1.634e+07
13.675 	 3.186e+07 	 2.000e+07
13.725 	 8.775e+06 	 1.156e+07
13.775 	 -2.773e+06 	 1.156e+07
13.825 	 3.184e+07 	 2.000e+07
13.875 	 3.183e+07 	 2.000e+07
13.925 	 3.182e+07 	 2.000e+07
13.975 	 5.490e+07 	 2.582e+07
14.025 	 1.011e+08 	 3.463e+07
14.075 	 2.280e+08 	 5.162e+07
14.125 	 3.780e+08 	 6.630e+07
14.175 	 3.665e+08 	 6.529e+07
14.225 	 7.473e+08 	 9.304e+07
14.275 	 1.105e+09 	 1.131e+08
14.325 	 1.670e+09 	 1.390e+08
14.375 	 2.144e+09 	 1.574e+08
14.425 	 3.090e+09 	 1.889e+08
14.475 	 3.944e+09 	 2.134e+08
14.525 	 5.248e+09 	 2.462e+08
14.575 	 6.540e+09 	 2.748e+08
14.625 	 8.652e+09 	 3.160e+08
14.675 	 9.703e+09 	 3.347e+08
14.725 	 1.188e+10 	 3.704e+08
14.775 	 1.299e+10 	 3.872e+08
14.825 	 1.553e+10 	 4.234e+08
14.875 	 1.642e+10 	 4.353e+08
14.925 	 1.731e+10 	 4.470e+08
14.975 	 1.708e+10 	 4.440e+08
15.025 	 1.820e+10 	 4.583e+08
15.075 	 1.821e+10 	 4.584e+08
15.125 	 1.664e+10 	 4.382e+08
15.175 	 1.501e+10 	 4.163e+08
15.225 	 1.383e+10 	 3.996e+08
15.275 	 1.228e+10 	 3.764e+08
15.325 	 1.073e+10 	 3.519e+08
15.375 	 8.202e+09 	 3.077e+08
15.425 	 7.394e+09 	 2.922e+08
15.475 	 5.040e+09 	 2.412e+08
15.525 	 4.348e+09 	 2.241e+08
15.575 	 3.055e+09 	 1.879e+08
15.625 	 2.109e+09 	 1.561e+08
15.675 	 1.474e+09 	 1.306e+08
15.725 	 1.036e+09 	 1.095e+08
15.775 	 7.586e+08 	 9.376e+07
15.825 	 4.124e+08 	 6.925e+07
15.875 	 2.277e+08 	 5.162e+07
15.925 	 1.585e+08 	 4.319e+07
15.975 	 1.354e+08 	 3.999e+07
16.025 	 8.920e+07 	 3.265e+07
16.075 	 8.411e+06 	 1.157e+07
16.125 	 8.403e+06 	 1.157e+07
16.175 	 8.396e+06 	 1.157e+07
16.225 	 8.388e+06 	 1.157e+07
16.275 	 8.380e+06 	 1.157e+07
16.325 	 8.373e+06 	 1.157e+07
16.375 	 8.365e+06 	 1.157e+07
16.425 	 -3.183e+06 	 1.157e+07
16.475 	 1.989e+07 	 1.634e+07
16.525 	 8.342e+06 	 1.157e+07
16.575 	 -3.206e+06 	 1.157e+07
16.625 	 -3.213e+06 	 1.157e+07
16.675 	 -3.221e+06 	 1.157e+07
16.725 	 8.312e+06 	 1.157e+07
16.775 	 8.304e+06 	 1.157e+07
16.825 	 -3.243e+06 	 1.157e+07
16.875 	 -3.251e+06 	 1.157e+07
16.925 	 -3.259e+06 	 1.157e+07
16.975 	 1.981e+07 	 1.634e+07
17.025 	 -3.274e+06 	 1.157e+07
17.075 	 -3.281e+06 	 1.157e+07
17.125 	 -3.289e+06 	 1.157e+07
17.175 	 -3.296e+06 	 1.157e+07
17.225 	 8.237e+06 	 1.157e+07
17.275 	 -3.311e+06 	 1.157e+07
17.325 	 8.222e+06 	 1.157e+07
17.375 	 -3.326e+06 	 1.157e+07
17.425 	 8.206e+06 	 1.157e+07
17.475 	 -3.341e+06 	 1.157e+07
17.525 	 -3.349e+06 	 1.157e+07
17.575 	 -3.356e+06 	 1.158e+07
17.625 	 -3.364e+06 	 1.158e+07
17.675 	 8.169e+06 	 1.158e+07
17.725 	 8.161e+06 	 1.158e+07
17.775 	 -3.386e+06 	 1.158e+07
17.825 	 -3.394e+06 	 1.158e+07
17.875 	 -3.402e+06 	 1.158e+07
17.925 	 -3.409e+06 	 1.158e+07
17.975 	 8.124e+06 	 1.158e+07
18.025 	 1.966e+07 	 1.635e+07
18.075 	 -3.431e+06 	 1.158e+07
18.125 	 -3.439e+06 	 1.158e+07
18.175 	 -3.446e+06 	 1.158e+07
18.225 	 -3.454e+06 	 1.158e+07
18.275 	 -3.461e+06 	 1.158e+07
