WRF ANALYSIS
Date & time = ,2023-07-13, 12:56
Display format=,3
Program version:,2021-05-25

Scan file = ,N181127-001-999_WRF_090-078_4_13425888_AL_13515891_S1_40X_1hr
Port & distance (cm) =,784,51.8
WRF ID; Al blast(um) & cal=,13425888-g058 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,21,15,6.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.565,0.042,1.23

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.992,0.296,1.363e+10
Value (raw stats):, 14.996,0.285,1.362e+10
Uncertainties
    Random:, 0.044,0.002,18.84%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.002,11.94%
     DvE:, 0.007,0.000,14.55%
     Dmax:, 0.028,0.000,0.90%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 -3.160e+07 	 2.899e+08
4.575 	 4.027e+07 	 5.950e+07
4.625 	 6.946e+07 	 6.255e+07
4.675 	 6.456e+07 	 4.684e+07
4.725 	 5.120e+07 	 3.781e+07
4.775 	 9.471e+07 	 4.880e+07
4.825 	 -1.447e+07 	 2.187e+07
4.875 	 7.237e+06 	 2.187e+07
4.925 	 7.125e+06 	 2.187e+07
4.975 	 -1.480e+07 	 2.187e+07
5.025 	 2.872e+07 	 3.089e+07
5.075 	 -1.502e+07 	 2.187e+07
5.125 	 -1.513e+07 	 2.187e+07
5.175 	 6.577e+06 	 2.187e+07
5.225 	 6.469e+06 	 2.188e+07
5.275 	 6.357e+06 	 2.188e+07
5.325 	 6.248e+06 	 2.188e+07
5.375 	 -1.568e+07 	 2.188e+07
5.425 	 -1.578e+07 	 2.188e+07
5.475 	 5.922e+06 	 2.188e+07
5.525 	 5.814e+06 	 2.188e+07
5.575 	 -1.611e+07 	 2.188e+07
5.625 	 4.922e+07 	 3.782e+07
5.675 	 5.489e+06 	 2.188e+07
5.725 	 4.901e+07 	 3.782e+07
5.775 	 5.273e+06 	 2.189e+07
5.825 	 -1.665e+07 	 2.189e+07
5.875 	 5.057e+06 	 2.189e+07
5.925 	 4.951e+06 	 2.189e+07
5.975 	 4.843e+06 	 2.189e+07
6.025 	 -1.708e+07 	 2.189e+07
