WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
N181127-001 00-000:1,11280000000.0,1992048000.0,12.28,0.08949860334105779,0.341,0.008,803.0550000000001,18.84,109.96624447006559,11.596114712620864,nan,inf,nan,inf,nan,nan
N181127-001 00-000:2,4646000000.0,1951320000.0,12.301,0.0785175139698144,0.396,0.014,932.58,32.97,109.00661609767636,11.313930043594173,nan,inf,nan,inf,nan,nan
N181127-001 00-000:3,25620000000.0,14634144000.0,12.138,0.0792464510246358,0.37,0.004,871.35,9.42,116.49628950539794,12.108407101605701,nan,inf,nan,inf,nan,nan
N181127-001 00-000:4,7814000000.0,8918118200.0,12.213,0.09167878707749137,0.358,0.01,843.0899999999999,23.55,113.04463052776978,11.937180635519162,nan,inf,nan,inf,nan,nan
N181127-001 90-078:1,13730000000.0,1116249000.0000002,15.005,0.07441102068914254,0.305,0.003,718.275,7.065,nan,nan,nan,inf,nan,inf,nan,nan
N181127-001 90-078:3,39830000000.0,19859238000.0,14.926,0.06652818951391959,0.294,0.006,692.37,14.13,nan,nan,nan,inf,nan,inf,nan,nan
N181127-001 90-078:4,13630000000.0,2567892000.0,14.992,0.06585590330410783,0.296,0.002,697.0799999999999,4.71,nan,nan,nan,inf,nan,inf,nan,nan
N181128-001 00-000:1,63200000000.0,33672960000.0,12.462,0.07582216034906945,0.382,0.005,899.61,11.775,102.82025478362743,10.249629783434207,nan,inf,nan,inf,nan,nan
N181128-001 00-000:2,9869000000.0,2624167100.0,12.558,0.0764198926981712,0.479,0.009,1128.0449999999998,21.194999999999997,98.35462820517947,9.829737190694392,nan,inf,nan,inf,nan,nan
N181128-001 00-000:3,48660000000.0,91578120000.0,12.401,0.0792085853932514,0.396,0.005,932.58,11.775,105.66035156789064,10.567787532501617,nan,inf,nan,inf,nan,nan
N181128-001 00-000:4,39450000000.0,7893945000.000001,12.439,0.07582216034906945,0.346,0.003,814.8299999999999,7.065,103.91020909949117,10.35181788316006,nan,inf,nan,inf,nan,nan
N181128-001 90-078:1,29450000000.0,6670425000.0,15.095,0.06585590330410783,0.339,0.003,798.345,7.065,nan,nan,nan,inf,nan,inf,nan,nan
N181128-001 90-078:3,44900000000.0,28798860000.0,15.175,0.06720863039818621,0.31,0.003,730.05,7.065,nan,nan,nan,inf,nan,inf,nan,nan
N181128-001 90-078:4,18400000000.0,3260480000.0,15.245,0.06444377394287208,0.315,0.002,741.825,4.71,nan,nan,nan,inf,nan,inf,nan,nan
