WRF ANALYSIS
Date & time = ,2023-07-13, 13:12
Display format=,3
Program version:,2021-05-25

Scan file = ,N181128-001-999_WRF_090-078_1_13425890_AL_13515889_S2_40x_1hr
Port & distance (cm) =,781,51.8
WRF ID; Al blast(um) & cal=,13425890-g060 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,22,15,6.55,0.25,new
Dlow; Dhigh; Dauto; Elims =,11.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.538,0.058,2.26

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.095,0.339,2.945e+10
Value (raw stats):, 15.084,0.333,2.951e+10
Uncertainties
    Random:, 0.044,0.003,22.65%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.002,11.56%
     DvE:, 0.008,0.002,19.45%
     Dmax:, 0.029,0.000,0.90%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 -1.335e+07 	 3.396e+08
4.475 	 5.781e+07 	 7.216e+07
4.525 	 -1.226e+07 	 4.265e+07
4.575 	 1.743e+07 	 2.810e+07
4.625 	 -1.072e+07 	 2.810e+07
4.675 	 -1.080e+07 	 2.811e+07
4.725 	 1.717e+07 	 2.811e+07
4.775 	 -1.097e+07 	 2.811e+07
4.825 	 1.700e+07 	 2.811e+07
4.875 	 1.692e+07 	 2.811e+07
4.925 	 1.683e+07 	 2.811e+07
4.975 	 -1.131e+07 	 2.811e+07
5.025 	 -1.139e+07 	 2.811e+07
5.075 	 4.464e+07 	 3.972e+07
5.125 	 4.456e+07 	 3.972e+07
5.175 	 -1.165e+07 	 2.811e+07
5.225 	 7.245e+07 	 4.863e+07
5.275 	 7.237e+07 	 4.863e+07
5.325 	 -1.190e+07 	 2.811e+07
5.375 	 4.414e+07 	 3.972e+07
5.425 	 1.600e+07 	 2.812e+07
5.475 	 1.591e+07 	 2.812e+07
5.525 	 1.583e+07 	 2.812e+07
5.575 	 -1.231e+07 	 2.812e+07
5.625 	 -1.240e+07 	 2.812e+07
5.675 	 -1.248e+07 	 2.812e+07
5.725 	 -1.256e+07 	 2.812e+07
5.775 	 -1.264e+07 	 2.812e+07
5.825 	 1.534e+07 	 2.812e+07
5.875 	 1.525e+07 	 2.812e+07
5.925 	 1.517e+07 	 2.812e+07
5.975 	 4.315e+07 	 3.973e+07
6.025 	 1.501e+07 	 2.813e+07
6.075 	 -1.314e+07 	 2.813e+07
6.125 	 1.484e+07 	 2.813e+07
6.175 	 7.088e+07 	 4.864e+07
6.225 	 1.468e+07 	 2.813e+07
6.275 	 1.460e+07 	 2.813e+07
6.325 	 9.870e+07 	 5.616e+07
6.375 	 -1.362e+07 	 2.813e+07
6.425 	 4.242e+07 	 3.973e+07
6.475 	 1.428e+07 	 2.813e+07
6.525 	 7.032e+07 	 4.865e+07
6.575 	 -1.394e+07 	 2.813e+07
6.625 	 4.210e+07 	 3.974e+07
6.675 	 7.009e+07 	 4.865e+07
6.725 	 9.807e+07 	 5.616e+07
6.775 	 1.380e+07 	 2.814e+07
6.825 	 1.372e+07 	 2.814e+07
6.875 	 1.364e+07 	 2.814e+07
6.925 	 1.357e+07 	 2.814e+07
6.975 	 1.349e+07 	 2.814e+07
7.025 	 -1.465e+07 	 2.814e+07
7.075 	 6.945e+07 	 4.865e+07
7.125 	 -1.481e+07 	 2.814e+07
7.175 	 1.317e+07 	 2.815e+07
7.225 	 1.309e+07 	 2.815e+07
7.275 	 -1.505e+07 	 2.815e+07
7.325 	 1.293e+07 	 2.815e+07
7.375 	 9.704e+07 	 5.617e+07
7.425 	 9.696e+07 	 5.617e+07
7.475 	 9.688e+07 	 5.617e+07
7.525 	 1.249e+08 	 6.279e+07
7.575 	 6.867e+07 	 4.866e+07
7.625 	 6.859e+07 	 4.866e+07
7.675 	 -1.567e+07 	 2.815e+07
7.725 	 6.843e+07 	 4.866e+07
7.775 	 -1.583e+07 	 2.816e+07
7.825 	 9.634e+07 	 5.617e+07
7.875 	 4.014e+07 	 3.975e+07
7.925 	 1.200e+07 	 2.816e+07
7.975 	 1.192e+07 	 2.816e+07
8.025 	 3.990e+07 	 3.975e+07
8.075 	 3.983e+07 	 3.976e+07
8.125 	 1.169e+07 	 2.816e+07
8.175 	 -1.645e+07 	 2.816e+07
8.225 	 1.153e+07 	 2.816e+07
8.275 	 1.146e+07 	 2.817e+07
8.325 	 6.750e+07 	 4.866e+07
8.375 	 1.130e+07 	 2.817e+07
8.425 	 6.735e+07 	 4.867e+07
8.475 	 1.234e+08 	 6.279e+07
8.525 	 -1.699e+07 	 2.817e+07
8.575 	 3.906e+07 	 3.976e+07
