type,DIM,position,distance,theta,phi,filter ID,bert ID,ernie ID,snout configuration
WRF,TC000-000,1,52.02628184445273,13.38670929068215,165.57334518350694,13425852,13516445,13516439,HGXD4-H-1200-6.35
WRF,TC000-000,2,52.02628184445273,13.38670929068215,194.42665481649303,13425937,13516467,14044875,HGXD4-H-1200-6.35
WRF,TC000-000,3,52.02628184445273,13.38670929068215,345.57334518350694,13425943,13516468,14044874,HGXD4-H-1200-6.35
WRF,TC000-000,4,52.02628184445273,13.38670929068215,14.426654816493068,13425933,13516469,14044873,HGXD4-H-1200-6.35
WRF,TC090-078,1,51.83173660578625,76.97115807939502,81.40667096838155,13425853,13516460,14044872,RGXD4-H-1200-6.35
WRF,TC090-078,3,51.83173660578625,103.02884192060498,74.59332903161845,13425843,13516464,14044871,RGXD4-H-1200-6.35
WRF,TC090-078,4,51.83173660578625,103.02884192060498,81.40667096838155,13425897,13516437,13516440,RGXD4-H-1200-6.35
WRF,TC090-315,1,34.271216766530955,70.01964257607156,320.3434611287817,13425880,13516472,14044805,VNIS-H-640-25.4
SRF,TC090-315,2,34.271216766530955,70.01964257607156,309.6565388712183,14044878,13503135,,VNIS-H-640-25.4
WRF,TC090-315,3,34.271216766530955,109.98035742392844,309.6565388712183,13425919,13516476,14044865,VNIS-H-640-25.4
WRF,TC090-315,4,34.271216766530955,109.98035742392844,320.3434611287817,13425936,13516461,13516473,VNIS-H-640-25.4
