WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
090-078:1 (bottom),16100000.0,27102740.0,12.339135767555524,0.2600583370122669,0.2596010519346885,0.366
090-078:1 (top),15070000.0,22641168.0,12.763567895301708,0.35292490007855015,0.331983716101786,0.946
090-078:3 (bottom),13080000.0,42839616.0,12.06775472731267,0.4085248985285439,0.3362998812744076,0.197
090-078:3 (top),58800000.0,57012480.0,12.314893786903069,0.18505941096196743,0.17789195665645163,0.342
090-078:4 (full),19540000.0,5934298.0,12.504010489132188,0.11449822291342304,0.29617938693625057,0.057
090-315:1 (bottom),11030000.0,30410813.0,10.740184060778567,0.8333030866850288,1.0335718849128481,2.194
090-315:1 (top),11170000.0,30676171.0,12.624351624452132,0.31749652789606486,0.5069458776231643,0.455
090-315:3 (bottom),15900000.0,55273170.0,10.843433682835846,0.4101241663133415,0.4446357457977843,0.428
090-315:3 (top),25400000.0,86405720.0,12.64771659259785,0.4348059734500316,0.5225527027517334,0.333
090-315:4 (full),19010000.0,52885820.0,11.296123844179405,1.1105271521397055,0.9807778931886446,1.481
