WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
N220207-001 090-078:1,90560000.0,69504800.0,10.979,0.3456067128977677,1.784,2.752,144.81701663864013,18.587160592090942,22.526988868398803,101.25713404665277
N220207-001 090-078:3,39330000.0,136549827.0,9.603,0.7352448571734453,1.383,4.63,198.17456211116453,34.212570794572834,32.88848562349587,144.0037801584044
N220207-001 090-078:4,45060000.0,152347860.00000003,10.106,0.7460147451625873,1.362,2.136,178.90808663452728,33.48183282339423,29.106471898683626,128.5947763326801
N220207-001 090-124:1,100100000.0,343773430.0,10.473,0.6283709095749102,1.487,2.53,164.62575965040688,28.789378467664545,26.33181844917774,117.15249012825106
N220207-001 090-124:4,28630000.0,100597231.0,11.192,0.9369877267072393,1.141,2.537,136.39396639807632,38.69941296617359,20.92532687157484,94.4900444977365
N220208-001 090-078:1,129900000.0,190641240.0,9.158,0.3739959892833077,1.503,1.362,210.8650939573016,22.72766386554424,32.463086583590766,156.5104620337937
N220208-001 090-078:3,93340000.0,308600708.0,9.917,0.7709169864518488,1.906,2.14,182.76412903956043,32.50396732056702,27.33288084465687,133.6484034573035
N220208-001 090-078:4,133800000.0,97232460.0,9.446,0.20342320418280704,1.572,1.555,200.277906225063,18.513069358347778,30.519244016464018,147.9050726378439
N220208-001 090-124:1,68900000.0,213031910.0,9.24,0.5297791992896663,1.752,2.517,207.84410911175482,26.313096143017766,31.907095339397543,154.05597063797524
N220208-001 090-124:3,159100000.0,48461860.0,9.793,0.18681541692269404,1.653,2.665,187.42052277404434,16.928962106322217,28.176410616767978,137.44137872453283
N220208-001 090-124:4,53340000.0,41514522.0,10.07,0.39472775428135276,1.76,2.491,176.99721632997355,20.586158839438998,26.291901201884805,128.94831868358145
N220208-002 090-078:3,137700000.0,442967130.0,9.483,0.26732751448363856,1.848,0.977,184.70489095857522,15.874853426065517,26.14225888862371,136.3372734744
N220208-002 090-078:4,144300000.0,33419880.0,9.183,0.19201041638411182,1.657,0.786,194.82977498449483,15.411493176097471,27.89453774161188,144.66648200277723
N220208-002 090-124:1,137900000.0,111216350.0,9.902,0.38389191187103694,1.827,0.91,170.40229533626777,17.623723953495745,23.689331647187387,124.55624196524408
N220208-002 090-124:3,334300000.0,81736350.0,10.151,0.1257179382586272,1.984,0.149,161.82177059316996,11.748792319571619,22.230753480681667,117.48037798585185
N220208-002 090-124:4,98320000.0,306374952.0,9.867,0.3948987211931687,1.765,0.513,171.6037429553846,17.98252280692875,23.89435131199885,125.54653212993422
