WRF ANALYSIS
Date & time = ,2022-09-19, 14:28
Display format=,3
Program version:,2020-03-30

Scan file = ,N220905-002-999_WRF_090-078_1_13425940_AL_13517171_S1_40X_4.5HR
Port & distance (cm) =,781,51.8
WRF ID; Al blast(um) & cal=,13425940-g110 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-31),-1.291,1.072,-0.981,-0.006
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,62,75,0,63,
C; e; Dmax; dDmax; Dscale =,15,15,14.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.300,0.200,11.56

Fit limits (MeV):,6.000,14.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 10.149,1.571,9.808e+08
Uncertainties
    Random:, 0.244,0.552,111.21%
    Systematic calib:, 0.066,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.126,0.550,6.77%
     DvE:, 0.206,0.046,111.00%
     Dmax:, 0.015,0.000,0.69%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 -8.750e+06 	 1.061e+08
4.850 	 -9.073e+06 	 4.564e+07
4.950 	 -8.575e+06 	 2.588e+07
5.050 	 -8.364e+06 	 1.646e+07
5.150 	 1.438e+07 	 1.581e+07
5.250 	 3.225e+07 	 1.779e+07
5.350 	 3.477e+05 	 7.980e+06
5.450 	 9.359e+06 	 1.016e+07
5.550 	 3.395e+06 	 8.305e+06
5.650 	 8.555e+06 	 8.852e+06
5.750 	 1.727e+07 	 1.083e+07
5.850 	 8.321e+06 	 8.853e+06
5.950 	 1.262e+07 	 9.894e+06
6.050 	 8.088e+06 	 8.854e+06
6.150 	 -8.600e+05 	 6.276e+06
6.250 	 2.553e+07 	 1.251e+07
6.350 	 2.100e+07 	 1.170e+07
6.450 	 2.530e+07 	 1.251e+07
6.550 	 3.844e+07 	 1.466e+07
6.650 	 2.949e+07 	 1.327e+07
6.750 	 2.938e+07 	 1.327e+07
6.850 	 5.135e+07 	 1.654e+07
6.950 	 3.358e+07 	 1.398e+07
7.050 	 7.322e+07 	 1.926e+07
7.150 	 3.777e+07 	 1.466e+07
7.250 	 3.766e+07 	 1.466e+07
7.350 	 4.639e+07 	 1.594e+07
7.450 	 7.720e+07 	 1.976e+07
7.550 	 6.826e+07 	 1.875e+07
7.650 	 5.931e+07 	 1.768e+07
7.750 	 1.122e+08 	 2.338e+07
7.850 	 1.209e+08 	 2.420e+07
7.950 	 8.549e+07 	 2.073e+07
8.050 	 7.655e+07 	 1.977e+07
8.150 	 8.086e+07 	 2.025e+07
8.250 	 1.028e+08 	 2.253e+07
8.350 	 1.116e+08 	 2.338e+07
8.450 	 1.733e+08 	 2.863e+07
8.550 	 1.379e+08 	 2.576e+07
8.650 	 1.378e+08 	 2.577e+07
8.750 	 1.818e+08 	 2.931e+07
8.850 	 2.038e+08 	 3.093e+07
8.950 	 1.640e+08 	 2.794e+07
9.050 	 1.948e+08 	 3.029e+07
9.150 	 1.726e+08 	 2.863e+07
9.250 	 2.078e+08 	 3.124e+07
9.350 	 2.077e+08 	 3.124e+07
9.450 	 2.518e+08 	 3.422e+07
9.550 	 2.870e+08 	 3.643e+07
9.650 	 2.118e+08 	 3.155e+07
9.750 	 2.117e+08 	 3.155e+07
9.850 	 2.646e+08 	 3.507e+07
9.950 	 2.380e+08 	 3.336e+07
10.050 	 1.982e+08 	 3.061e+07
10.150 	 1.848e+08 	 2.964e+07
10.250 	 2.112e+08 	 3.155e+07
10.350 	 1.714e+08 	 2.864e+07
10.450 	 2.464e+08 	 3.394e+07
10.550 	 2.551e+08 	 3.451e+07
10.650 	 2.197e+08 	 3.217e+07
10.750 	 2.108e+08 	 3.155e+07
10.850 	 2.416e+08 	 3.365e+07
10.950 	 1.708e+08 	 2.864e+07
11.050 	 2.237e+08 	 3.247e+07
11.150 	 2.325e+08 	 3.306e+07
11.250 	 1.926e+08 	 3.029e+07
11.350 	 1.351e+08 	 2.577e+07
11.450 	 1.880e+08 	 2.997e+07
11.550 	 2.100e+08 	 3.156e+07
11.650 	 2.320e+08 	 3.307e+07
11.750 	 1.878e+08 	 2.997e+07
11.850 	 1.258e+08 	 2.500e+07
11.950 	 1.522e+08 	 2.724e+07
12.050 	 1.256e+08 	 2.500e+07
12.150 	 1.211e+08 	 2.461e+07
12.250 	 1.166e+08 	 2.421e+07
12.350 	 1.033e+08 	 2.297e+07
12.450 	 9.879e+07 	 2.254e+07
12.550 	 1.031e+08 	 2.297e+07
12.650 	 1.163e+08 	 2.421e+07
12.750 	 3.228e+07 	 1.468e+07
12.850 	 4.544e+07 	 1.656e+07
12.950 	 3.211e+07 	 1.468e+07
13.050 	 1.877e+07 	 1.254e+07
13.150 	 4.518e+07 	 1.656e+07
13.250 	 5.393e+07 	 1.770e+07
13.350 	 5.385e+07 	 1.770e+07
13.450 	 3.610e+07 	 1.534e+07
13.550 	 3.159e+07 	 1.469e+07
13.650 	 1.826e+07 	 1.254e+07
13.750 	 1.818e+07 	 1.254e+07
13.850 	 2.251e+07 	 1.329e+07
13.950 	 3.441e+05 	 8.900e+06
14.050 	 2.676e+07 	 1.401e+07
14.150 	 9.013e+06 	 1.087e+07
14.250 	 8.931e+06 	 1.087e+07
14.350 	 8.850e+06 	 1.088e+07
14.450 	 8.769e+06 	 1.088e+07
14.550 	 1.752e+07 	 1.254e+07
14.650 	 1.744e+07 	 1.254e+07
14.750 	 2.178e+07 	 1.330e+07
14.850 	 1.286e+07 	 1.174e+07
14.950 	 8.368e+06 	 1.088e+07
15.050 	 -5.446e+05 	 8.907e+06
15.150 	 1.263e+07 	 1.174e+07
15.250 	 -7.010e+05 	 8.908e+06
15.350 	 -7.790e+05 	 8.909e+06
15.450 	 -9.690e+06 	 6.353e+06
15.550 	 -1.418e+07 	 4.568e+06
15.650 	 7.824e+06 	 1.088e+07
15.750 	 -1.086e+06 	 8.911e+06
15.850 	 -1.441e+07 	 4.572e+06
15.950 	 -5.654e+06 	 7.741e+06
16.050 	 -1.014e+07 	 6.358e+06
16.150 	 -5.803e+06 	 7.742e+06
16.250 	 -5.876e+06 	 7.743e+06
16.350 	 -1.478e+07 	 4.578e+06
16.450 	 -6.024e+06 	 7.745e+06
16.550 	 -1.681e+06 	 8.916e+06
16.650 	 -1.059e+07 	 6.363e+06
16.750 	 1.584e+07 	 1.255e+07
16.850 	 6.936e+06 	 1.089e+07
16.950 	 -1.080e+07 	 6.366e+06
17.050 	 -2.041e+06 	 8.919e+06
17.150 	 1.114e+07 	 1.175e+07
17.250 	 2.234e+06 	 9.954e+06
17.350 	 -6.669e+06 	 7.751e+06
17.450 	 1.534e+07 	 1.255e+07
17.550 	 -1.123e+07 	 6.371e+06
17.650 	 1.079e+07 	 1.175e+07
17.750 	 -1.136e+07 	 6.373e+06
17.850 	 1.065e+07 	 1.175e+07
17.950 	 -7.084e+06 	 7.755e+06
18.050 	 -1.157e+07 	 6.375e+06
18.150 	 6.031e+06 	 1.089e+07
18.250 	 -1.170e+07 	 6.377e+06
18.350 	 -7.353e+06 	 7.758e+06
18.450 	 -1.184e+07 	 6.379e+06
18.550 	 -3.068e+06 	 8.928e+06
18.650 	 -1.197e+07 	 6.380e+06
18.750 	 -7.616e+06 	 7.760e+06
18.850 	 5.570e+06 	 1.090e+07
18.950 	 -6.657e+06 	 8.665e+06
19.050 	 -3.364e+06 	 1.421e+07
19.150 	 0.000e+00 	 0.000e+00
19.250 	 0.000e+00 	 0.000e+00
