WRF ANALYSIS
Date & time = ,2022-09-19, 14:30
Display format=,3
Program version:,2020-03-30

Scan file = ,N220905-002-999_WRF_090-078_3_13425843_AI_13517170_S2_40X_4.5HR
Port & distance (cm) =,783,51.8
WRF ID; Al blast(um) & cal=,13425843-g013 *,0,cal16.1005

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-63),-1.288,1.082,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,15.20,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.272,0.249,79.50

Fit limits (MeV):,6.000,14.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 10.061,1.609,2.058e+08
Uncertainties
    Random:, 0.589,8.338,146.09%
    Systematic calib:, 0.067,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.545,8.338,7.94%
     DvE:, 0.218,0.064,145.87%
     Dmax:, 0.014,0.000,0.69%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.042,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 -8.322e+06 	 2.276e+07
4.650 	 -7.935e+06 	 1.295e+07
4.750 	 1.456e+06 	 8.271e+06
4.850 	 -5.240e+06 	 5.642e+06
4.950 	 -5.320e+06 	 5.644e+06
5.050 	 3.727e+06 	 5.679e+06
5.150 	 -3.329e+05 	 4.035e+06
5.250 	 -4.290e+06 	 2.990e+06
5.350 	 -1.399e+06 	 2.991e+06
5.450 	 1.409e+06 	 3.896e+06
5.550 	 1.336e+06 	 3.897e+06
5.650 	 -3.204e+06 	 2.284e+06
5.750 	 7.892e+06 	 5.493e+06
5.850 	 7.820e+06 	 5.493e+06
5.950 	 3.281e+06 	 4.495e+06
6.050 	 9.910e+06 	 5.931e+06
6.150 	 1.431e+07 	 6.720e+06
6.250 	 1.424e+07 	 6.721e+06
6.350 	 9.698e+06 	 5.932e+06
6.450 	 2.927e+06 	 4.498e+06
6.550 	 5.092e+06 	 5.023e+06
6.650 	 -1.679e+06 	 3.204e+06
6.750 	 7.186e+06 	 5.498e+06
6.850 	 2.052e+07 	 7.757e+06
6.950 	 1.151e+07 	 6.342e+06
7.050 	 1.591e+07 	 7.086e+06
7.150 	 1.361e+07 	 6.725e+06
7.250 	 1.577e+07 	 7.087e+06
7.350 	 1.124e+07 	 6.344e+06
7.450 	 2.234e+07 	 8.075e+06
7.550 	 1.780e+07 	 7.432e+06
7.650 	 2.220e+07 	 8.076e+06
7.750 	 2.883e+07 	 8.955e+06
7.850 	 2.207e+07 	 8.077e+06
7.950 	 3.317e+07 	 9.496e+06
8.050 	 1.076e+07 	 6.348e+06
8.150 	 3.303e+07 	 9.497e+06
8.250 	 3.073e+07 	 9.231e+06
8.350 	 3.290e+07 	 9.498e+06
8.450 	 2.166e+07 	 8.079e+06
8.550 	 3.723e+07 	 1.001e+07
8.650 	 2.823e+07 	 8.959e+06
8.750 	 4.603e+07 	 1.096e+07
8.850 	 3.703e+07 	 1.001e+07
8.950 	 2.803e+07 	 8.960e+06
9.050 	 1.903e+07 	 7.767e+06
9.150 	 4.130e+07 	 1.050e+07
9.250 	 3.677e+07 	 1.001e+07
9.350 	 3.893e+07 	 1.026e+07
9.450 	 3.664e+07 	 1.001e+07
9.550 	 5.221e+07 	 1.163e+07
9.650 	 4.321e+07 	 1.074e+07
9.750 	 2.304e+07 	 8.389e+06
9.850 	 5.201e+07 	 1.163e+07
9.950 	 2.961e+07 	 9.239e+06
10.050 	 4.295e+07 	 1.074e+07
10.150 	 3.841e+07 	 1.026e+07
10.250 	 6.068e+07 	 1.246e+07
10.350 	 2.488e+07 	 8.684e+06
