WRF ANALYSIS
Date & time = ,2022-09-19, 10:17
Display format=,3
Program version:,2020-03-30

Scan file = ,N220905-001-999_WRF_090-124_4_13425906_AI_13517144_S2_40X_4.5HR
Port & distance (cm) =,1244,53.0
WRF ID; Al blast(um) & cal=,13425906-g076 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-63),-1.288,1.082,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,14.70,0.60,new
Dlow; Dhigh; Dauto; Elims =,7.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 0.860,0.100,8.09

Fit limits (MeV):,6.000,14.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,   - ,  - ,  - 
Value (raw stats):, 10.203,1.504,1.202e+08
Uncertainties
    Random:, 0.234,0.648,24.90%
    Systematic calib:, 0.066,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.138,0.643,10.17%
     DvE:, 0.180,0.086,22.66%
     Dmax:, 0.036,0.000,1.68%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.042,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.950 	 0.000e+00 	 0.000e+00
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 -5.020e+06 	 2.669e+07
4.550 	 -4.497e+06 	 1.088e+07
4.650 	 -4.570e+06 	 1.088e+07
4.750 	 -3.906e+06 	 5.960e+06
4.850 	 -3.967e+06 	 5.961e+06
4.950 	 -3.954e+06 	 3.729e+06
5.050 	 -4.013e+06 	 3.730e+06
5.150 	 -3.764e+05 	 3.731e+06
5.250 	 -1.172e+06 	 2.513e+06
5.350 	 3.738e+06 	 4.317e+06
5.450 	 -3.757e+06 	 2.515e+06
5.550 	 -1.327e+06 	 2.516e+06
5.650 	 -3.393e+06 	 1.772e+06
5.750 	 -3.438e+06 	 1.773e+06
5.850 	 -1.901e+03 	 2.485e+06
5.950 	 -1.787e+06 	 1.775e+06
6.050 	 4.026e+06 	 3.079e+06
6.150 	 1.480e+06 	 2.520e+06
6.250 	 1.854e+05 	 2.188e+06
6.350 	 2.645e+06 	 2.815e+06
6.450 	 3.854e+06 	 3.081e+06
6.550 	 -1.193e+06 	 1.797e+06
6.650 	 6.055e+06 	 3.030e+06
6.750 	 2.372e+06 	 2.423e+06
6.850 	 5.077e+05 	 2.054e+06
6.950 	 7.741e+06 	 3.292e+06
7.050 	 4.189e+05 	 2.054e+06
7.150 	 3.744e+05 	 2.055e+06
7.250 	 1.216e+07 	 3.871e+06
7.350 	 7.563e+06 	 3.293e+06
7.450 	 1.298e+07 	 3.976e+06
7.550 	 9.295e+06 	 3.536e+06
7.650 	 1.198e+07 	 3.872e+06
7.750 	 9.207e+06 	 3.537e+06
7.850 	 1.644e+07 	 4.374e+06
7.950 	 1.094e+07 	 3.764e+06
8.050 	 2.181e+07 	 4.909e+06
8.150 	 1.449e+07 	 4.181e+06
8.250 	 2.172e+07 	 4.909e+06
8.350 	 9.856e+06 	 3.653e+06
8.450 	 1.982e+07 	 4.738e+06
8.550 	 2.341e+07 	 5.076e+06
8.650 	 2.246e+07 	 4.994e+06
8.750 	 2.151e+07 	 4.910e+06
8.850 	 2.238e+07 	 4.994e+06
8.950 	 2.870e+07 	 5.544e+06
9.050 	 2.047e+07 	 4.826e+06
9.150 	 2.134e+07 	 4.911e+06
9.250 	 2.039e+07 	 4.827e+06
9.350 	 2.489e+07 	 5.238e+06
9.450 	 2.758e+07 	 5.470e+06
9.550 	 2.117e+07 	 4.912e+06
9.650 	 2.295e+07 	 5.078e+06
9.750 	 2.200e+07 	 4.996e+06
9.850 	 1.468e+07 	 4.283e+06
9.950 	 2.282e+07 	 5.079e+06
10.050 	 1.823e+07 	 4.654e+06
10.150 	 2.456e+07 	 5.239e+06
10.250 	 3.179e+07 	 5.837e+06
10.350 	 2.630e+07 	 5.395e+06
10.450 	 2.262e+07 	 5.080e+06
10.550 	 3.167e+07 	 5.838e+06
10.650 	 1.980e+07 	 4.830e+06
10.750 	 2.340e+07 	 5.161e+06
10.850 	 2.063e+07 	 4.915e+06
10.950 	 2.787e+07 	 5.548e+06
11.050 	 2.965e+07 	 5.695e+06
11.150 	 2.324e+07 	 5.162e+06
11.250 	 2.229e+07 	 5.082e+06
11.350 	 1.679e+07 	 4.567e+06
11.450 	 2.221e+07 	 5.082e+06
11.550 	 3.490e+07 	 6.117e+06
11.650 	 1.758e+07 	 4.658e+06
11.750 	 2.754e+07 	 5.550e+06
11.850 	 1.841e+07 	 4.746e+06
11.950 	 1.655e+07 	 4.569e+06
12.050 	 1.741e+07 	 4.659e+06
12.150 	 4.639e+06 	 3.181e+06
12.250 	 2.097e+07 	 5.002e+06
12.350 	 1.366e+07 	 4.290e+06
12.450 	 1.544e+07 	 4.479e+06
12.550 	 1.540e+07 	 4.479e+06
12.650 	 8.988e+06 	 3.778e+06
12.750 	 1.259e+07 	 4.193e+06
12.850 	 7.088e+06 	 3.553e+06
12.950 	 1.342e+07 	 4.291e+06
13.050 	 1.156e+07 	 4.094e+06
13.150 	 2.421e+06 	 2.914e+06
13.250 	 2.382e+06 	 2.915e+06
13.350 	 -3.867e+05 	 2.453e+06
13.450 	 4.122e+06 	 3.187e+06
13.550 	 8.631e+06 	 3.781e+06
13.650 	 8.592e+06 	 3.781e+06
13.750 	 6.733e+06 	 3.556e+06
13.850 	 6.694e+06 	 3.556e+06
13.950 	 -1.532e+06 	 2.281e+06
14.050 	 3.887e+06 	 3.189e+06
14.150 	 -7.007e+05 	 2.457e+06
14.250 	 3.809e+06 	 3.190e+06
14.350 	 1.041e+06 	 2.774e+06
14.450 	 -1.727e+06 	 2.284e+06
14.550 	 4.601e+06 	 3.318e+06
14.650 	 -1.805e+06 	 2.285e+06
14.750 	 -1.844e+06 	 2.286e+06
14.850 	 -1.883e+06 	 2.286e+06
14.950 	 -1.012e+06 	 2.461e+06
15.050 	 -3.780e+06 	 1.892e+06
15.150 	 -1.089e+06 	 2.462e+06
15.250 	 6.917e+05 	 2.779e+06
15.350 	 6.531e+05 	 2.779e+06
15.450 	 -4.843e+06 	 1.662e+06
15.550 	 -2.153e+06 	 2.291e+06
15.650 	 -3.101e+06 	 2.103e+06
15.750 	 -1.319e+06 	 2.466e+06
15.850 	 -2.267e+06 	 2.293e+06
15.950 	 4.234e+05 	 2.782e+06
16.050 	 -3.253e+06 	 2.106e+06
16.150 	 -5.620e+05 	 2.631e+06
16.250 	 -5.148e+06 	 1.669e+06
16.350 	 -1.548e+06 	 2.469e+06
16.450 	 -6.759e+05 	 2.632e+06
16.550 	 1.105e+06 	 2.930e+06
16.650 	 -2.571e+06 	 2.298e+06
16.750 	 2.849e+06 	 3.201e+06
16.850 	 8.258e+04 	 2.787e+06
16.950 	 -3.594e+06 	 2.112e+06
17.050 	 -9.026e+05 	 2.636e+06
17.150 	 -3.053e+04 	 2.789e+06
17.250 	 -3.707e+06 	 2.114e+06
17.350 	 -5.564e+06 	 1.679e+06
17.450 	 1.676e+06 	 3.073e+06
17.550 	 2.548e+06 	 3.205e+06
17.650 	 -3.857e+06 	 2.117e+06
17.750 	 1.564e+06 	 3.074e+06
17.850 	 -5.751e+06 	 1.683e+06
17.950 	 2.399e+06 	 3.207e+06
18.050 	 2.361e+06 	 3.207e+06
18.150 	 -4.053e+05 	 2.794e+06
18.250 	 -4.424e+05 	 2.795e+06
18.350 	 -2.299e+06 	 2.482e+06
18.450 	 4.941e+06 	 3.575e+06
18.550 	 -3.283e+06 	 2.310e+06
18.650 	 -4.230e+06 	 2.124e+06
18.750 	 -5.177e+06 	 1.921e+06
18.850 	 -5.803e+06 	 1.745e+06
18.950 	 -2.004e+06 	 2.713e+06
19.050 	 -5.514e+06 	 2.168e+06
19.150 	 -7.345e+06 	 2.116e+06
19.250 	 -7.383e+06 	 2.118e+06
19.350 	 -6.999e+06 	 3.572e+06
19.450 	 0.000e+00 	 0.000e+00
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
