WRF ANALYSIS
Date & time = ,2022-09-28, 17:09
Display format=,3
Program version:,2021-05-25

Scan file = ,N220913-002-999_WRF_000-000_3_13425867_AL_13517190_S1_40X_1.5HR
Port & distance (cm) =,003,53.0
WRF ID; Al blast(um) & cal=,13425867-g037 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-60),-1.291,1.072,-0.981,0.906
Back x0; x1; y0; y1 (cm) =,20,33,0,60,
Back x0; x1; y0; y1 (cm) =,69,75,0,63,
C; e; Dmax; dDmax; Dscale =,18,15,5.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,11.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.700,0.300,1.56

Fit limits (MeV):,9.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 14.039,1.493,2.415e+10
Uncertainties
    Random:, 0.070,0.066,242.57%
    Systematic calib:, 0.052,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.031,0.065,8.42%
     DvE:, 0.035,0.011,242.42%
     Dmax:, 0.039,0.000,1.37%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.031,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 -1.270e+09 	 6.006e+08
4.375 	 1.352e+08 	 3.317e+08
4.425 	 2.184e+08 	 2.808e+08
4.475 	 -5.928e+08 	 1.819e+08
4.525 	 -8.870e+07 	 2.500e+08
4.575 	 -7.280e+08 	 1.630e+08
4.625 	 -2.240e+08 	 2.366e+08
4.675 	 -1.774e+08 	 2.434e+08
4.725 	 9.806e+07 	 2.750e+08
4.775 	 -4.272e+08 	 2.149e+08
4.825 	 -2.089e+08 	 2.435e+08
4.875 	 -3.338e+08 	 2.297e+08
4.925 	 -5.861e+07 	 2.629e+08
4.975 	 4.539e+07 	 2.751e+08
5.025 	 -1.939e+08 	 2.502e+08
5.075 	 1.959e+08 	 2.924e+08
5.125 	 -3.866e+08 	 2.298e+08
5.175 	 -5.401e+07 	 2.691e+08
5.225 	 4.987e+07 	 2.810e+08
5.275 	 9.616e+07 	 2.868e+08
5.325 	 -2.574e+08 	 2.503e+08
5.375 	 -2.110e+08 	 2.567e+08
5.425 	 2.932e+08 	 3.088e+08
5.475 	 -3.465e+08 	 2.437e+08
5.525 	 3.861e+08 	 3.192e+08
5.575 	 -1.391e+08 	 2.692e+08
5.625 	 7.875e+07 	 2.925e+08
5.675 	 -1.033e+08 	 2.753e+08
5.725 	 -5.714e+08 	 2.228e+08
5.775 	 2.183e+08 	 3.089e+08
5.825 	 1.503e+08 	 3.036e+08
5.875 	 8.256e+08 	 3.625e+08
5.925 	 -2.713e+08 	 2.632e+08
5.975 	 -5.109e+08 	 2.371e+08
6.025 	 -5.790e+08 	 2.301e+08
6.075 	 -3.612e+08 	 2.570e+08
6.125 	 -2.004e+08 	 2.754e+08
6.175 	 -9.683e+07 	 2.871e+08
6.225 	 4.641e+08 	 3.393e+08
6.275 	 -4.615e+08 	 2.507e+08
6.325 	 9.959e+07 	 3.091e+08
6.375 	 2.029e+08 	 3.195e+08
6.425 	 -4.368e+08 	 2.572e+08
6.475 	 -4.475e+08 	 2.572e+08
6.525 	 -2.868e+08 	 2.756e+08
6.575 	 -4.117e+08 	 2.635e+08
6.625 	 3.775e+08 	 3.394e+08
6.675 	 -2.621e+08 	 2.815e+08
6.725 	 -4.445e+08 	 2.636e+08
6.775 	 1.162e+08 	 3.196e+08
6.825 	 -1.235e+08 	 2.985e+08
6.875 	 2.086e+08 	 3.297e+08
