WRF ANALYSIS
Date & time = ,2022-09-29, 15:09
Display format=,3
Program version:,2021-05-25

Scan file = ,N220914-001-999_WRF_000-000_1_13425894_AI_13517177_S2_40X_1.5HR
Port & distance (cm) =,001,53.0
WRF ID; Al blast(um) & cal=,13425894-g064 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-63),-1.288,1.082,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,25,33,0,63,
Back x0; x1; y0; y1 (cm) =,69,75,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,7.20,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.412,0.140,37.98

Fit limits (MeV):,10.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 14.598,1.387,5.051e+10
Uncertainties
    Random:, 0.095,0.035,66.69%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.031,0.034,3.81%
     DvE:, 0.069,0.006,66.57%
     Dmax:, 0.026,0.000,0.88%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.050,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 -5.598e+07 	 2.970e+08
4.675 	 2.655e+08 	 2.059e+08
4.725 	 2.112e+07 	 1.472e+08
4.775 	 -1.586e+07 	 1.440e+08
4.825 	 1.586e+08 	 1.357e+08
4.875 	 1.931e+08 	 1.166e+08
4.925 	 1.393e+08 	 1.132e+08
4.975 	 3.660e+08 	 1.107e+08
5.025 	 1.787e+08 	 1.002e+08
5.075 	 6.052e+07 	 7.966e+07
5.125 	 8.330e+07 	 8.132e+07
5.175 	 8.743e+07 	 8.187e+07
5.225 	 1.104e+08 	 8.348e+07
5.275 	 9.544e+07 	 8.295e+07
5.325 	 2.124e+08 	 8.963e+07
5.375 	 3.760e+07 	 8.025e+07
5.425 	 9.818e+07 	 8.403e+07
5.475 	 -2.023e+07 	 7.746e+07
5.525 	 7.785e+07 	 8.352e+07
5.575 	 -7.815e+07 	 7.456e+07
5.625 	 1.610e+08 	 8.867e+07
5.675 	 -6.086e+07 	 7.633e+07
5.725 	 1.407e+08 	 8.818e+07
5.775 	 8.808e+07 	 8.564e+07
5.825 	 7.258e+06 	 8.141e+07
5.875 	 2.051e+07 	 8.250e+07
5.925 	 -5.085e+07 	 7.866e+07
5.975 	 -6.587e+07 	 7.810e+07
6.025 	 -9.973e+07 	 7.639e+07
6.075 	 -1.128e+07 	 8.199e+07
6.125 	 1.137e+07 	 8.360e+07
6.175 	 9.987e+07 	 8.874e+07
6.225 	 1.897e+07 	 8.466e+07
6.275 	 -1.560e+08 	 7.467e+07
6.325 	 -4.870e+07 	 8.148e+07
6.375 	 8.667e+07 	 8.927e+07
6.425 	 2.459e+07 	 8.625e+07
6.475 	 4.719e+07 	 8.778e+07
6.525 	 -2.434e+07 	 8.418e+07
6.575 	 -1.428e+08 	 7.762e+07
6.625 	 6.770e+07 	 8.980e+07
6.675 	 7.148e+07 	 9.030e+07
6.725 	 -3.778e+07 	 8.474e+07
6.775 	 1.282e+07 	 8.782e+07
6.825 	 -3.061e+07 	 8.579e+07
6.875 	 1.062e+07 	 8.834e+07
6.925 	 1.429e+07 	 8.885e+07
6.975 	 -6.694e+07 	 8.478e+07
7.025 	 1.812e+08 	 9.787e+07
7.075 	 1.096e+08 	 9.466e+07
7.125 	 -9.380e+06 	 8.888e+07
7.175 	 1.541e+08 	 9.744e+07
7.225 	 -1.059e+08 	 8.430e+07
7.275 	 1.117e+06 	 9.039e+07
7.325 	 -2.382e+07 	 8.941e+07
7.375 	 -7.672e+07 	 8.691e+07
7.425 	 -3.584e+07 	 8.943e+07
7.475 	 3.354e+07 	 9.331e+07
7.525 	 1.214e+08 	 9.795e+07
7.575 	 3.078e+07 	 9.380e+07
7.625 	 -7.889e+07 	 8.847e+07
7.675 	 -1.039e+08 	 8.747e+07
7.725 	 5.945e+07 	 9.616e+07
7.775 	 1.473e+08 	 1.007e+08
7.825 	 -1.223e+08 	 8.750e+07
7.875 	 -7.206e+07 	 9.049e+07
7.925 	 -7.828e+07 	 9.050e+07
7.975 	 -1.974e+08 	 8.443e+07
8.025 	 -3.443e+07 	 9.341e+07
8.075 	 -2.980e+06 	 9.529e+07
8.125 	 4.706e+07 	 9.805e+07
8.175 	 1.820e+08 	 1.046e+08
8.225 	 -1.349e+08 	 8.957e+07
8.275 	 1.865e+07 	 9.762e+07
8.325 	 -4.413e+07 	 9.487e+07
8.375 	 -6.939e+07 	 9.394e+07
8.425 	 -1.604e+08 	 8.961e+07
8.475 	 6.830e+07 	 1.012e+08
8.525 	 1.089e+08 	 1.034e+08
8.575 	 3.652e+07 	 1.004e+08
8.625 	 -1.393e+08 	 9.209e+07
8.675 	 4.237e+07 	 1.013e+08
8.725 	 -6.766e+07 	 9.633e+07
8.775 	 5.752e+07 	 1.026e+08
8.825 	 -1.374e+08 	 9.356e+07
8.875 	 -1.909e+08 	 9.117e+07
8.925 	 1.129e+08 	 1.060e+08
8.975 	 -1.477e+08 	 9.406e+07
9.025 	 -7.903e+07 	 9.776e+07
9.075 	 1.496e+08 	 1.085e+08
9.125 	 -2.335e+08 	 9.074e+07
9.175 	 1.643e+08 	 1.097e+08
9.225 	 2.893e+08 	 1.153e+08
9.275 	 2.841e+07 	 1.044e+08
9.325 	 2.167e+07 	 1.044e+08
9.375 	 6.196e+07 	 1.065e+08
9.425 	 1.020e+08 	 1.086e+08
9.475 	 -9.291e+07 	 1.001e+08
9.525 	 9.774e+07 	 1.090e+08
9.575 	 2.489e+07 	 1.061e+08
9.625 	 -1.984e+08 	 9.606e+07
9.675 	 1.334e+08 	 1.114e+08
9.725 	 -5.422e+06 	 1.057e+08
9.775 	 -1.912e+08 	 9.747e+07
9.825 	 -1.606e+08 	 9.928e+07
9.875 	 1.617e+08 	 1.138e+08
9.925 	 -9.000e+07 	 1.032e+08
9.975 	 7.228e+07 	 1.107e+08
10.025 	 8.386e+07 	 1.115e+08
10.075 	 1.050e+08 	 1.127e+08
10.125 	 -1.093e+08 	 1.037e+08
10.175 	 2.411e+08 	 1.188e+08
10.225 	 3.657e+08 	 1.240e+08
10.275 	 7.602e+07 	 1.127e+08
10.325 	 -1.758e+08 	 1.020e+08
10.375 	 1.180e+08 	 1.151e+08
10.425 	 1.671e+08 	 1.174e+08
10.475 	 1.973e+08 	 1.189e+08
10.525 	 1.241e+08 	 1.163e+08
10.575 	 1.261e+08 	 1.167e+08
10.625 	 -5.065e+07 	 1.096e+08
10.675 	 1.677e+08 	 1.189e+08
10.725 	 1.979e+08 	 1.204e+08
10.775 	 1.715e+08 	 1.197e+08
10.825 	 4.556e+08 	 1.307e+08
10.875 	 4.293e+08 	 1.300e+08
10.925 	 5.723e+08 	 1.354e+08
10.975 	 4.893e+08 	 1.327e+08
11.025 	 4.912e+08 	 1.331e+08
11.075 	 8.411e+08 	 1.452e+08
11.125 	 4.853e+08 	 1.334e+08
11.175 	 7.128e+08 	 1.415e+08
11.225 	 4.887e+08 	 1.341e+08
11.275 	 9.983e+08 	 1.512e+08
11.325 	 1.169e+09 	 1.567e+08
11.375 	 1.406e+09 	 1.638e+08
11.425 	 1.295e+09 	 1.609e+08
11.475 	 1.259e+09 	 1.600e+08
11.525 	 1.420e+09 	 1.650e+08
11.575 	 1.789e+09 	 1.754e+08
11.625 	 1.875e+09 	 1.779e+08
11.675 	 1.829e+09 	 1.769e+08
11.725 	 2.339e+09 	 1.902e+08
11.775 	 2.190e+09 	 1.867e+08
11.825 	 2.501e+09 	 1.946e+08
11.875 	 2.681e+09 	 1.991e+08
11.925 	 3.012e+09 	 2.069e+08
11.975 	 3.079e+09 	 2.086e+08
12.025 	 3.513e+09 	 2.184e+08
12.075 	 3.562e+09 	 2.196e+08
12.125 	 3.770e+09 	 2.242e+08
12.175 	 4.025e+09 	 2.297e+08
12.225 	 4.243e+09 	 2.343e+08
12.275 	 4.347e+09 	 2.365e+08
12.325 	 4.489e+09 	 2.395e+08
12.375 	 4.848e+09 	 2.466e+08
12.425 	 5.536e+09 	 2.596e+08
12.475 	 5.575e+09 	 2.604e+08
12.525 	 5.566e+09 	 2.604e+08
12.575 	 6.301e+09 	 2.735e+08
12.625 	 6.688e+09 	 2.803e+08
12.675 	 7.329e+09 	 2.910e+08
12.725 	 7.583e+09 	 2.952e+08
12.775 	 7.358e+09 	 2.917e+08
12.825 	 7.528e+09 	 2.946e+08
12.875 	 7.586e+09 	 2.957e+08
12.925 	 8.546e+09 	 3.107e+08
