WRF ANALYSIS
Date & time = ,2022-09-28, 17:21
Display format=,3
Program version:,2021-05-25

Scan file = ,N220914-001-999_WRF_000-000_3_13425853_AI_13517174_S2_40X_1.5HR
Port & distance (cm) =,001,53.0
WRF ID; Al blast(um) & cal=,13425853-g023 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-60),-1.288,1.082,-0.988,0.905
Back x0; x1; y0; y1 (cm) =,20,33,0,60,
Back x0; x1; y0; y1 (cm) =,69,75,0,63,
C; e; Dmax; dDmax; Dscale =,35,15
Dlow; Dhigh; Dauto; Elims =,0.00,200.00,no

DvE fit: c; dc; red. Chi^2 =, 1.700,0.200,2.68

Fit limits (MeV):,9.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 14.346,1.411,1.245e+11
Uncertainties
    Random:, 0.059,0.041,115.79%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.012,0.041,5.69%
     DvE:, 0.038,0.004,115.64%
     Dmax:, 0.027,0.000,0.94%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 -3.891e+08 	 6.515e+08
4.425 	 5.120e+08 	 4.646e+08
4.475 	 1.134e+09 	 4.463e+08
4.525 	 1.285e+08 	 3.579e+08
4.575 	 2.964e+08 	 3.671e+08
4.625 	 -5.015e+08 	 3.306e+08
4.675 	 -1.543e+06 	 3.564e+08
4.725 	 1.329e+08 	 3.641e+08
4.775 	 3.374e+07 	 3.611e+08
4.825 	 -3.644e+08 	 3.438e+08
4.875 	 -9.699e+07 	 3.580e+08
4.925 	 -6.321e+07 	 3.611e+08
4.975 	 -9.483e+07 	 3.612e+08
5.025 	 -3.601e+08 	 3.503e+08
5.075 	 2.738e+08 	 3.806e+08
5.125 	 2.741e+08 	 3.821e+08
5.175 	 -2.237e+08 	 3.612e+08
5.225 	 -3.887e+08 	 3.551e+08
5.275 	 1.106e+08 	 3.792e+08
5.325 	 -8.200e+08 	 3.375e+08
5.375 	 9.112e+08 	 4.155e+08
5.425 	 -7.843e+08 	 3.425e+08
5.475 	 -5.168e+07 	 3.779e+08
5.525 	 1.490e+08 	 3.880e+08
5.575 	 1.167e+08 	 3.880e+08
5.625 	 -1.610e+07 	 3.837e+08
5.675 	 -3.807e+08 	 3.690e+08
5.725 	 -6.462e+08 	 3.584e+08
5.775 	 1.866e+08 	 3.966e+08
5.825 	 -2.454e+08 	 3.795e+08
5.875 	 -1.182e+07 	 3.910e+08
5.925 	 -5.764e+08 	 3.677e+08
5.975 	 -2.431e+08 	 3.839e+08
6.025 	 -5.422e+08 	 3.722e+08
6.075 	 -4.753e+08 	 3.767e+08
6.125 	 -6.075e+08 	 3.723e+08
6.175 	 -1.740e+08 	 3.926e+08
6.225 	 -1.067e+08 	 3.968e+08
6.275 	 1.270e+08 	 4.078e+08
6.325 	 -6.372e+08 	 3.768e+08
6.375 	 -1.380e+08 	 3.996e+08
6.425 	 -4.363e+08 	 3.884e+08
6.475 	 5.631e+08 	 4.304e+08
6.525 	 -8.336e+08 	 3.739e+08
6.575 	 -4.992e+08 	 3.899e+08
6.625 	 5.987e+08 	 4.356e+08
6.675 	 1.675e+08 	 4.201e+08
6.725 	 1.842e+06 	 4.148e+08
6.775 	 -4.307e+08 	 3.985e+08
6.825 	 -3.968e+08 	 4.013e+08
6.875 	 2.694e+08 	 4.293e+08
6.925 	 -7.945e+08 	 3.873e+08
6.975 	 -4.286e+08 	 4.041e+08
7.025 	 -2.286e+08 	 4.136e+08
7.075 	 6.376e+08 	 4.483e+08
7.125 	 1.380e+08 	 4.307e+08
7.175 	 -6.599e+08 	 4.001e+08
7.225 	 -2.749e+07 	 4.269e+08
7.275 	 -1.932e+08 	 4.217e+08
7.325 	 -5.600e+08 	 4.084e+08
7.375 	 -4.257e+08 	 4.151e+08
7.425 	 2.058e+08 	 4.410e+08
7.475 	 -4.921e+08 	 4.152e+08
7.525 	 -1.259e+09 	 3.847e+08
7.575 	 -2.631e+07 	 4.361e+08
7.625 	 -6.924e+08 	 4.112e+08
7.675 	 4.386e+08 	 4.560e+08
7.725 	 3.988e+07 	 4.424e+08
7.775 	 -1.092e+09 	 3.990e+08
7.825 	 -6.265e+08 	 4.194e+08
7.875 	 2.718e+08 	 4.549e+08
7.925 	 -1.159e+09 	 4.005e+08
7.975 	 -3.278e+08 	 4.350e+08
8.025 	 -3.955e+08 	 4.338e+08
8.075 	 -1.624e+08 	 4.439e+08
8.125 	 -8.624e+08 	 4.182e+08
8.175 	 2.826e+06 	 4.526e+08
8.225 	 -8.632e+08 	 4.209e+08
8.275 	 -5.312e+08 	 4.352e+08
8.325 	 -4.316e+08 	 4.403e+08
8.375 	 -2.994e+08 	 4.466e+08
8.425 	 -3.996e+08 	 4.441e+08
8.475 	 -1.677e+08 	 4.540e+08
8.525 	 -7.007e+08 	 4.354e+08
8.575 	 3.297e+08 	 4.744e+08
8.625 	 -1.702e+08 	 4.577e+08
8.675 	 -1.044e+08 	 4.614e+08
8.725 	 -1.718e+08 	 4.602e+08
8.775 	 -8.716e+08 	 4.355e+08
8.825 	 -8.399e+08 	 4.381e+08
8.875 	 -1.415e+08 	 4.651e+08
8.925 	 -8.089e+08 	 4.419e+08
8.975 	 -5.432e+08 	 4.531e+08
9.025 	 2.216e+08 	 4.816e+08
9.075 	 -7.775e+08 	 4.470e+08
9.125 	 -6.126e+08 	 4.544e+08
9.175 	 -4.837e+07 	 4.759e+08
9.225 	 -2.829e+08 	 4.689e+08
9.275 	 -9.502e+08 	 4.459e+08
9.325 	 -2.192e+08 	 4.737e+08
9.375 	 -8.860e+08 	 4.510e+08
9.425 	 -2.896e+08 	 4.738e+08
9.475 	 1.091e+08 	 4.887e+08
9.525 	 -5.253e+08 	 4.679e+08
9.575 	 -5.608e+08 	 4.680e+08
9.625 	 5.691e+08 	 5.077e+08
9.675 	 -3.977e+08 	 4.763e+08
9.725 	 -4.999e+08 	 4.740e+08
9.775 	 2.304e+08 	 5.002e+08
9.825 	 3.615e+08 	 5.057e+08
9.875 	 1.931e+08 	 5.013e+08
9.925 	 5.904e+08 	 5.155e+08
9.975 	 -1.375e+09 	 4.490e+08
10.025 	 4.522e+08 	 5.135e+08
10.075 	 -1.819e+08 	 4.937e+08
10.125 	 -4.845e+08 	 4.847e+08
10.175 	 6.778e+08 	 5.242e+08
10.225 	 4.429e+08 	 5.179e+08
10.275 	 6.060e+08 	 5.243e+08
10.325 	 -4.611e+08 	 4.905e+08
10.375 	 -5.971e+08 	 4.872e+08
10.425 	 2.985e+08 	 5.181e+08
10.475 	 8.613e+08 	 5.370e+08
10.525 	 3.929e+08 	 5.234e+08
10.575 	 2.899e+08 	 5.214e+08
10.625 	 -3.784e+08 	 5.008e+08
10.675 	 1.840e+08 	 5.204e+08
10.725 	 7.803e+08 	 5.403e+08
10.775 	 1.376e+09 	 5.594e+08
10.825 	 1.505e+09 	 5.644e+08
10.875 	 6.369e+08 	 5.394e+08
10.925 	 1.266e+09 	 5.596e+08
10.975 	 1.196e+09 	 5.586e+08
11.025 	 1.924e+09 	 5.810e+08
11.075 	 2.587e+09 	 6.007e+08
11.125 	 3.648e+09 	 6.304e+08
11.175 	 2.946e+09 	 6.127e+08
11.225 	 2.210e+09 	 5.934e+08
11.275 	 5.234e+09 	 6.739e+08
11.325 	 3.866e+09 	 6.402e+08
11.375 	 6.125e+09 	 6.973e+08
11.425 	 4.324e+09 	 6.539e+08
11.475 	 6.184e+09 	 7.006e+08
11.525 	 5.947e+09 	 6.959e+08
11.575 	 7.173e+09 	 7.255e+08
11.625 	 8.067e+09 	 7.466e+08
11.675 	 7.198e+09 	 7.279e+08
11.725 	 7.393e+09 	 7.332e+08
11.775 	 9.285e+09 	 7.758e+08
11.825 	 8.682e+09 	 7.636e+08
11.875 	 1.097e+10 	 8.128e+08
11.925 	 1.247e+10 	 8.436e+08
11.975 	 1.226e+10 	 8.403e+08
12.025 	 1.232e+10 	 8.424e+08
12.075 	 1.222e+10 	 8.411e+08
12.125 	 1.404e+10 	 8.772e+08
12.175 	 1.464e+10 	 8.891e+08
12.225 	 1.653e+10 	 9.246e+08
12.275 	 1.546e+10 	 9.059e+08
12.325 	 1.695e+10 	 9.336e+08
12.375 	 1.645e+10 	 9.253e+08
12.425 	 1.827e+10 	 9.582e+08
12.475 	 1.950e+10 	 9.800e+08
12.525 	 2.006e+10 	 9.901e+08
12.575 	 1.909e+10 	 9.744e+08
12.625 	 1.858e+10 	 9.664e+08
12.675 	 2.087e+10 	 1.006e+09
12.725 	 2.143e+10 	 1.016e+09
12.775 	 2.146e+10 	 1.017e+09
12.825 	 2.272e+10 	 1.038e+09
12.875 	 2.271e+10 	 1.038e+09
12.925 	 2.477e+10 	 1.071e+09
12.975 	 2.420e+10 	 1.063e+09
13.025 	 2.286e+10 	 1.043e+09
13.075 	 2.239e+10 	 1.036e+09
13.125 	 2.478e+10 	 1.074e+09
13.175 	 2.480e+10 	 1.075e+09
13.225 	 2.663e+10 	 1.104e+09
13.275 	 2.506e+10 	 1.080e+09
13.325 	 2.572e+10 	 1.091e+09
13.375 	 2.501e+10 	 1.081e+09
13.425 	 2.600e+10 	 1.097e+09
13.475 	 2.713e+10 	 1.114e+09
13.525 	 2.682e+10 	 1.110e+09
13.575 	 2.482e+10 	 1.081e+09
13.625 	 2.671e+10 	 1.110e+09
13.675 	 2.643e+10 	 1.107e+09
13.725 	 2.616e+10 	 1.103e+09
13.775 	 2.762e+10 	 1.125e+09
13.825 	 2.448e+10 	 1.079e+09
13.875 	 2.697e+10 	 1.117e+09
13.925 	 2.646e+10 	 1.110e+09
13.975 	 2.925e+10 	 1.152e+09
14.025 	 2.857e+10 	 1.143e+09
14.075 	 2.627e+10 	 1.109e+09
14.125 	 2.636e+10 	 1.111e+09
14.175 	 2.745e+10 	 1.128e+09
14.225 	 2.818e+10 	 1.139e+09
14.275 	 3.153e+10 	 1.188e+09
14.325 	 2.703e+10 	 1.124e+09
14.375 	 2.862e+10 	 1.148e+09
14.425 	 2.964e+10 	 1.163e+09
14.475 	 2.883e+10 	 1.152e+09
14.525 	 2.842e+10 	 1.147e+09
14.575 	 2.742e+10 	 1.133e+09
14.625 	 2.761e+10 	 1.136e+09
14.675 	 2.923e+10 	 1.160e+09
14.725 	 2.935e+10 	 1.163e+09
14.775 	 2.675e+10 	 1.126e+09
14.825 	 2.943e+10 	 1.165e+09
14.875 	 2.859e+10 	 1.154e+09
14.925 	 2.785e+10 	 1.144e+09
14.975 	 2.904e+10 	 1.162e+09
15.025 	 2.727e+10 	 1.137e+09
15.075 	 3.052e+10 	 1.184e+09
15.125 	 3.004e+10 	 1.178e+09
15.175 	 3.033e+10 	 1.183e+09
15.225 	 2.869e+10 	 1.160e+09
15.275 	 2.925e+10 	 1.168e+09
15.325 	 2.824e+10 	 1.155e+09
15.375 	 3.225e+10 	 1.212e+09
15.425 	 2.875e+10 	 1.163e+09
15.475 	 2.887e+10 	 1.166e+09
15.525 	 2.650e+10 	 1.132e+09
15.575 	 3.005e+10 	 1.184e+09
15.625 	 2.861e+10 	 1.164e+09
15.675 	 2.780e+10 	 1.153e+09
15.725 	 2.526e+10 	 1.116e+09
15.775 	 2.794e+10 	 1.156e+09
15.825 	 2.797e+10 	 1.157e+09
15.875 	 2.553e+10 	 1.123e+09
15.925 	 2.368e+10 	 1.096e+09
15.975 	 2.467e+10 	 1.111e+09
16.025 	 2.503e+10 	 1.117e+09
16.075 	 2.342e+10 	 1.094e+09
16.125 	 2.091e+10 	 1.056e+09
16.175 	 2.100e+10 	 1.058e+09
16.225 	 2.225e+10 	 1.078e+09
16.275 	 2.137e+10 	 1.065e+09
16.325 	 1.930e+10 	 1.033e+09
16.375 	 1.749e+10 	 1.004e+09
16.425 	 1.768e+10 	 1.008e+09
16.475 	 1.790e+10 	 1.013e+09
16.525 	 1.536e+10 	 9.708e+08
16.575 	 1.421e+10 	 9.518e+08
16.625 	 1.177e+10 	 9.090e+08
16.675 	 1.232e+10 	 9.200e+08
16.725 	 1.144e+10 	 9.049e+08
16.775 	 1.033e+10 	 8.851e+08
16.825 	 8.989e+09 	 8.605e+08
16.875 	 9.476e+09 	 8.708e+08
16.925 	 7.765e+09 	 8.384e+08
16.975 	 5.323e+09 	 7.895e+08
17.025 	 4.810e+09 	 7.797e+08
17.075 	 5.096e+09 	 7.869e+08
17.125 	 3.486e+09 	 7.531e+08
17.175 	 2.374e+09 	 7.293e+08
17.225 	 2.493e+09 	 7.332e+08
17.275 	 2.878e+09 	 7.430e+08
17.325 	 1.101e+09 	 7.033e+08
17.375 	 2.418e+09 	 7.349e+08
17.425 	 4.405e+08 	 6.899e+08
17.475 	 6.924e+08 	 6.972e+08
17.525 	 1.011e+09 	 7.060e+08
17.575 	 1.828e+09 	 7.262e+08
17.625 	 1.164e+08 	 6.871e+08
17.675 	 3.541e+07 	 6.863e+08
17.725 	 2.201e+08 	 6.921e+08
17.775 	 2.391e+08 	 6.938e+08
17.825 	 -9.742e+08 	 6.653e+08
17.875 	 -2.906e+08 	 6.835e+08
17.925 	 6.931e+08 	 7.082e+08
17.975 	 -1.877e+08 	 6.885e+08
18.025 	 -3.028e+08 	 6.870e+08
18.075 	 -8.174e+08 	 6.757e+08
18.125 	 6.975e+08 	 7.133e+08
18.175 	 -3.498e+08 	 6.897e+08
18.225 	 1.004e+08 	 7.017e+08
18.275 	 1.834e+07 	 7.011e+08
18.325 	 -3.970e+08 	 6.924e+08
18.375 	 -5.134e+08 	 6.909e+08
18.425 	 9.018e+08 	 7.254e+08
18.475 	 2.195e+08 	 7.109e+08
18.525 	 6.697e+08 	 7.225e+08
18.575 	 -1.577e+09 	 6.702e+08
18.625 	 -7.950e+08 	 6.906e+08
18.675 	 1.869e+08 	 7.151e+08
18.725 	 2.037e+08 	 7.168e+08
18.775 	 -9.453e+08 	 6.909e+08
18.825 	 1.701e+09 	 7.532e+08
18.875 	 3.522e+08 	 7.240e+08
18.925 	 0.000e+00 	 0.000e+00
18.975 	 0.000e+00 	 0.000e+00
19.025 	 0.000e+00 	 0.000e+00
19.075 	 0.000e+00 	 0.000e+00
19.125 	 0.000e+00 	 0.000e+00
19.175 	 0.000e+00 	 0.000e+00
19.225 	 0.000e+00 	 0.000e+00
19.275 	 0.000e+00 	 0.000e+00
19.325 	 0.000e+00 	 0.000e+00
19.375 	 0.000e+00 	 0.000e+00
19.425 	 0.000e+00 	 0.000e+00
19.475 	 0.000e+00 	 0.000e+00
19.525 	 0.000e+00 	 0.000e+00
19.575 	 0.000e+00 	 0.000e+00
19.625 	 0.000e+00 	 0.000e+00
19.675 	 0.000e+00 	 0.000e+00
19.725 	 0.000e+00 	 0.000e+00
19.775 	 0.000e+00 	 0.000e+00
19.825 	 0.000e+00 	 0.000e+00
19.875 	 0.000e+00 	 0.000e+00
19.925 	 0.000e+00 	 0.000e+00
