WRF ANALYSIS
Date & time = ,2022-09-29, 15:14
Display format=,3
Program version:,2021-05-25

Scan file = ,N220914-001-999_WRF_090-078_1_13425940_AI_13517180_S2_40X_1.5HR
Port & distance (cm) =,781,53.0
WRF ID; Al blast(um) & cal=,13425940-g110 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-63),-1.288,1.082,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,20,33,0,63,
Back x0; x1; y0; y1 (cm) =,69,75,0,63,
C; e; Dmax; dDmax; Dscale =,19,15,6.15,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.595,0.150,9.63

Fit limits (MeV):,10.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 14.364,1.371,6.481e+10
Uncertainties
    Random:, 0.057,0.032,63.87%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.022,0.032,4.67%
     DvE:, 0.034,0.002,63.69%
     Dmax:, 0.031,0.000,1.06%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.021,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 2.002e+07 	 4.227e+08
4.775 	 9.377e+07 	 2.747e+08
4.825 	 8.026e+07 	 2.052e+08
4.875 	 3.464e+08 	 2.006e+08
4.925 	 9.659e+07 	 1.602e+08
4.975 	 -6.918e+07 	 1.488e+08
5.025 	 1.674e+08 	 1.663e+08
5.075 	 1.008e+09 	 2.160e+08
5.125 	 6.404e+08 	 1.966e+08
5.175 	 2.062e+08 	 1.708e+08
5.225 	 -1.163e+08 	 1.489e+08
5.275 	 2.318e+08 	 1.737e+08
5.325 	 -1.338e+06 	 1.587e+08
5.375 	 7.845e+07 	 1.649e+08
5.425 	 -2.038e+07 	 1.587e+08
5.475 	 1.711e+08 	 1.723e+08
5.525 	 2.286e+08 	 1.766e+08
5.575 	 -4.655e+06 	 1.618e+08
5.625 	 -2.381e+08 	 1.456e+08
5.675 	 2.066e+07 	 1.649e+08
5.725 	 -3.022e+08 	 1.421e+08
5.775 	 -2.225e+08 	 1.490e+08
5.825 	 -7.582e+07 	 1.603e+08
5.875 	 -3.317e+08 	 1.422e+08
5.925 	 3.874e+07 	 1.695e+08
5.975 	 -1.278e+08 	 1.588e+08
