WRF ANALYSIS
Date & time = ,2022-11-04, 11:38
Display format=,3
Program version:,2021-05-25

Scan file = ,N221011-001-999_WRF_090-078_1_13425933_AL_13517157_S1_40X_5HR
Port & distance (cm) =,781,43.4
WRF ID; Al blast(um) & cal=,13425933-g103 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(0-89),(0-63),-2.150,1.673,-0.981,1.000
C; e; Dmax; dDmax; Dscale =,35,15
Dlow; Dhigh; Dauto; Elims =,0.00,200.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,6.45

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.079,2.605,4.474e+07
Value (raw stats):, 14.729,0.882,1.639e+07
Uncertainties
    Random:, 0.154,26.364,285.39%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.145,26.361,36.96%
     DvE:, 0.045,0.384,282.99%
     Dmax:, 0.008,0.000,0.25%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.021,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 8.207e+07
4.675 	 3.602e+07 	 3.602e+07
4.725 	 0.000e+00 	 2.092e+07
4.775 	 0.000e+00 	 2.092e+07
4.825 	 0.000e+00 	 1.364e+07
4.875 	 0.000e+00 	 1.364e+07
4.925 	 0.000e+00 	 9.490e+06
4.975 	 2.847e+07 	 1.644e+07
5.025 	 0.000e+00 	 6.904e+06
5.075 	 6.904e+06 	 6.904e+06
5.125 	 0.000e+00 	 6.904e+06
5.175 	 0.000e+00 	 5.190e+06
5.225 	 5.190e+06 	 5.190e+06
5.275 	 0.000e+00 	 5.190e+06
5.325 	 0.000e+00 	 3.998e+06
5.375 	 3.998e+06 	 3.998e+06
5.425 	 0.000e+00 	 3.998e+06
5.475 	 3.998e+06 	 3.998e+06
5.525 	 0.000e+00 	 3.998e+06
5.575 	 0.000e+00 	 3.998e+06
5.625 	 0.000e+00 	 3.998e+06
5.675 	 3.998e+06 	 3.998e+06
5.725 	 7.996e+06 	 5.654e+06
5.775 	 0.000e+00 	 3.998e+06
5.825 	 0.000e+00 	 3.998e+06
5.875 	 3.998e+06 	 3.998e+06
5.925 	 3.998e+06 	 3.998e+06
5.975 	 3.998e+06 	 3.998e+06
6.025 	 0.000e+00 	 3.998e+06
6.075 	 0.000e+00 	 3.998e+06
6.125 	 0.000e+00 	 3.998e+06
6.175 	 3.998e+06 	 3.998e+06
6.225 	 0.000e+00 	 3.998e+06
6.275 	 3.998e+06 	 3.998e+06
6.325 	 3.998e+06 	 3.998e+06
6.375 	 3.998e+06 	 3.998e+06
6.425 	 0.000e+00 	 3.998e+06
6.475 	 0.000e+00 	 3.998e+06
6.525 	 0.000e+00 	 3.998e+06
6.575 	 3.998e+06 	 3.998e+06
6.625 	 1.199e+07 	 6.925e+06
6.675 	 3.998e+06 	 3.998e+06
6.725 	 7.996e+06 	 5.654e+06
6.775 	 3.998e+06 	 3.998e+06
6.825 	 1.199e+07 	 6.925e+06
6.875 	 0.000e+00 	 3.998e+06
6.925 	 3.998e+06 	 3.998e+06
6.975 	 0.000e+00 	 3.998e+06
7.025 	 0.000e+00 	 3.998e+06
7.075 	 0.000e+00 	 3.998e+06
7.125 	 0.000e+00 	 3.998e+06
7.175 	 0.000e+00 	 3.998e+06
7.225 	 0.000e+00 	 3.998e+06
7.275 	 3.998e+06 	 3.998e+06
7.325 	 0.000e+00 	 3.998e+06
7.375 	 1.199e+07 	 6.925e+06
7.425 	 3.998e+06 	 3.998e+06
7.475 	 0.000e+00 	 3.998e+06
7.525 	 0.000e+00 	 3.998e+06
7.575 	 0.000e+00 	 3.998e+06
7.625 	 7.996e+06 	 5.654e+06
7.675 	 0.000e+00 	 3.998e+06
7.725 	 7.996e+06 	 5.654e+06
7.775 	 3.998e+06 	 3.998e+06
7.825 	 7.996e+06 	 5.654e+06
7.875 	 1.199e+07 	 6.925e+06
7.925 	 0.000e+00 	 3.998e+06
7.975 	 0.000e+00 	 3.998e+06
8.025 	 1.199e+07 	 6.925e+06
8.075 	 3.998e+06 	 3.998e+06
8.125 	 0.000e+00 	 3.998e+06
8.175 	 0.000e+00 	 3.998e+06
8.225 	 0.000e+00 	 3.998e+06
8.275 	 3.998e+06 	 3.998e+06
8.325 	 0.000e+00 	 3.998e+06
8.375 	 3.998e+06 	 3.998e+06
8.425 	 3.998e+06 	 3.998e+06
8.475 	 0.000e+00 	 3.998e+06
8.525 	 0.000e+00 	 3.998e+06
8.575 	 7.996e+06 	 5.654e+06
8.625 	 0.000e+00 	 3.998e+06
8.675 	 0.000e+00 	 3.998e+06
8.725 	 3.998e+06 	 3.998e+06
8.775 	 3.998e+06 	 3.998e+06
8.825 	 7.996e+06 	 5.654e+06
8.875 	 7.996e+06 	 5.654e+06
8.925 	 3.998e+06 	 3.998e+06
8.975 	 7.996e+06 	 5.654e+06
9.025 	 7.996e+06 	 5.654e+06
9.075 	 3.998e+06 	 3.998e+06
9.125 	 7.996e+06 	 5.654e+06
9.175 	 0.000e+00 	 3.998e+06
9.225 	 0.000e+00 	 3.998e+06
9.275 	 7.996e+06 	 5.654e+06
9.325 	 0.000e+00 	 3.998e+06
9.375 	 3.998e+06 	 3.998e+06
9.425 	 1.599e+07 	 7.996e+06
9.475 	 0.000e+00 	 3.998e+06
9.525 	 3.998e+06 	 3.998e+06
9.575 	 7.996e+06 	 5.654e+06
9.625 	 0.000e+00 	 3.998e+06
9.675 	 3.998e+06 	 3.998e+06
9.725 	 0.000e+00 	 3.998e+06
9.775 	 0.000e+00 	 3.998e+06
9.825 	 0.000e+00 	 3.998e+06
9.875 	 3.998e+06 	 3.998e+06
9.925 	 7.996e+06 	 5.654e+06
9.975 	 7.996e+06 	 5.654e+06
10.025 	 0.000e+00 	 3.998e+06
10.075 	 3.998e+06 	 3.998e+06
10.125 	 0.000e+00 	 3.998e+06
10.175 	 0.000e+00 	 3.998e+06
10.225 	 0.000e+00 	 3.998e+06
10.275 	 7.996e+06 	 5.654e+06
10.325 	 7.996e+06 	 5.654e+06
10.375 	 1.199e+07 	 6.925e+06
10.425 	 0.000e+00 	 3.998e+06
10.475 	 7.996e+06 	 5.654e+06
10.525 	 3.998e+06 	 3.998e+06
10.575 	 0.000e+00 	 3.998e+06
10.625 	 3.998e+06 	 3.998e+06
10.675 	 7.996e+06 	 5.654e+06
10.725 	 1.199e+07 	 6.925e+06
10.775 	 7.996e+06 	 5.654e+06
10.825 	 0.000e+00 	 3.998e+06
10.875 	 7.996e+06 	 5.654e+06
10.925 	 0.000e+00 	 3.998e+06
10.975 	 7.996e+06 	 5.654e+06
11.025 	 7.996e+06 	 5.654e+06
11.075 	 0.000e+00 	 3.998e+06
11.125 	 0.000e+00 	 3.998e+06
11.175 	 3.998e+06 	 3.998e+06
11.225 	 1.199e+07 	 6.925e+06
11.275 	 3.998e+06 	 3.998e+06
11.325 	 7.996e+06 	 5.654e+06
11.375 	 7.996e+06 	 5.654e+06
11.425 	 7.996e+06 	 5.654e+06
11.475 	 3.998e+06 	 3.998e+06
11.525 	 0.000e+00 	 3.998e+06
11.575 	 3.998e+06 	 3.998e+06
11.625 	 3.998e+06 	 3.998e+06
11.675 	 1.199e+07 	 6.925e+06
11.725 	 7.996e+06 	 5.654e+06
11.775 	 3.998e+06 	 3.998e+06
11.825 	 7.996e+06 	 5.654e+06
11.875 	 7.996e+06 	 5.654e+06
11.925 	 3.998e+06 	 3.998e+06
11.975 	 1.199e+07 	 6.925e+06
12.025 	 0.000e+00 	 3.998e+06
12.075 	 0.000e+00 	 3.998e+06
12.125 	 0.000e+00 	 3.998e+06
12.175 	 3.998e+06 	 3.998e+06
12.225 	 3.998e+06 	 3.998e+06
12.275 	 3.998e+06 	 3.998e+06
12.325 	 3.998e+06 	 3.998e+06
12.375 	 3.998e+06 	 3.998e+06
12.425 	 7.996e+06 	 5.654e+06
12.475 	 3.998e+06 	 3.998e+06
12.525 	 3.998e+06 	 3.998e+06
12.575 	 7.996e+06 	 5.654e+06
12.625 	 3.998e+06 	 3.998e+06
12.675 	 1.199e+07 	 6.925e+06
12.725 	 3.998e+06 	 3.998e+06
12.775 	 0.000e+00 	 3.998e+06
12.825 	 3.998e+06 	 3.998e+06
12.875 	 1.599e+07 	 7.996e+06
12.925 	 3.998e+06 	 3.998e+06
12.975 	 0.000e+00 	 3.998e+06
13.025 	 0.000e+00 	 3.998e+06
13.075 	 3.998e+06 	 3.998e+06
13.125 	 3.998e+06 	 3.998e+06
13.175 	 0.000e+00 	 3.998e+06
13.225 	 3.998e+06 	 3.998e+06
13.275 	 0.000e+00 	 3.998e+06
13.325 	 7.996e+06 	 5.654e+06
13.375 	 3.998e+06 	 3.998e+06
13.425 	 0.000e+00 	 3.998e+06
13.475 	 7.996e+06 	 5.654e+06
13.525 	 7.996e+06 	 5.654e+06
13.575 	 3.998e+06 	 3.998e+06
13.625 	 3.998e+06 	 3.998e+06
13.675 	 7.996e+06 	 5.654e+06
13.725 	 1.599e+07 	 7.996e+06
13.775 	 1.599e+07 	 7.996e+06
13.825 	 3.998e+06 	 3.998e+06
13.875 	 7.996e+06 	 5.654e+06
13.925 	 3.998e+06 	 3.998e+06
13.975 	 3.998e+06 	 3.998e+06
14.025 	 7.996e+06 	 5.654e+06
14.075 	 3.998e+06 	 3.998e+06
14.125 	 3.998e+06 	 3.998e+06
14.175 	 3.998e+06 	 3.998e+06
14.225 	 3.998e+06 	 3.998e+06
14.275 	 7.996e+06 	 5.654e+06
14.325 	 3.998e+06 	 3.998e+06
14.375 	 0.000e+00 	 3.998e+06
14.425 	 0.000e+00 	 3.998e+06
14.475 	 1.199e+07 	 6.925e+06
14.525 	 1.599e+07 	 7.996e+06
14.575 	 3.998e+06 	 3.998e+06
14.625 	 3.998e+06 	 3.998e+06
14.675 	 3.998e+06 	 3.998e+06
14.725 	 1.199e+07 	 6.925e+06
14.775 	 0.000e+00 	 3.998e+06
