WRF ANALYSIS
Date & time = ,2022-11-17, 15:53
Display format=,3
Program version:,2021-05-25

Scan file = ,N221025-001-999_WRF_000-000_2_13425933_AL_13517131_S1_40X_5HR
Port & distance (cm) =,002,50.6
WRF ID; Al blast(um) & cal=,13425933-g103 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(20-75),(0-63),-1.291,1.072,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,34,40,0,63,
Back x0; x1; y0; y1 (cm) =,62,68,0,63,
C; e; Dmax; dDmax; Dscale =,17,15,11.75,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.500,0.300,102.98

Fit limits (MeV):,5.000,10.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 5.872,0.607,6.217e+08
Value (raw stats):, 5.306,0.807,4.479e+08
Uncertainties
    Random:, 0.717,0.125,175.91%
    Systematic calib:, 0.108,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.614,0.076,29.71%
     DvE:, 0.366,0.099,173.38%
     Dmax:, 0.021,0.000,1.25%
     WRF nonlinearity:, 0.030,0.000,0.00%
     Cal. & processing:, 0.054,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 1.851e+08 	 9.472e+07
4.750 	 1.586e+08 	 6.928e+07
4.850 	 1.598e+08 	 5.710e+07
4.950 	 1.467e+08 	 5.119e+07
5.050 	 2.660e+08 	 5.739e+07
5.150 	 2.014e+08 	 5.454e+07
5.250 	 1.962e+08 	 5.455e+07
5.350 	 2.290e+08 	 5.641e+07
5.450 	 3.320e+08 	 6.138e+07
5.550 	 4.296e+08 	 6.576e+07
5.650 	 4.353e+08 	 6.622e+07
5.750 	 2.896e+08 	 6.022e+07
5.850 	 3.331e+08 	 6.238e+07
5.950 	 3.983e+08 	 6.537e+07
6.050 	 4.473e+08 	 6.758e+07
6.150 	 3.611e+08 	 6.427e+07
6.250 	 3.128e+08 	 6.243e+07
6.350 	 3.293e+08 	 6.338e+07
6.450 	 3.784e+08 	 6.565e+07
6.550 	 1.463e+08 	 5.554e+07
6.650 	 1.953e+08 	 5.813e+07
6.750 	 1.795e+08 	 5.764e+07
6.850 	 1.095e+08 	 5.453e+07
6.950 	 1.045e+08 	 5.454e+07
7.050 	 7.783e+07 	 5.348e+07
7.150 	 -1.915e+07 	 4.863e+07
7.250 	 1.367e+07 	 5.071e+07
7.350 	 -6.168e+07 	 4.683e+07
7.450 	 -7.217e+07 	 4.654e+07
7.550 	 -1.096e+08 	 4.463e+07
7.650 	 -7.688e+07 	 4.689e+07
7.750 	 -1.360e+08 	 4.369e+07
