WRF ANALYSIS
Date & time = ,2022-11-22, 09:44
Display format=,3
Program version:,2021-05-25

Scan file = ,N221110-001-999_DIM-00-00_Pos1_WRF-13425894_CR39-13517194_3hr_40x_s6
Port & distance (cm) =,dim0000pos1,35.0
WRF ID; Al blast(um) & cal=,13425894-g064 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-72),(0-59),-1.065,1.104,-0.982,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,12,15,12.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.378,0.029,1.14

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.097,0.279,4.592e+08
Value (raw stats):, 15.091,0.264,4.584e+08
Uncertainties
    Random:, 0.055,0.010,12.06%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.006,0.007,5.27%
     DvE:, 0.011,0.007,10.84%
     Dmax:, 0.016,0.000,0.49%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.049,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.425 	 0.000e+00 	 0.000e+00
5.475 	 0.000e+00 	 0.000e+00
5.525 	 0.000e+00 	 0.000e+00
5.575 	 0.000e+00 	 0.000e+00
5.625 	 0.000e+00 	 0.000e+00
5.675 	 -2.824e+06 	 7.829e+07
5.725 	 -2.133e+06 	 2.137e+07
5.775 	 -1.442e+06 	 1.436e+07
5.825 	 -1.414e+06 	 1.026e+07
5.875 	 -1.411e+06 	 7.628e+06
5.925 	 6.201e+06 	 7.628e+06
5.975 	 -1.203e+06 	 5.837e+06
6.025 	 -1.292e+06 	 4.571e+06
6.075 	 -1.300e+06 	 4.571e+06
6.125 	 3.257e+06 	 4.571e+06
6.175 	 -1.316e+06 	 4.571e+06
6.225 	 3.241e+06 	 4.571e+06
6.275 	 -1.332e+06 	 4.571e+06
6.325 	 3.225e+06 	 4.571e+06
6.375 	 -1.348e+06 	 4.571e+06
6.425 	 -1.356e+06 	 4.572e+06
6.475 	 3.201e+06 	 4.572e+06
6.525 	 -1.372e+06 	 4.572e+06
6.575 	 3.185e+06 	 4.572e+06
6.625 	 -1.388e+06 	 4.572e+06
6.675 	 -1.395e+06 	 4.572e+06
6.725 	 -1.403e+06 	 4.572e+06
6.775 	 -1.411e+06 	 4.572e+06
6.825 	 3.146e+06 	 4.572e+06
6.875 	 -1.427e+06 	 4.572e+06
6.925 	 -1.434e+06 	 4.572e+06
6.975 	 -1.442e+06 	 4.572e+06
7.025 	 -1.450e+06 	 4.573e+06
7.075 	 -1.458e+06 	 4.573e+06
7.125 	 -1.466e+06 	 4.573e+06
7.175 	 -1.474e+06 	 4.573e+06
7.225 	 3.083e+06 	 4.573e+06
7.275 	 3.076e+06 	 4.573e+06
7.325 	 3.068e+06 	 4.573e+06
7.375 	 3.060e+06 	 4.573e+06
7.425 	 3.052e+06 	 4.573e+06
7.475 	 3.045e+06 	 4.573e+06
7.525 	 -1.528e+06 	 4.573e+06
7.575 	 -1.536e+06 	 4.573e+06
7.625 	 7.586e+06 	 6.462e+06
7.675 	 -1.551e+06 	 4.574e+06
7.725 	 -1.559e+06 	 4.574e+06
7.775 	 -1.567e+06 	 4.574e+06
7.825 	 -1.574e+06 	 4.574e+06
7.875 	 2.983e+06 	 4.574e+06
7.925 	 -1.590e+06 	 4.574e+06
7.975 	 2.968e+06 	 4.574e+06
8.025 	 -1.605e+06 	 4.574e+06
8.075 	 2.952e+06 	 4.574e+06
8.125 	 7.509e+06 	 6.462e+06
8.175 	 -1.628e+06 	 4.575e+06
8.225 	 -1.636e+06 	 4.575e+06
8.275 	 -1.643e+06 	 4.575e+06
8.325 	 -1.651e+06 	 4.575e+06
8.375 	 2.906e+06 	 4.575e+06
8.425 	 2.899e+06 	 4.575e+06
8.475 	 -1.674e+06 	 4.575e+06
8.525 	 -1.681e+06 	 4.575e+06
8.575 	 -1.689e+06 	 4.575e+06
