WRF ANALYSIS
Date & time = ,2022-11-22, 09:49
Display format=,3
Program version:,2021-05-25

Scan file = ,N221110-001-999_DIM-90-78_Pos1_WRF-13425855_CR39-13517216_5hr_40x_s6
Port & distance (cm) =,dim9078_pos1,57.3
WRF ID; Al blast(um) & cal=,13425855-g025 *,0,cal17.0615

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-72),(0-59),-1.065,1.104,-0.982,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,11,15,17.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.374,0.032,2.45

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.933,0.260,4.837e+08
Value (raw stats):, 14.926,0.249,4.840e+08
Uncertainties
    Random:, 0.040,0.021,14.76%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.012,0.019,8.09%
     DvE:, 0.018,0.007,12.34%
     Dmax:, 0.011,0.000,0.34%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.125 	 0.000e+00 	 0.000e+00
5.175 	 0.000e+00 	 0.000e+00
5.225 	 0.000e+00 	 0.000e+00
5.275 	 0.000e+00 	 0.000e+00
5.325 	 0.000e+00 	 0.000e+00
5.375 	 -7.431e+06 	 1.714e+08
5.425 	 -4.654e+06 	 7.618e+07
5.475 	 -3.141e+06 	 4.468e+07
5.525 	 2.669e+07 	 2.930e+07
5.575 	 -2.367e+06 	 2.045e+07
5.625 	 -2.384e+06 	 2.045e+07
5.675 	 -2.418e+06 	 1.488e+07
5.725 	 -2.434e+06 	 1.488e+07
5.775 	 -2.453e+06 	 1.118e+07
5.825 	 -2.469e+06 	 1.118e+07
5.875 	 -2.485e+06 	 1.118e+07
5.925 	 6.275e+06 	 8.613e+06
5.975 	 -2.342e+06 	 8.613e+06
6.025 	 -2.357e+06 	 8.613e+06
6.075 	 -2.372e+06 	 8.613e+06
6.125 	 -2.386e+06 	 8.613e+06
6.175 	 -2.401e+06 	 8.613e+06
6.225 	 -2.415e+06 	 8.613e+06
6.275 	 -2.430e+06 	 8.614e+06
6.325 	 -2.444e+06 	 8.614e+06
6.375 	 -2.459e+06 	 8.614e+06
6.425 	 6.128e+06 	 8.614e+06
6.475 	 -2.488e+06 	 8.614e+06
6.525 	 -2.502e+06 	 8.614e+06
6.575 	 -2.516e+06 	 8.614e+06
6.625 	 -2.531e+06 	 8.615e+06
6.675 	 6.057e+06 	 8.615e+06
6.725 	 -2.559e+06 	 8.615e+06
6.775 	 6.028e+06 	 8.615e+06
6.825 	 6.013e+06 	 8.615e+06
6.875 	 -2.603e+06 	 8.615e+06
6.925 	 -2.617e+06 	 8.615e+06
6.975 	 -2.631e+06 	 8.616e+06
7.025 	 -2.646e+06 	 8.616e+06
7.075 	 -2.660e+06 	 8.616e+06
7.125 	 5.928e+06 	 8.616e+06
7.175 	 5.914e+06 	 8.616e+06
7.225 	 -2.702e+06 	 8.616e+06
7.275 	 -2.716e+06 	 8.616e+06
7.325 	 -2.731e+06 	 8.617e+06
7.375 	 -2.745e+06 	 8.617e+06
7.425 	 -2.759e+06 	 8.617e+06
7.475 	 -2.773e+06 	 8.617e+06
7.525 	 -2.788e+06 	 8.617e+06
7.575 	 2.300e+07 	 1.491e+07
7.625 	 5.786e+06 	 8.618e+06
7.675 	 5.772e+06 	 8.618e+06
7.725 	 -2.844e+06 	 8.618e+06
7.775 	 -2.858e+06 	 8.618e+06
7.825 	 -2.872e+06 	 8.618e+06
7.875 	 -2.886e+06 	 8.618e+06
7.925 	 5.702e+06 	 8.619e+06
7.975 	 -2.914e+06 	 8.619e+06
