Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.674999999999999822e+00,-2.153000000000000000e+06,6.464000000000000000e+07
5.724999999999999645e+00,-1.881000000000000000e+06,3.741000000000000000e+07
5.775000000000000355e+00,-2.252000000000000000e+06,2.426000000000000000e+07
5.825000000000000178e+00,-2.266000000000000000e+06,2.426000000000000000e+07
5.875000000000000000e+00,-2.009000000000000000e+06,1.679000000000000000e+07
5.924999999999999822e+00,1.476000000000000000e+07,1.679000000000000000e+07
5.974999999999999645e+00,1.025000000000000000e+07,1.215000000000000000e+07
6.025000000000000355e+00,-1.904000000000000000e+06,1.215000000000000000e+07
6.075000000000000178e+00,-1.916000000000000000e+06,1.215000000000000000e+07
6.125000000000000000e+00,-2.002000000000000000e+06,9.085000000000000000e+06
6.174999999999999822e+00,-2.014000000000000000e+06,9.085000000000000000e+06
6.224999999999999645e+00,-2.026000000000000000e+06,9.085000000000000000e+06
6.275000000000000355e+00,4.831000000000000000e+06,6.965000000000000000e+06
6.325000000000000178e+00,-2.137000000000000000e+06,6.965000000000000000e+06
6.375000000000000000e+00,-2.150000000000000000e+06,6.965000000000000000e+06
6.424999999999999822e+00,4.793000000000000000e+06,6.965000000000000000e+06
6.474999999999999645e+00,-2.175000000000000000e+06,6.966000000000000000e+06
6.525000000000000355e+00,-2.188000000000000000e+06,6.966000000000000000e+06
6.575000000000000178e+00,1.171000000000000000e+07,9.844000000000000000e+06
6.625000000000000000e+00,-2.213000000000000000e+06,6.966000000000000000e+06
6.674999999999999822e+00,4.730000000000000000e+06,6.966000000000000000e+06
6.724999999999999645e+00,-2.238000000000000000e+06,6.966000000000000000e+06
6.775000000000000355e+00,-2.251000000000000000e+06,6.966000000000000000e+06
6.825000000000000178e+00,-2.263000000000000000e+06,6.966000000000000000e+06
6.875000000000000000e+00,1.164000000000000000e+07,9.844000000000000000e+06
6.924999999999999822e+00,-2.288000000000000000e+06,6.967000000000000000e+06
6.974999999999999645e+00,-2.301000000000000000e+06,6.967000000000000000e+06
7.025000000000000355e+00,-2.313000000000000000e+06,6.967000000000000000e+06
7.075000000000000178e+00,-2.326000000000000000e+06,6.967000000000000000e+06
7.125000000000000000e+00,-2.338000000000000000e+06,6.967000000000000000e+06
7.174999999999999822e+00,-2.351000000000000000e+06,6.967000000000000000e+06
7.224999999999999645e+00,-2.363000000000000000e+06,6.967000000000000000e+06
7.275000000000000355e+00,-2.375000000000000000e+06,6.967000000000000000e+06
7.325000000000000178e+00,-2.388000000000000000e+06,6.968000000000000000e+06
7.375000000000000000e+00,-2.400000000000000000e+06,6.968000000000000000e+06
7.424999999999999822e+00,4.543000000000000000e+06,6.968000000000000000e+06
