Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.924999999999999822e+00,-1.751000000000000000e+06,1.704000000000000000e+07
5.974999999999999645e+00,-1.617000000000000000e+06,1.228000000000000000e+07
6.025000000000000355e+00,-1.567000000000000000e+06,9.204000000000000000e+06
6.075000000000000178e+00,-1.619000000000000000e+06,7.089000000000000000e+06
6.125000000000000000e+00,-1.548000000000000000e+06,5.577000000000000000e+06
6.174999999999999822e+00,4.012000000000000000e+06,5.577000000000000000e+06
6.224999999999999645e+00,-1.567000000000000000e+06,5.577000000000000000e+06
6.275000000000000355e+00,-1.577000000000000000e+06,5.577000000000000000e+06
6.325000000000000178e+00,-1.586000000000000000e+06,5.578000000000000000e+06
6.375000000000000000e+00,-1.595000000000000000e+06,5.578000000000000000e+06
6.424999999999999822e+00,-1.605000000000000000e+06,5.578000000000000000e+06
6.474999999999999645e+00,-1.614000000000000000e+06,5.578000000000000000e+06
6.525000000000000355e+00,9.516000000000000000e+06,7.883000000000000000e+06
6.575000000000000178e+00,-1.632000000000000000e+06,5.578000000000000000e+06
6.625000000000000000e+00,-1.642000000000000000e+06,5.578000000000000000e+06
6.674999999999999822e+00,-1.651000000000000000e+06,5.578000000000000000e+06
6.724999999999999645e+00,-1.660000000000000000e+06,5.578000000000000000e+06
6.775000000000000355e+00,-1.670000000000000000e+06,5.578000000000000000e+06
6.825000000000000178e+00,-1.679000000000000000e+06,5.579000000000000000e+06
6.875000000000000000e+00,-1.688000000000000000e+06,5.579000000000000000e+06
6.924999999999999822e+00,3.872000000000000000e+06,5.579000000000000000e+06
6.974999999999999645e+00,-1.707000000000000000e+06,5.579000000000000000e+06
7.025000000000000355e+00,-1.716000000000000000e+06,5.579000000000000000e+06
7.075000000000000178e+00,-1.725000000000000000e+06,5.579000000000000000e+06
7.125000000000000000e+00,3.835000000000000000e+06,5.579000000000000000e+06
7.174999999999999822e+00,-1.744000000000000000e+06,5.579000000000000000e+06
7.224999999999999645e+00,-1.753000000000000000e+06,5.579000000000000000e+06
7.275000000000000355e+00,-1.762000000000000000e+06,5.579000000000000000e+06
7.325000000000000178e+00,-1.772000000000000000e+06,5.580000000000000000e+06
7.375000000000000000e+00,-1.781000000000000000e+06,5.580000000000000000e+06
7.424999999999999822e+00,-1.790000000000000000e+06,5.580000000000000000e+06
7.474999999999999645e+00,-1.799000000000000000e+06,5.580000000000000000e+06
7.525000000000000355e+00,-1.808000000000000000e+06,5.580000000000000000e+06
7.575000000000000178e+00,-1.817000000000000000e+06,5.580000000000000000e+06
7.625000000000000000e+00,-1.827000000000000000e+06,5.580000000000000000e+06
7.674999999999999822e+00,-1.836000000000000000e+06,5.580000000000000000e+06
7.724999999999999645e+00,-1.845000000000000000e+06,5.580000000000000000e+06
7.775000000000000355e+00,-1.854000000000000000e+06,5.580000000000000000e+06
7.825000000000000178e+00,-1.863000000000000000e+06,5.581000000000000000e+06
7.875000000000000000e+00,-1.872000000000000000e+06,5.581000000000000000e+06
7.924999999999999822e+00,-1.881000000000000000e+06,5.581000000000000000e+06
7.974999999999999645e+00,3.680000000000000000e+06,5.581000000000000000e+06
8.025000000000000355e+00,-1.900000000000000000e+06,5.581000000000000000e+06
8.074999999999999289e+00,3.661000000000000000e+06,5.581000000000000000e+06
8.125000000000000000e+00,-1.918000000000000000e+06,5.581000000000000000e+06
8.175000000000000711e+00,-1.927000000000000000e+06,5.581000000000000000e+06
8.224999999999999645e+00,3.634000000000000000e+06,5.581000000000000000e+06
8.275000000000000355e+00,-1.945000000000000000e+06,5.581000000000000000e+06
8.324999999999999289e+00,-1.954000000000000000e+06,5.582000000000000000e+06
8.375000000000000000e+00,-1.963000000000000000e+06,5.582000000000000000e+06
8.425000000000000711e+00,3.598000000000000000e+06,5.582000000000000000e+06
8.474999999999999645e+00,-1.981000000000000000e+06,5.582000000000000000e+06
8.525000000000000355e+00,-1.990000000000000000e+06,5.582000000000000000e+06
8.574999999999999289e+00,-1.999000000000000000e+06,5.582000000000000000e+06
8.625000000000000000e+00,3.562000000000000000e+06,5.582000000000000000e+06
8.675000000000000711e+00,-2.016000000000000000e+06,5.582000000000000000e+06
8.724999999999999645e+00,3.545000000000000000e+06,5.582000000000000000e+06
8.775000000000000355e+00,1.468000000000000000e+07,9.655000000000000000e+06
8.824999999999999289e+00,-2.043000000000000000e+06,5.583000000000000000e+06
8.875000000000000000e+00,-2.052000000000000000e+06,5.583000000000000000e+06
8.925000000000000711e+00,3.509000000000000000e+06,5.583000000000000000e+06
8.974999999999999645e+00,3.500000000000000000e+06,5.583000000000000000e+06
9.025000000000000355e+00,-2.078000000000000000e+06,5.583000000000000000e+06
9.074999999999999289e+00,-2.087000000000000000e+06,5.583000000000000000e+06
9.125000000000000000e+00,-2.096000000000000000e+06,5.583000000000000000e+06
9.175000000000000711e+00,3.465000000000000000e+06,5.583000000000000000e+06
9.224999999999999645e+00,-2.114000000000000000e+06,5.584000000000000000e+06
9.275000000000000355e+00,-2.122000000000000000e+06,5.584000000000000000e+06
9.324999999999999289e+00,3.439000000000000000e+06,5.584000000000000000e+06
9.375000000000000000e+00,-2.140000000000000000e+06,5.584000000000000000e+06
9.425000000000000711e+00,-2.149000000000000000e+06,5.584000000000000000e+06
9.474999999999999645e+00,3.413000000000000000e+06,5.584000000000000000e+06
9.525000000000000355e+00,3.404000000000000000e+06,5.584000000000000000e+06
9.574999999999999289e+00,-2.175000000000000000e+06,5.584000000000000000e+06
