WRF ANALYSIS
Date & time = ,2022-11-22, 13:17
Display format=,3
Program version:,2021-05-25

Scan file = ,N221110-002-999_DIM-00-00_Pos1_WRF-13425940_CR39-13517227_3h_40x_s6
Port & distance (cm) =,dim0000_pos1,35.0
WRF ID; Al blast(um) & cal=,13425940-g110 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-72),(0-59),-1.065,1.104,-0.982,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,13,15,12.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.352,0.029,0.92

Fit limits (MeV):,14.400,16.200,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.285,0.266,2.646e+08
Value (raw stats):, 15.286,0.251,2.633e+08
Uncertainties
    Random:, 0.032,0.010,12.65%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.006,0.010,6.69%
     DvE:, 0.013,0.002,10.73%
     Dmax:, 0.015,0.000,0.45%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.020,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.525 	 0.000e+00 	 0.000e+00
5.575 	 0.000e+00 	 0.000e+00
5.625 	 0.000e+00 	 0.000e+00
5.675 	 0.000e+00 	 0.000e+00
5.725 	 0.000e+00 	 0.000e+00
5.775 	 -6.296e+05 	 6.910e+07
5.825 	 -1.137e+06 	 3.101e+07
5.875 	 -1.018e+06 	 1.839e+07
5.925 	 -1.585e+06 	 1.220e+07
5.975 	 -1.287e+06 	 8.608e+06
6.025 	 -1.190e+06 	 6.329e+06
6.075 	 -1.197e+06 	 6.329e+06
6.125 	 -1.370e+06 	 4.800e+06
6.175 	 -1.378e+06 	 4.800e+06
6.225 	 -1.364e+06 	 3.728e+06
6.275 	 -1.372e+06 	 3.728e+06
6.325 	 -1.380e+06 	 3.728e+06
6.375 	 -1.388e+06 	 3.728e+06
6.425 	 -1.396e+06 	 3.728e+06
6.475 	 6.038e+06 	 5.268e+06
6.525 	 -1.413e+06 	 3.729e+06
6.575 	 -1.421e+06 	 3.729e+06
6.625 	 -1.429e+06 	 3.729e+06
6.675 	 -1.437e+06 	 3.729e+06
6.725 	 -1.445e+06 	 3.729e+06
6.775 	 -1.453e+06 	 3.729e+06
6.825 	 1.342e+07 	 7.447e+06
6.875 	 5.974e+06 	 5.268e+06
6.925 	 2.244e+06 	 3.729e+06
6.975 	 -1.485e+06 	 3.729e+06
7.025 	 -1.494e+06 	 3.729e+06
7.075 	 2.220e+06 	 3.729e+06
7.125 	 -1.510e+06 	 3.730e+06
7.175 	 -1.518e+06 	 3.730e+06
7.225 	 5.917e+06 	 5.269e+06
7.275 	 5.909e+06 	 5.269e+06
7.325 	 -1.542e+06 	 3.730e+06
7.375 	 2.172e+06 	 3.730e+06
7.425 	 -1.558e+06 	 3.730e+06
7.475 	 -1.565e+06 	 3.730e+06
7.525 	 -1.574e+06 	 3.730e+06
7.575 	 -1.581e+06 	 3.730e+06
7.625 	 -1.589e+06 	 3.730e+06
7.675 	 -1.598e+06 	 3.731e+06
7.725 	 -1.605e+06 	 3.731e+06
7.775 	 2.108e+06 	 3.731e+06
7.825 	 -1.621e+06 	 3.731e+06
7.875 	 2.092e+06 	 3.731e+06
7.925 	 -1.637e+06 	 3.731e+06
7.975 	 -1.645e+06 	 3.731e+06
8.025 	 -1.653e+06 	 3.731e+06
8.075 	 -1.661e+06 	 3.731e+06
8.125 	 -1.669e+06 	 3.731e+06
8.175 	 -1.677e+06 	 3.731e+06
