WRF ANALYSIS
Date & time = ,2022-11-22, 09:59
Display format=,3
Program version:,2021-05-25

Scan file = ,N221110-002-999_DIM-00-00_Pos-3_WRF-13425853_CR39-13517222_3hr_40x_s5
Port & distance (cm) =,dim0000_pos3,35.0
WRF ID; Al blast(um) & cal=,13425853-g023 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-73),(0-61),-1.088,1.082,-0.998,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,61,
C; e; Dmax; dDmax; Dscale =,14,15,12.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.324,0.043,2.10

Fit limits (MeV):,14.000,16.200,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.248,0.259,1.973e+08
Value (raw stats):, 15.253,0.253,1.980e+08
Uncertainties
    Random:, 0.041,0.014,16.05%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.011,0.013,3.62%
     DvE:, 0.018,0.006,15.63%
     Dmax:, 0.015,0.000,0.48%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.975 	 0.000e+00 	 0.000e+00
5.025 	 0.000e+00 	 0.000e+00
5.075 	 0.000e+00 	 0.000e+00
5.125 	 0.000e+00 	 0.000e+00
5.175 	 0.000e+00 	 0.000e+00
5.225 	 -3.050e+06 	 6.467e+07
5.275 	 -3.198e+06 	 2.886e+07
5.325 	 -2.982e+06 	 1.701e+07
5.375 	 -2.791e+06 	 1.122e+07
5.425 	 -2.546e+06 	 7.884e+06
5.475 	 -2.564e+06 	 7.884e+06
5.525 	 -2.221e+06 	 5.775e+06
5.575 	 -2.236e+06 	 5.775e+06
5.625 	 -2.135e+06 	 4.365e+06
5.675 	 2.207e+06 	 4.365e+06
5.725 	 -1.846e+06 	 3.381e+06
5.775 	 -1.858e+06 	 3.381e+06
5.825 	 -1.870e+06 	 3.381e+06
5.875 	 1.491e+06 	 3.381e+06
5.925 	 -1.894e+06 	 3.381e+06
5.975 	 -1.906e+06 	 3.381e+06
6.025 	 4.828e+06 	 4.776e+06
6.075 	 1.443e+06 	 3.381e+06
6.125 	 1.431e+06 	 3.382e+06
6.175 	 -1.954e+06 	 3.382e+06
6.225 	 -1.966e+06 	 3.382e+06
6.275 	 -1.978e+06 	 3.382e+06
6.325 	 -1.989e+06 	 3.382e+06
6.375 	 -2.002e+06 	 3.382e+06
6.425 	 1.360e+06 	 3.382e+06
