WRF ANALYSIS
Date & time = ,2022-11-22, 13:23
Display format=,3
Program version:,2021-05-25

Scan file = ,N221110-003-999_DIM-00-00_Pos-1_WRF-13425858_CR39-13517205_3hr_40x_s5
Port & distance (cm) =,dim0000_pos1,35.0
WRF ID; Al blast(um) & cal=,13425858-g028 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-72),(0-59),-1.073,1.080,-0.968,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,59,
C; e; Dmax; dDmax; Dscale =,14,15,12.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.405,0.032,1.02

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.058,0.276,5.780e+08
Value (raw stats):, 15.058,0.265,5.754e+08
Uncertainties
    Random:, 0.054,0.007,12.89%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.006,0.006,4.63%
     DvE:, 0.011,0.004,12.02%
     Dmax:, 0.015,0.000,0.48%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.049,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.375 	 0.000e+00 	 0.000e+00
5.425 	 0.000e+00 	 0.000e+00
5.475 	 0.000e+00 	 0.000e+00
5.525 	 0.000e+00 	 0.000e+00
5.575 	 0.000e+00 	 0.000e+00
5.625 	 -6.663e+06 	 3.846e+07
5.675 	 -5.981e+06 	 2.324e+07
5.725 	 -5.116e+06 	 1.570e+07
5.775 	 -5.118e+06 	 1.128e+07
5.825 	 2.022e+07 	 1.457e+07
5.875 	 1.829e+06 	 6.472e+06
5.925 	 5.696e+06 	 7.178e+06
5.975 	 1.580e+07 	 1.014e+07
6.025 	 5.732e+05 	 5.085e+06
6.075 	 5.447e+05 	 5.086e+06
6.125 	 5.583e+06 	 7.178e+06
6.175 	 -4.577e+06 	 5.086e+06
6.225 	 4.612e+05 	 5.086e+06
6.275 	 4.333e+05 	 5.087e+06
6.325 	 2.067e+07 	 1.134e+07
6.375 	 -4.688e+06 	 5.087e+06
6.425 	 3.504e+05 	 5.087e+06
6.475 	 1.045e+07 	 8.787e+06
6.525 	 -4.770e+06 	 5.088e+06
6.575 	 2.692e+05 	 5.088e+06
6.625 	 2.408e+05 	 5.088e+06
6.675 	 -4.852e+06 	 5.089e+06
6.725 	 1.868e+05 	 5.089e+06
6.775 	 1.590e+05 	 5.089e+06
6.825 	 5.198e+06 	 7.181e+06
6.875 	 1.045e+05 	 5.090e+06
6.925 	 5.144e+06 	 7.181e+06
6.975 	 -5.016e+06 	 5.090e+06
7.025 	 2.270e+04 	 5.090e+06
7.075 	 -3.963e+03 	 5.091e+06
7.125 	 -5.098e+06 	 5.091e+06
7.175 	 5.007e+06 	 7.182e+06
7.225 	 4.980e+06 	 7.182e+06
7.275 	 4.954e+06 	 7.183e+06
7.325 	 9.992e+06 	 8.790e+06
7.375 	 -5.232e+06 	 5.092e+06
7.425 	 4.872e+06 	 7.183e+06
7.475 	 -5.286e+06 	 5.093e+06
7.525 	 -5.314e+06 	 5.093e+06
7.575 	 4.792e+06 	 7.184e+06
7.625 	 -3.014e+05 	 5.094e+06
7.675 	 -5.395e+06 	 5.094e+06
7.725 	 1.484e+07 	 1.015e+07
7.775 	 -3.820e+05 	 5.095e+06
7.825 	 9.723e+06 	 8.791e+06
7.875 	 -5.501e+06 	 5.095e+06
7.925 	 1.474e+07 	 1.015e+07
7.975 	 4.577e+06 	 7.185e+06
8.025 	 9.616e+06 	 8.792e+06
8.075 	 -5.420e+05 	 5.096e+06
8.125 	 -5.693e+05 	 5.097e+06
8.175 	 -5.661e+06 	 5.097e+06
8.225 	 4.444e+06 	 7.186e+06
8.275 	 -6.487e+05 	 5.097e+06
8.325 	 -6.747e+05 	 5.098e+06
8.375 	 -7.014e+05 	 5.098e+06
8.425 	 -5.793e+06 	 5.098e+06
8.475 	 4.312e+06 	 7.187e+06
8.525 	 9.352e+06 	 8.793e+06
8.575 	 -5.873e+06 	 5.099e+06
8.625 	 9.299e+06 	 8.794e+06
8.675 	 2.447e+07 	 1.242e+07
8.725 	 -5.951e+06 	 5.100e+06
8.775 	 -9.112e+05 	 5.100e+06
