WRF ANALYSIS
Date & time = ,2022-11-22, 13:30
Display format=,3
Program version:,2021-05-25

Scan file = ,N221110-003-999_DIM-00-00_Pos3_WRF-13425937_CR39-13517212_3hr_40x_s6
Port & distance (cm) =,dim0000_pos3,35.0
WRF ID; Al blast(um) & cal=,13425937-g107 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-72),(0-59),-1.065,1.104,-0.982,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,13,15,10.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.472,0.045,1.35

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.856,0.264,4.723e+08
Value (raw stats):, 14.860,0.256,4.750e+08
Uncertainties
    Random:, 0.034,0.010,21.83%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.008,0.010,13.47%
     DvE:, 0.014,0.001,17.17%
     Dmax:, 0.017,0.000,0.56%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.021,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.625 	 0.000e+00 	 0.000e+00
5.675 	 0.000e+00 	 0.000e+00
5.725 	 0.000e+00 	 0.000e+00
5.775 	 0.000e+00 	 0.000e+00
5.825 	 0.000e+00 	 0.000e+00
5.875 	 -2.093e+06 	 4.508e+07
5.925 	 -1.941e+06 	 1.889e+07
5.975 	 -1.678e+06 	 1.373e+07
6.025 	 -1.674e+06 	 8.045e+06
6.075 	 -1.684e+06 	 8.045e+06
6.125 	 -1.586e+06 	 6.372e+06
6.175 	 4.768e+06 	 6.372e+06
6.225 	 -1.605e+06 	 6.372e+06
6.275 	 -1.615e+06 	 6.372e+06
6.325 	 -1.624e+06 	 6.372e+06
6.375 	 -1.634e+06 	 6.372e+06
6.425 	 -1.644e+06 	 6.372e+06
6.475 	 4.711e+06 	 6.372e+06
6.525 	 4.701e+06 	 6.372e+06
6.575 	 -1.672e+06 	 6.372e+06
6.625 	 -1.682e+06 	 6.373e+06
6.675 	 -1.691e+06 	 6.373e+06
6.725 	 -1.701e+06 	 6.373e+06
6.775 	 -1.711e+06 	 6.373e+06
6.825 	 -1.720e+06 	 6.373e+06
6.875 	 -1.730e+06 	 6.373e+06
6.925 	 -1.739e+06 	 6.373e+06
6.975 	 -1.749e+06 	 6.373e+06
7.025 	 -1.758e+06 	 6.373e+06
7.075 	 -1.767e+06 	 6.373e+06
7.125 	 -1.777e+06 	 6.374e+06
7.175 	 -1.786e+06 	 6.374e+06
7.225 	 -1.796e+06 	 6.374e+06
7.275 	 -1.805e+06 	 6.374e+06
7.325 	 -1.815e+06 	 6.374e+06
7.375 	 -1.824e+06 	 6.374e+06
7.425 	 -1.834e+06 	 6.374e+06
7.475 	 -1.843e+06 	 6.374e+06
7.525 	 -1.853e+06 	 6.374e+06
7.575 	 -1.862e+06 	 6.374e+06
7.625 	 -1.871e+06 	 6.375e+06
7.675 	 -1.881e+06 	 6.375e+06
7.725 	 -1.890e+06 	 6.375e+06
7.775 	 -1.899e+06 	 6.375e+06
7.825 	 -1.909e+06 	 6.375e+06
7.875 	 -1.918e+06 	 6.375e+06
7.925 	 -1.927e+06 	 6.375e+06
7.975 	 4.428e+06 	 6.375e+06
8.025 	 -1.946e+06 	 6.375e+06
8.075 	 4.409e+06 	 6.376e+06
8.125 	 -1.964e+06 	 6.376e+06
8.175 	 -1.974e+06 	 6.376e+06
8.225 	 4.381e+06 	 6.376e+06
8.275 	 -1.992e+06 	 6.376e+06
8.325 	 -2.001e+06 	 6.376e+06
8.375 	 -2.011e+06 	 6.376e+06
8.425 	 4.344e+06 	 6.376e+06
8.475 	 -2.029e+06 	 6.376e+06
8.525 	 -2.038e+06 	 6.377e+06
8.575 	 -2.047e+06 	 6.377e+06
8.625 	 4.308e+06 	 6.377e+06
8.675 	 -2.066e+06 	 6.377e+06
8.725 	 4.289e+06 	 6.377e+06
8.775 	 1.701e+07 	 1.103e+07
8.825 	 -2.093e+06 	 6.377e+06
8.875 	 -2.102e+06 	 6.377e+06
8.925 	 4.253e+06 	 6.377e+06
8.975 	 -2.120e+06 	 6.378e+06
9.025 	 -2.129e+06 	 6.378e+06
9.075 	 -2.138e+06 	 6.378e+06
9.125 	 -2.147e+06 	 6.378e+06
9.175 	 4.208e+06 	 6.378e+06
9.225 	 -2.165e+06 	 6.378e+06
9.275 	 -2.174e+06 	 6.378e+06
9.325 	 4.181e+06 	 6.378e+06
9.375 	 -2.192e+06 	 6.378e+06
9.425 	 -2.201e+06 	 6.379e+06
9.475 	 4.154e+06 	 6.379e+06
9.525 	 4.145e+06 	 6.379e+06
9.575 	 -2.228e+06 	 6.379e+06
9.625 	 -2.237e+06 	 6.379e+06
