WRF ANALYSIS
Date & time = ,2023-01-06, 15:02
Display format=,3
Program version:,2021-05-25

Scan file = ,N221126-001-999_WRF_090-078_4_13425858_AL_13517234_S1_40X_4HR
Port & distance (cm) =,784,51.8
WRF ID; Al blast(um) & cal=,13425858-g028 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-78),(0-63),-1.205,1.201,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,50,78,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,10.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.450,0.300,23.59

Fit limits (MeV):,10.000,13.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 10.931,0.430,3.313e+08
Value (raw stats):, 11.114,0.451,3.679e+08
Uncertainties
    Random:, 0.288,6.703,208.17%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.246,6.703,74.25%
     DvE:, 0.133,0.100,194.48%
     Dmax:, 0.021,0.000,0.92%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.060,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 1.276e+09 	 2.089e+08
4.850 	 1.472e+09 	 1.638e+08
4.950 	 1.238e+09 	 1.220e+08
5.050 	 1.732e+09 	 1.266e+08
5.150 	 1.485e+09 	 1.192e+08
5.250 	 1.261e+09 	 1.121e+08
5.350 	 1.256e+09 	 1.121e+08
5.450 	 1.348e+09 	 1.154e+08
5.550 	 1.041e+09 	 1.051e+08
5.650 	 1.013e+09 	 1.043e+08
5.750 	 7.139e+08 	 9.313e+07
5.850 	 6.556e+08 	 9.099e+07
5.950 	 8.153e+08 	 9.759e+07
6.050 	 7.795e+08 	 9.642e+07
6.150 	 5.784e+08 	 8.848e+07
6.250 	 5.653e+08 	 8.816e+07
6.350 	 6.424e+08 	 9.162e+07
6.450 	 3.887e+08 	 8.081e+07
6.550 	 4.735e+08 	 8.491e+07
6.650 	 4.379e+08 	 8.357e+07
6.750 	 4.474e+08 	 8.424e+07
6.850 	 4.043e+08 	 8.255e+07
6.950 	 3.613e+08 	 8.083e+07
7.050 	 2.129e+08 	 7.389e+07
7.150 	 3.954e+08 	 8.291e+07
7.250 	 2.396e+08 	 7.579e+07
7.350 	 3.093e+08 	 7.943e+07
7.450 	 2.663e+08 	 7.764e+07
7.550 	 2.759e+08 	 7.837e+07
7.650 	 2.404e+08 	 7.692e+07
7.750 	 3.027e+08 	 8.016e+07
7.850 	 6.424e+07 	 6.837e+07
7.950 	 1.491e+08 	 7.317e+07
8.050 	 2.114e+08 	 7.657e+07
8.150 	 2.210e+08 	 7.731e+07
8.250 	 1.104e+08 	 7.201e+07
8.350 	 1.653e+08 	 7.509e+07
8.450 	 1.750e+08 	 7.585e+07
8.550 	 2.449e+08 	 7.949e+07
8.650 	 2.020e+08 	 7.770e+07
8.750 	 3.246e+08 	 8.366e+07
8.850 	 1.840e+08 	 7.734e+07
8.950 	 1.336e+08 	 7.512e+07
9.050 	 9.839e+07 	 7.361e+07
9.150 	 2.060e+08 	 7.916e+07
9.250 	 2.458e+08 	 8.128e+07
9.350 	 6.023e+07 	 7.246e+07
9.450 	 7.005e+07 	 7.325e+07
9.550 	 2.228e+08 	 8.095e+07
9.650 	 7.474e+07 	 7.403e+07
9.750 	 9.963e+07 	 7.554e+07
9.850 	 -1.687e+08 	 6.106e+07
9.950 	 1.645e+08 	 7.921e+07
10.050 	 2.406e+07 	 7.250e+07
10.150 	 1.843e+08 	 8.063e+07
10.250 	 1.567e+08 	 7.958e+07
10.350 	 5.382e+07 	 7.482e+07
10.450 	 1.389e+08 	 7.923e+07
10.550 	 2.241e+08 	 8.341e+07
10.650 	 1.663e+08 	 8.101e+07
10.750 	 3.342e+08 	 8.868e+07
10.850 	 2.615e+08 	 8.577e+07
10.950 	 2.564e+08 	 8.577e+07
11.050 	 4.995e+08 	 9.604e+07
11.150 	 1.336e+08 	 8.069e+07
11.250 	 2.714e+08 	 8.709e+07
11.350 	 1.386e+08 	 8.140e+07
11.450 	 1.561e+08 	 8.244e+07
11.550 	 2.188e+08 	 8.547e+07
11.650 	 1.386e+08 	 8.210e+07
11.750 	 -7.694e+07 	 7.183e+07
11.850 	 -5.184e+07 	 7.339e+07
11.950 	 -1.169e+08 	 7.025e+07
12.050 	 5.899e+06 	 7.679e+07
12.150 	 9.870e+07 	 8.144e+07
12.250 	 7.871e+07 	 8.075e+07
12.350 	 2.864e+07 	 7.863e+07
12.450 	 8.687e+06 	 7.791e+07
12.550 	 -4.135e+07 	 7.571e+07
12.650 	 1.041e+08 	 8.285e+07
12.750 	 9.919e+07 	 8.285e+07
12.850 	 1.168e+08 	 8.388e+07
12.950 	 1.420e+08 	 8.522e+07
13.050 	 -7.338e+07 	 7.537e+07
13.150 	 -1.060e+07 	 7.868e+07
13.250 	 1.575e+08 	 8.655e+07
13.350 	 2.477e+07 	 8.082e+07
13.450 	 1.101e+08 	 8.492e+07
13.550 	 1.354e+08 	 8.624e+07
13.650 	 1.155e+08 	 8.559e+07
13.750 	 2.041e+07 	 8.154e+07
13.850 	 -6.714e+07 	 7.764e+07
13.950 	 1.837e+08 	 8.917e+07
14.050 	 -5.422e+07 	 7.874e+07
14.150 	 -8.161e+07 	 7.766e+07
14.250 	 -1.874e+07 	 8.088e+07
14.350 	 1.118e+08 	 8.695e+07
14.450 	 6.189e+07 	 8.498e+07
14.550 	 -1.008e+08 	 7.769e+07
14.650 	 -8.304e+07 	 7.878e+07
14.750 	 -8.782e+07 	 7.878e+07
14.850 	 5.779e+07 	 8.567e+07
14.950 	 -8.233e+07 	 7.951e+07
15.050 	 -1.849e+08 	 7.476e+07
15.150 	 -8.435e+07 	 7.988e+07
15.250 	 1.616e+07 	 8.470e+07
15.350 	 -1.615e+08 	 7.664e+07
15.450 	 -1.738e+08 	 7.628e+07
15.550 	 -1.484e+08 	 7.776e+07
15.650 	 -2.775e+06 	 8.472e+07
15.750 	 -1.500e+07 	 8.439e+07
15.850 	 3.290e+07 	 8.671e+07
15.950 	 4.324e+07 	 8.737e+07
16.050 	 7.620e+07 	 8.898e+07
16.150 	 -8.639e+07 	 8.204e+07
16.250 	 1.495e+08 	 9.242e+07
16.350 	 3.208e+07 	 8.772e+07
16.450 	 -1.380e+08 	 8.032e+07
16.550 	 3.024e+07 	 8.805e+07
16.650 	 9.327e+07 	 9.090e+07
16.750 	 -4.674e+07 	 8.513e+07
16.850 	 -6.643e+07 	 8.447e+07
16.950 	 -7.861e+07 	 8.414e+07
17.050 	 -6.821e+07 	 8.482e+07
17.150 	 6.250e+07 	 9.062e+07
17.250 	 1.105e+08 	 9.279e+07
17.350 	 6.076e+07 	 9.095e+07
17.450 	 1.464e+08 	 9.461e+07
17.550 	 -3.120e+07 	 8.748e+07
17.650 	 2.574e+08 	 9.929e+07
17.750 	 -6.300e+07 	 8.652e+07
17.850 	 4.517e+07 	 9.129e+07
17.950 	 -4.540e+06 	 8.942e+07
18.050 	 1.339e+07 	 9.037e+07
18.150 	 -2.129e+07 	 8.912e+07
18.250 	 9.444e+07 	 9.406e+07
18.350 	 -4.550e+07 	 8.849e+07
18.450 	 1.758e+07 	 9.133e+07
18.550 	 4.310e+07 	 9.257e+07
18.650 	 -3.668e+07 	 8.947e+07
18.750 	 -1.240e+08 	 8.593e+07
18.850 	 1.497e+08 	 9.735e+07
18.950 	 -5.242e+06 	 9.136e+07
19.050 	 4.284e+07 	 9.351e+07
19.150 	 7.588e+07 	 9.502e+07
19.250 	 -3.845e+06 	 9.200e+07
19.350 	 -2.342e+07 	 9.139e+07
