WRF ANALYSIS
Date & time = ,2023-01-12, 13:29
Display format=,3
Program version:,2021-05-25

Scan file = ,N221220-001-999_WRF_090-124_2_13425919_AL_13517161_S1_40X_5HR
Port & distance (cm) =,1242,299.3
WRF ID; Al blast(um) & cal=,13425919-g089 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-78),(0-63),-1.205,1.201,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,43,78,0,63,
C; e; Dmax; dDmax; Dscale =,9,15,24.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,5.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,66.23

Fit limits (MeV):,4.000,8.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 6.523,0.446,1.767e+08
Value (raw stats):, 6.770,0.431,1.928e+08
Uncertainties
    Random:, 7.216,8.540,625.83%
    Systematic calib:, 0.090,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 1.998,6.805,45.39%
     DvE:, 6.934,5.159,624.19%
     Dmax:, 0.010,0.000,0.54%
     WRF nonlinearity:, 0.025,0.000,0.00%
     Cal. & processing:, 0.061,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.500 	 0.000e+00 	 0.000e+00
3.700 	 0.000e+00 	 0.000e+00
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 1.433e+08 	 2.647e+08
4.700 	 -5.567e+07 	 8.929e+07
4.900 	 -2.207e+06 	 1.021e+08
5.100 	 -1.249e+08 	 5.963e+07
5.300 	 -1.927e+07 	 8.202e+07
5.500 	 1.638e+07 	 9.162e+07
5.700 	 1.499e+07 	 7.282e+07
5.900 	 6.510e+07 	 8.249e+07
6.100 	 8.785e+07 	 8.694e+07
6.300 	 1.921e+08 	 8.109e+07
6.500 	 1.158e+08 	 7.259e+07
6.700 	 1.299e+08 	 7.482e+07
6.900 	 1.621e+08 	 7.908e+07
7.100 	 1.345e+07 	 6.034e+07
7.300 	 6.374e+07 	 6.800e+07
7.500 	 2.364e+07 	 6.303e+07
7.700 	 3.780e+07 	 6.558e+07
7.900 	 -3.842e+07 	 5.473e+07
8.100 	 1.385e+08 	 7.916e+07
8.300 	 -4.619e+07 	 5.477e+07
8.500 	 9.460e+07 	 7.495e+07
8.700 	 1.269e+08 	 7.920e+07
8.900 	 -3.440e+06 	 6.314e+07
9.100 	 1.555e+08 	 8.325e+07
9.300 	 -1.014e+08 	 4.855e+07
9.500 	 -1.474e+07 	 6.320e+07
9.700 	 5.382e+07 	 7.283e+07
9.900 	 -4.031e+07 	 6.060e+07
10.100 	 -8.019e+07 	 5.496e+07
10.300 	 2.458e+07 	 7.060e+07
10.500 	 -5.144e+07 	 6.066e+07
10.700 	 -8.827e+05 	 6.828e+07
10.900 	 1.220e+08 	 8.338e+07
11.100 	 9.870e+06 	 7.067e+07
11.300 	 -2.994e+07 	 6.590e+07
11.500 	 -5.165e+07 	 6.339e+07
11.700 	 -1.028e+06 	 7.072e+07
11.900 	 1.344e+07 	 7.302e+07
12.100 	 4.600e+07 	 7.738e+07
12.300 	 -4.798e+07 	 6.600e+07
12.500 	 -6.963e+07 	 6.350e+07
12.700 	 -7.320e+07 	 6.352e+07
12.900 	 1.364e+07 	 7.531e+07
13.100 	 -9.837e+07 	 6.094e+07
13.300 	 1.512e+08 	 9.106e+07
13.500 	 -1.235e+08 	 5.824e+07
13.700 	 3.569e+07 	 7.960e+07
13.900 	 1.410e+07 	 7.754e+07
14.100 	 6.485e+07 	 8.364e+07
14.300 	 2.521e+07 	 7.966e+07
14.500 	 -1.048e+08 	 6.372e+07
14.700 	 -3.598e+07 	 7.329e+07
14.900 	 8.711e+07 	 8.753e+07
15.100 	 6.557e+07 	 8.566e+07
15.300 	 -4.635e+07 	 7.335e+07
15.500 	 4.061e+07 	 8.377e+07
15.700 	 -3.513e+07 	 7.559e+07
15.900 	 -2.382e+06 	 7.981e+07
16.100 	 -6.001e+07 	 7.343e+07
16.300 	 -1.357e+08 	 6.394e+07
16.500 	 1.140e+08 	 9.310e+07
16.700 	 3.830e+07 	 8.581e+07
16.900 	 -5.547e+07 	 7.571e+07
17.100 	 2.847e+08 	 1.093e+08
17.300 	 -1.887e+08 	 5.874e+07
17.500 	 6.101e+07 	 8.961e+07
17.700 	 -8.697e+07 	 7.361e+07
17.900 	 1.266e+08 	 9.667e+07
18.100 	 1.414e+08 	 9.836e+07
18.300 	 -9.698e+07 	 7.368e+07
18.500 	 -4.607e+07 	 8.008e+07
18.700 	 -1.217e+08 	 7.148e+07
18.900 	 1.551e+06 	 8.603e+07
19.100 	 1.067e+08 	 9.677e+07
19.300 	 3.974e+07 	 9.829e+07
19.500 	 -8.309e+06 	 1.043e+08
19.700 	 0.000e+00 	 0.000e+00
