WRF ANALYSIS
Date & time = ,2023-01-13, 16:50
Display format=,3
Program version:,2021-05-25

Scan file = ,N230102-003-999_WRF_090-078_3_13425886_AL_13517247_S1_40X_.5HR
Port & distance (cm) =,783,51.8
WRF ID; Al blast(um) & cal=,13425886-g056 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-78),(0-63),-1.205,1.201,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,46,78,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,25.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.300,0.200,3.78

Fit limits (MeV):,4.000,10.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 6.867,1.708,3.041e+07
Uncertainties
    Random:, 0.501,1.063,137.91%
    Systematic calib:, 0.089,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.438,0.683,102.78%
     DvE:, 0.228,0.815,91.96%
     Dmax:, 0.010,0.000,0.53%
     WRF nonlinearity:, 0.024,0.000,0.00%
     Cal. & processing:, 0.084,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 1.403e+07 	 1.491e+07
5.100 	 5.621e+06 	 1.063e+07
5.300 	 1.614e+07 	 1.053e+07
5.500 	 2.141e+07 	 9.668e+06
5.700 	 1.425e+07 	 9.178e+06
5.900 	 -5.198e+05 	 7.963e+06
6.100 	 -4.628e+06 	 7.669e+06
6.300 	 6.503e+06 	 8.798e+06
6.500 	 6.990e+06 	 8.931e+06
6.700 	 1.392e+06 	 8.536e+06
6.900 	 1.254e+07 	 9.563e+06
7.100 	 6.952e+06 	 9.195e+06
7.300 	 -9.293e+06 	 7.836e+06
7.500 	 -5.742e+06 	 8.271e+06
7.700 	 1.608e+07 	 1.016e+07
7.900 	 -9.284e+06 	 8.136e+06
8.100 	 1.864e+07 	 1.050e+07
8.300 	 -5.199e+06 	 8.693e+06
8.500 	 2.274e+07 	 1.094e+07
8.700 	 1.261e+07 	 1.029e+07
8.900 	 -3.596e+06 	 9.093e+06
9.100 	 -1.218e+07 	 8.434e+06
9.300 	 9.684e+06 	 1.029e+07
9.500 	 8.712e+06 	 1.030e+07
9.700 	 1.311e+05 	 9.720e+06
9.900 	 5.258e+06 	 1.019e+07
10.100 	 2.773e+06 	 1.008e+07
10.300 	 4.861e+06 	 1.031e+07
10.500 	 2.383e+06 	 1.020e+07
10.700 	 7.524e+06 	 1.065e+07
10.900 	 1.114e+07 	 1.097e+07
11.100 	 1.020e+07 	 1.097e+07
11.300 	 -7.489e+06 	 9.744e+06
11.500 	 8.322e+06 	 1.098e+07
11.700 	 5.865e+06 	 1.087e+07
11.900 	 9.501e+06 	 1.119e+07
12.100 	 9.595e+05 	 1.067e+07
12.300 	 6.124e+06 	 1.109e+07
12.500 	 8.247e+06 	 1.130e+07
12.700 	 -3.331e+06 	 1.057e+07
12.900 	 1.859e+07 	 1.210e+07
13.100 	 -1.582e+07 	 9.774e+06
13.300 	 -6.074e+06 	 1.057e+07
13.500 	 -8.507e+06 	 1.047e+07
13.700 	 -9.413e+06 	 1.047e+07
13.900 	 3.384e+06 	 1.143e+07
14.100 	 5.528e+06 	 1.163e+07
14.300 	 9.196e+06 	 1.193e+07
14.500 	 2.048e+07 	 1.269e+07
14.700 	 -9.346e+06 	 1.081e+07
14.900 	 8.030e+06 	 1.203e+07
15.100 	 -1.418e+07 	 1.060e+07
15.300 	 -2.887e+06 	 1.145e+07
15.500 	 5.362e+06 	 1.204e+07
15.700 	 6.001e+06 	 1.214e+07
15.900 	 1.426e+07 	 1.271e+07
16.100 	 1.200e+06 	 1.196e+07
16.300 	 -4.243e+06 	 1.167e+07
16.500 	 -2.491e+07 	 1.030e+07
16.700 	 6.189e+06 	 1.244e+07
16.900 	 5.319e+06 	 1.244e+07
17.100 	 -4.685e+06 	 1.188e+07
17.300 	 -4.030e+06 	 1.198e+07
17.500 	 -1.555e+07 	 1.128e+07
17.700 	 -5.759e+06 	 1.198e+07
17.900 	 2.840e+07 	 1.403e+07
18.100 	 9.264e+06 	 1.301e+07
18.300 	 -1.291e+07 	 1.170e+07
18.500 	 -1.377e+07 	 1.170e+07
18.700 	 2.124e+06 	 1.275e+07
18.900 	 1.041e+07 	 1.329e+07
19.100 	 -1.328e+07 	 1.191e+07
19.300 	 1.092e+06 	 1.285e+07
19.500 	 2.233e+06 	 2.584e+07
19.700 	 0.000e+00 	 0.000e+00
