WRF ANALYSIS
Date & time = ,2023-01-25, 12:59
Display format=,3
Program version:,2021-05-25

Scan file = ,N230103-004-999_WRF_090-078_3_13425876_AL_13517250_S1_40X_4HR
Port & distance (cm) =,783,51.8
WRF ID; Al blast(um) & cal=,13425876-g046 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-78),(0-63),-1.205,1.201,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,62,78,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,21.00,0.60,new
Dlow; Dhigh; Dauto; Elims =,6.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.250,0.200,23.87

Fit limits (MeV):,7.700,10.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 8.996,0.372,9.028e+07
Value (raw stats):, 9.203,0.412,1.089e+08
Uncertainties
    Random:, 0.374,0.263,212.12%
    Systematic calib:, 0.071,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.200,0.243,155.38%
     DvE:, 0.307,0.100,144.39%
     Dmax:, 0.026,0.000,1.28%
     WRF nonlinearity:, 0.019,0.000,0.00%
     Cal. & processing:, 0.069,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 7.771e+06 	 1.894e+07
4.850 	 -2.649e+07 	 1.074e+07
4.950 	 -6.562e+07 	 9.650e+06
5.050 	 -6.674e+07 	 9.661e+06
5.150 	 -1.057e+08 	 5.139e+06
5.250 	 -1.072e+08 	 5.158e+06
5.350 	 -8.728e+07 	 1.140e+07
5.450 	 -7.973e+07 	 1.260e+07
5.550 	 -5.298e+07 	 1.384e+07
5.650 	 -5.701e+07 	 1.366e+07
5.750 	 -6.327e+07 	 1.329e+07
5.850 	 -4.706e+07 	 1.474e+07
5.950 	 -5.779e+07 	 1.404e+07
6.050 	 -3.333e+07 	 1.217e+07
6.150 	 -9.506e+06 	 1.365e+07
6.250 	 8.877e+05 	 1.429e+07
6.350 	 1.279e+07 	 1.498e+07
6.450 	 -6.952e+05 	 1.437e+07
6.550 	 -9.668e+06 	 1.398e+07
6.650 	 -9.703e+06 	 1.406e+07
6.750 	 -3.745e+06 	 1.446e+07
6.850 	 -9.741e+06 	 1.423e+07
6.950 	 7.103e+05 	 1.484e+07
7.050 	 -1.423e+07 	 1.415e+07
7.150 	 1.563e+07 	 1.572e+07
7.250 	 -2.767e+07 	 1.360e+07
7.350 	 -2.916e+07 	 1.360e+07
7.450 	 -7.739e+05 	 1.515e+07
7.550 	 -2.315e+07 	 1.409e+07
7.650 	 1.122e+07 	 1.588e+07
7.750 	 -2.178e+06 	 1.531e+07
7.850 	 -6.624e+06 	 1.516e+07
7.950 	 2.180e+07 	 1.657e+07
8.050 	 5.408e+06 	 1.589e+07
8.150 	 6.952e+06 	 1.603e+07
8.250 	 1.597e+07 	 1.651e+07
8.350 	 2.949e+07 	 1.718e+07
8.450 	 1.911e+07 	 1.678e+07
8.550 	 3.860e+07 	 1.769e+07
8.650 	 7.603e+07 	 1.926e+07
8.750 	 7.314e+07 	 1.921e+07
8.850 	 8.219e+07 	 1.961e+07
8.950 	 9.424e+07 	 2.012e+07
9.050 	 1.228e+08 	 2.120e+07
9.150 	 8.405e+07 	 1.985e+07
9.250 	 6.773e+07 	 1.928e+07
9.350 	 4.845e+07 	 1.857e+07
9.450 	 4.708e+07 	 1.857e+07
9.550 	 3.826e+07 	 1.827e+07
9.650 	 2.496e+07 	 1.778e+07
9.750 	 8.675e+06 	 1.715e+07
9.850 	 -9.086e+06 	 1.642e+07
9.950 	 3.139e+07 	 1.822e+07
10.050 	 9.158e+06 	 1.735e+07
10.150 	 3.471e+07 	 1.847e+07
10.250 	 4.236e+07 	 1.883e+07
10.350 	 1.267e+07 	 1.767e+07
10.450 	 5.466e+07 	 1.942e+07
10.550 	 1.752e+07 	 1.799e+07
10.650 	 4.609e+07 	 1.919e+07
10.750 	 1.792e+07 	 1.812e+07
10.850 	 3.306e+07 	 1.879e+07
10.950 	 3.327e+07 	 1.885e+07
11.050 	 2.602e+07 	 1.861e+07
11.150 	 3.844e+06 	 1.775e+07
11.250 	 -1.905e+06 	 1.757e+07
11.350 	 7.292e+06 	 1.801e+07
11.450 	 -1.430e+06 	 1.770e+07
11.550 	 2.868e+07 	 1.898e+07
11.650 	 1.399e+07 	 1.844e+07
11.750 	 1.724e+07 	 1.863e+07
11.850 	 3.691e+07 	 1.945e+07
11.950 	 1.030e+07 	 1.845e+07
12.050 	 -1.385e+06 	 1.802e+07
12.150 	 -8.575e+06 	 1.778e+07
12.250 	 1.709e+07 	 1.888e+07
12.350 	 8.416e+06 	 1.858e+07
12.450 	 5.650e+07 	 2.047e+07
12.550 	 2.245e+07 	 1.923e+07
12.650 	 1.827e+07 	 1.912e+07
12.750 	 2.903e+07 	 1.958e+07
12.850 	 1.888e+07 	 1.924e+07
12.950 	 2.768e+06 	 1.865e+07
13.050 	 4.590e+06 	 1.877e+07
13.150 	 -1.599e+07 	 1.799e+07
13.250 	 3.512e+07 	 2.004e+07
13.350 	 2.350e+07 	 1.965e+07
13.450 	 -1.200e+07 	 1.830e+07
13.550 	 4.779e+06 	 1.902e+07
13.650 	 2.156e+07 	 1.971e+07
13.750 	 1.295e+07 	 1.943e+07
13.850 	 4.318e+07 	 2.060e+07
13.950 	 2.264e+07 	 1.989e+07
14.050 	 -1.432e+07 	 1.850e+07
14.150 	 9.951e+06 	 1.950e+07
14.250 	 -6.093e+06 	 1.892e+07
14.350 	 1.072e+07 	 1.961e+07
14.450 	 4.547e+07 	 2.094e+07
14.550 	 7.029e+06 	 1.956e+07
14.650 	 2.834e+07 	 2.040e+07
14.750 	 -1.124e+06 	 1.934e+07
14.850 	 -9.672e+06 	 1.905e+07
14.950 	 1.763e+07 	 2.013e+07
15.050 	 1.356e+07 	 2.002e+07
15.150 	 1.847e+07 	 2.024e+07
15.250 	 -1.694e+07 	 1.894e+07
15.350 	 -7.985e+04 	 1.963e+07
15.450 	 -2.204e+07 	 1.882e+07
15.550 	 1.276e+07 	 2.020e+07
15.650 	 1.322e+07 	 2.025e+07
15.750 	 2.563e+07 	 2.075e+07
15.850 	 3.683e+06 	 1.998e+07
15.950 	 -2.870e+07 	 1.877e+07
16.050 	 4.645e+06 	 2.009e+07
16.150 	 3.631e+06 	 2.010e+07
16.250 	 5.341e+07 	 2.190e+07
16.350 	 2.403e+07 	 2.092e+07
16.450 	 -2.029e+07 	 1.931e+07
16.550 	 2.615e+06 	 2.021e+07
16.650 	 -8.821e+06 	 1.983e+07
16.750 	 2.142e+06 	 2.027e+07
16.850 	 8.633e+06 	 2.055e+07
16.950 	 -1.027e+07 	 1.989e+07
17.050 	 1.565e+07 	 2.087e+07
17.150 	 -1.518e+07 	 1.978e+07
17.250 	 2.878e+05 	 2.039e+07
17.350 	 -1.410e+07 	 1.989e+07
17.450 	 -4.597e+06 	 2.028e+07
17.550 	 3.478e+07 	 2.172e+07
17.650 	 -1.096e+07 	 2.012e+07
17.750 	 -1.339e+07 	 2.007e+07
17.850 	 3.048e+07 	 2.167e+07
17.950 	 -2.420e+07 	 1.973e+07
18.050 	 2.416e+07 	 2.152e+07
18.150 	 8.307e+06 	 2.100e+07
18.250 	 4.325e+07 	 2.223e+07
18.350 	 7.991e+06 	 2.105e+07
18.450 	 -3.364e+06 	 2.068e+07
18.550 	 2.114e+07 	 2.158e+07
18.650 	 -6.659e+05 	 2.084e+07
18.750 	 2.384e+07 	 2.173e+07
18.850 	 -2.482e+07 	 2.003e+07
18.950 	 4.173e+06 	 2.111e+07
19.050 	 -2.059e+07 	 2.025e+07
19.150 	 -8.012e+06 	 2.074e+07
