WRF ANALYSIS
Date & time = ,2023-03-02, 15:41
Display format=,3
Program version:,2021-05-25

Scan file = ,N230131-002-999_WRF_000-000_3_13425919_AL_13517257_S1_40X_5HR
Port & distance (cm) =,003,53.0
WRF ID; Al blast(um) & cal=,13425919-g089 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(25-78),(31-63),-1.076,1.201,-0.006,1.000
Back x0; x1; y0; y1 (cm) =,60,78,0,63,
C; e; Dmax; dDmax; Dscale =,10,15,26.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,5.12

Fit limits (MeV):,7.000,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 7.641,2.417,2.133e+06
Uncertainties
    Random:, 5.505,23.163,313.34%
    Systematic calib:, 0.082,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 3.651,22.840,147.10%
     DvE:, 4.121,3.853,276.66%
     Dmax:, 0.009,0.000,0.48%
     WRF nonlinearity:, 0.022,0.000,0.00%
     Cal. & processing:, 0.055,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 0.000e+00 	 0.000e+00
5.300 	 -1.104e+07 	 4.120e+07
5.500 	 -5.392e+06 	 9.424e+06
5.700 	 7.885e+06 	 8.253e+06
5.900 	 4.964e+06 	 5.503e+06
6.100 	 1.232e+05 	 2.732e+06
6.300 	 -3.975e+05 	 1.903e+06
6.500 	 -4.516e+05 	 1.903e+06
6.700 	 -5.054e+05 	 1.904e+06
6.900 	 -8.592e+05 	 1.285e+06
7.100 	 3.658e+05 	 1.809e+06
7.300 	 -9.522e+05 	 1.287e+06
7.500 	 2.731e+05 	 1.809e+06
7.700 	 1.499e+06 	 2.212e+06
7.900 	 -2.362e+06 	 1.289e+06
8.100 	 2.679e+06 	 2.552e+06
8.300 	 -2.453e+06 	 1.290e+06
8.500 	 4.485e+04 	 1.812e+06
8.700 	 -1.272e+06 	 1.291e+06
8.900 	 -4.486e+04 	 1.813e+06
9.100 	 -1.361e+06 	 1.293e+06
9.300 	 -1.334e+05 	 1.814e+06
9.500 	 -1.449e+06 	 1.294e+06
9.700 	 -2.216e+05 	 1.815e+06
9.900 	 9.907e+06 	 4.029e+06
10.100 	 9.623e+05 	 2.217e+06
10.300 	 9.188e+05 	 2.217e+06
10.500 	 2.147e+06 	 2.556e+06
10.700 	 8.321e+05 	 2.218e+06
10.900 	 -4.826e+05 	 1.818e+06
11.100 	 -5.255e+05 	 1.819e+06
11.300 	 4.518e+06 	 3.127e+06
11.500 	 6.606e+05 	 2.220e+06
11.700 	 6.976e+06 	 3.608e+06
11.900 	 4.390e+06 	 3.128e+06
12.100 	 -7.381e+05 	 1.821e+06
12.300 	 -7.802e+05 	 1.822e+06
12.500 	 1.721e+06 	 2.560e+06
12.700 	 -3.407e+06 	 1.307e+06
12.900 	 -2.177e+06 	 1.308e+06
13.100 	 1.596e+06 	 2.562e+06
13.300 	 1.554e+06 	 2.562e+06
13.500 	 2.413e+05 	 2.225e+06
13.700 	 -1.071e+06 	 1.826e+06
13.900 	 -2.384e+06 	 1.312e+06
14.100 	 -1.154e+06 	 1.828e+06
14.300 	 -1.195e+06 	 1.828e+06
14.500 	 3.613e+04 	 2.228e+06
14.700 	 -3.819e+06 	 1.316e+06
14.900 	 -3.860e+06 	 1.317e+06
15.100 	 1.186e+06 	 2.566e+06
15.300 	 -3.941e+06 	 1.318e+06
15.500 	 -1.438e+06 	 1.832e+06
15.700 	 -2.069e+05 	 2.231e+06
15.900 	 -2.790e+06 	 1.321e+06
16.100 	 -2.868e+05 	 2.232e+06
16.300 	 -2.870e+06 	 1.323e+06
16.500 	 -1.638e+06 	 1.836e+06
16.700 	 -2.949e+06 	 1.325e+06
16.900 	 -1.717e+06 	 1.837e+06
17.100 	 -3.028e+06 	 1.327e+06
17.300 	 -3.068e+06 	 1.328e+06
17.500 	 -5.641e+05 	 2.236e+06
17.700 	 -6.034e+05 	 2.237e+06
17.900 	 4.444e+06 	 3.387e+06
18.100 	 3.133e+06 	 3.140e+06
18.300 	 -1.992e+06 	 1.842e+06
18.500 	 -2.031e+06 	 1.843e+06
18.700 	 4.287e+06 	 3.389e+06
18.900 	 -3.381e+06 	 1.336e+06
19.100 	 2.938e+06 	 3.142e+06
19.300 	 -3.248e+06 	 1.517e+06
19.500 	 1.098e+07 	 5.876e+06
19.700 	 0.000e+00 	 0.000e+00
