WRF ANALYSIS
Date & time = ,2023-03-09, 09:10
Display format=,3
Program version:,2021-05-25

Scan file = ,N230201-001-999_WRF_090-078_3_13425941_AL_13517271_S1_40X_2.5HR
Port & distance (cm) =,783,51.8
WRF ID; Al blast(um) & cal=,13425941-g111 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-78),(0-63),-1.205,1.201,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,17,15,10.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.500,0.300,12.80

Fit limits (MeV):,10.000,12.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 11.038,0.273,1.890e+08
Value (raw stats):, 11.018,0.249,1.982e+08
Uncertainties
    Random:, 0.187,0.263,192.73%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.174,0.263,27.31%
     DvE:, 0.056,0.007,190.78%
     Dmax:, 0.020,0.000,0.90%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.027,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 1.311e+09 	 3.989e+08
4.650 	 2.023e+09 	 2.189e+08
4.750 	 2.346e+09 	 1.592e+08
4.850 	 2.031e+09 	 1.349e+08
4.950 	 2.148e+09 	 1.384e+08
5.050 	 2.432e+09 	 1.465e+08
5.150 	 2.565e+09 	 1.502e+08
5.250 	 2.441e+09 	 1.470e+08
5.350 	 2.613e+09 	 1.517e+08
5.450 	 3.066e+09 	 1.633e+08
5.550 	 2.782e+09 	 1.563e+08
5.650 	 2.810e+09 	 1.571e+08
5.750 	 2.847e+09 	 1.581e+08
5.850 	 2.435e+09 	 1.474e+08
5.950 	 2.560e+09 	 1.509e+08
6.050 	 2.492e+09 	 1.492e+08
6.150 	 2.137e+09 	 1.394e+08
6.250 	 2.141e+09 	 1.396e+08
6.350 	 2.002e+09 	 1.357e+08
6.450 	 2.054e+09 	 1.373e+08
6.550 	 1.675e+09 	 1.259e+08
6.650 	 1.159e+09 	 1.084e+08
6.750 	 1.060e+09 	 1.048e+08
6.850 	 9.606e+08 	 1.011e+08
6.950 	 7.892e+08 	 9.424e+07
7.050 	 6.977e+08 	 9.044e+07
7.150 	 7.263e+08 	 9.185e+07
7.250 	 5.709e+08 	 8.498e+07
7.350 	 3.515e+08 	 7.413e+07
7.450 	 3.321e+08 	 7.327e+07
7.550 	 2.807e+08 	 7.061e+07
7.650 	 4.453e+08 	 7.956e+07
7.750 	 9.800e+07 	 5.983e+07
7.850 	 2.146e+08 	 6.739e+07
7.950 	 2.433e+08 	 6.927e+07
8.050 	 2.879e+08 	 7.199e+07
8.150 	 1.325e+08 	 6.300e+07
8.250 	 -3.879e+07 	 5.124e+07
8.350 	 6.189e+07 	 5.881e+07
8.450 	 9.856e+07 	 6.148e+07
8.550 	 1.272e+08 	 6.354e+07
8.650 	 9.995e+07 	 6.202e+07
8.750 	 1.527e+08 	 6.554e+07
8.850 	 2.054e+08 	 6.889e+07
8.950 	 4.209e+07 	 5.888e+07
9.050 	 2.286e+07 	 5.779e+07
9.150 	 1.316e+08 	 6.509e+07
9.250 	 -7.166e+07 	 5.137e+07
9.350 	 4.511e+07 	 6.000e+07
9.450 	 -6.152e+06 	 5.672e+07
9.550 	 -3.340e+07 	 5.501e+07
9.650 	 4.338e+07 	 6.056e+07
9.750 	 6.413e+07 	 6.214e+07
9.850 	 3.692e+07 	 6.058e+07
9.950 	 1.217e+08 	 6.615e+07
10.050 	 6.249e+07 	 6.268e+07
10.150 	 -3.673e+07 	 5.624e+07
10.250 	 8.079e+06 	 5.956e+07
10.350 	 -1.111e+07 	 5.849e+07
