WRF ANALYSIS
Date & time = ,2023-03-09, 09:40
Display format=,3
Program version:,2021-05-25

Scan file = ,N230201-001-999_WRF_090-315_2_13425886_AL_13517263_S1_40X_2.5HR
Port & distance (cm) =,3152,46.9
WRF ID; Al blast(um) & cal=,13425886-g056 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-64),(0-63),-1.205,0.599,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,53,64,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,9.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,68.38

Fit limits (MeV):,10.000,12.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 11.124,0.425,1.018e+08
Value (raw stats):, 10.970,0.365,9.948e+07
Uncertainties
    Random:, 0.679,1.187,266.04%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.497,1.185,40.09%
     DvE:, 0.458,0.075,263.00%
     Dmax:, 0.022,0.000,0.99%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.061,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 5.849e+08 	 1.950e+08
4.850 	 6.888e+08 	 1.362e+08
4.950 	 4.318e+08 	 7.092e+07
5.050 	 5.218e+08 	 7.555e+07
5.150 	 5.334e+08 	 6.340e+07
5.250 	 6.067e+08 	 5.615e+07
5.350 	 5.119e+08 	 4.569e+07
5.450 	 5.245e+08 	 4.616e+07
5.550 	 6.126e+08 	 4.228e+07
5.650 	 4.899e+08 	 3.927e+07
5.750 	 5.195e+08 	 4.013e+07
5.850 	 4.586e+08 	 3.863e+07
5.950 	 4.676e+08 	 3.896e+07
6.050 	 4.231e+08 	 3.786e+07
6.150 	 3.972e+08 	 3.724e+07
6.250 	 4.228e+08 	 3.803e+07
6.350 	 3.290e+08 	 3.550e+07
6.450 	 3.155e+08 	 3.520e+07
6.550 	 3.309e+08 	 3.574e+07
6.650 	 3.009e+08 	 3.497e+07
6.750 	 2.154e+08 	 3.246e+07
6.850 	 1.546e+08 	 3.058e+07
6.950 	 2.255e+08 	 3.299e+07
7.050 	 1.545e+08 	 3.080e+07
7.150 	 1.863e+08 	 3.195e+07
7.250 	 1.214e+08 	 2.990e+07
7.350 	 8.331e+07 	 2.868e+07
7.450 	 1.501e+08 	 3.109e+07
7.550 	 1.326e+08 	 3.062e+07
7.650 	 1.357e+08 	 3.083e+07
7.750 	 9.764e+07 	 2.964e+07
7.850 	 5.133e+07 	 2.811e+07
7.950 	 7.090e+07 	 2.893e+07
8.050 	 3.489e+07 	 2.774e+07
8.150 	 6.475e+07 	 2.894e+07
8.250 	 5.553e+07 	 2.872e+07
8.350 	 -7.171e+06 	 2.650e+07
8.450 	 7.418e+07 	 2.960e+07
8.550 	 1.766e+07 	 2.769e+07
8.650 	 4.759e+07 	 2.889e+07
8.750 	 5.284e+07 	 2.919e+07
8.850 	 6.631e+07 	 2.977e+07
8.950 	 2.630e+07 	 2.846e+07
9.050 	 3.573e+07 	 2.891e+07
9.150 	 4.309e+07 	 2.928e+07
9.250 	 1.337e+07 	 2.833e+07
9.350 	 8.405e+06 	 2.826e+07
9.450 	 6.103e+07 	 3.022e+07
9.550 	 4.782e+07 	 2.987e+07
9.650 	 -1.270e+07 	 2.782e+07
9.750 	 -6.089e+07 	 2.610e+07
9.850 	 4.530e+07 	 3.010e+07
9.950 	 -1.315e+07 	 2.814e+07
10.050 	 2.308e+07 	 2.954e+07
10.150 	 1.196e+07 	 2.926e+07
10.250 	 8.115e+07 	 3.170e+07
10.350 	 4.216e+06 	 2.920e+07
10.450 	 1.782e+07 	 2.978e+07
10.550 	 5.410e+07 	 3.111e+07
10.650 	 1.423e+07 	 2.986e+07
10.750 	 8.138e+07 	 3.219e+07
10.850 	 5.182e+07 	 3.133e+07
10.950 	 1.025e+08 	 3.304e+07
11.050 	 9.563e+07 	 3.292e+07
11.150 	 7.639e+07 	 3.241e+07
11.250 	 1.189e+08 	 3.382e+07
11.350 	 9.554e+07 	 3.319e+07
11.450 	 1.253e+07 	 3.061e+07
11.550 	 1.209e+08 	 3.415e+07
11.650 	 5.847e+07 	 3.230e+07
11.750 	 1.870e+07 	 3.111e+07
11.850 	 -1.078e+07 	 3.021e+07
11.950 	 -1.143e+07 	 3.029e+07
12.050 	 4.375e+06 	 3.092e+07
12.150 	 4.901e+07 	 3.246e+07
12.250 	 -1.542e+07 	 3.045e+07
12.350 	 -2.429e+07 	 3.024e+07
12.450 	 -2.079e+07 	 3.046e+07
12.550 	 -1.522e+07 	 3.074e+07
12.650 	 -5.539e+06 	 3.116e+07
12.750 	 -8.199e+06 	 3.116e+07
12.850 	 1.796e+07 	 3.211e+07
12.950 	 3.590e+07 	 3.276e+07
13.050 	 -1.405e+07 	 3.125e+07
13.150 	 2.448e+07 	 3.258e+07
13.250 	 -4.810e+07 	 3.030e+07
13.350 	 -9.562e+06 	 3.167e+07
13.450 	 4.546e+07 	 3.350e+07
13.550 	 2.229e+07 	 3.286e+07
13.650 	 9.407e+06 	 3.255e+07
13.750 	 3.565e+07 	 3.345e+07
13.850 	 8.372e+06 	 3.269e+07
13.950 	 1.815e+07 	 3.308e+07
14.050 	 1.203e+06 	 3.263e+07
14.150 	 6.244e+07 	 3.459e+07
14.250 	 -6.357e+07 	 3.071e+07
14.350 	 2.238e+07 	 3.355e+07
14.450 	 2.191e+07 	 3.362e+07
14.550 	 4.614e+07 	 3.443e+07
14.650 	 -2.223e+07 	 3.241e+07
14.750 	 -5.149e+07 	 3.155e+07
14.850 	 -2.542e+06 	 3.320e+07
14.950 	 -1.944e+07 	 3.275e+07
15.050 	 2.744e+07 	 3.427e+07
15.150 	 1.880e+07 	 3.409e+07
15.250 	 3.977e+06 	 3.373e+07
15.350 	 -2.609e+06 	 3.361e+07
15.450 	 -4.828e+07 	 3.226e+07
15.550 	 1.924e+07 	 3.443e+07
15.650 	 -9.945e+06 	 3.362e+07
15.750 	 2.261e+07 	 3.468e+07
15.850 	 -1.687e+07 	 3.357e+07
15.950 	 1.365e+07 	 3.457e+07
16.050 	 -4.635e+07 	 3.282e+07
16.150 	 -2.200e+07 	 3.365e+07
16.250 	 -5.319e+07 	 3.277e+07
16.350 	 -6.190e+06 	 3.429e+07
16.450 	 1.406e+07 	 3.497e+07
16.550 	 -2.742e+07 	 3.380e+07
16.650 	 4.432e+07 	 3.599e+07
16.750 	 3.173e+07 	 4.158e+07
16.850 	 6.736e+07 	 6.791e+07
16.950 	 0.000e+00 	 0.000e+00
17.050 	 0.000e+00 	 0.000e+00
17.150 	 0.000e+00 	 0.000e+00
17.250 	 0.000e+00 	 0.000e+00
17.350 	 0.000e+00 	 0.000e+00
17.450 	 0.000e+00 	 0.000e+00
17.550 	 0.000e+00 	 0.000e+00
17.650 	 0.000e+00 	 0.000e+00
17.750 	 0.000e+00 	 0.000e+00
17.850 	 0.000e+00 	 0.000e+00
17.950 	 0.000e+00 	 0.000e+00
18.050 	 0.000e+00 	 0.000e+00
18.150 	 0.000e+00 	 0.000e+00
18.250 	 0.000e+00 	 0.000e+00
18.350 	 0.000e+00 	 0.000e+00
18.450 	 0.000e+00 	 0.000e+00
18.550 	 0.000e+00 	 0.000e+00
18.650 	 0.000e+00 	 0.000e+00
18.750 	 0.000e+00 	 0.000e+00
18.850 	 0.000e+00 	 0.000e+00
18.950 	 0.000e+00 	 0.000e+00
19.050 	 0.000e+00 	 0.000e+00
19.150 	 0.000e+00 	 0.000e+00
19.250 	 0.000e+00 	 0.000e+00
