WRF ANALYSIS
Date & time = ,2023-03-09, 09:57
Display format=,3
Program version:,2021-05-25

Scan file = ,N230201-001-999_WRF_090-315_3_13425906_AL_13517264_S1_40X_2.5HR
Port & distance (cm) =,3153,46.9
WRF ID; Al blast(um) & cal=,13425906-g076 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-78),(0-63),-1.205,1.201,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,53,64,0,63,
C; e; Dmax; dDmax; Dscale =,21,15,11.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.400,0.100,122.48

Fit limits (MeV):,10.000,12.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 10.918,0.487,2.389e+08
Value (raw stats):, 10.954,0.450,2.421e+08
Uncertainties
    Random:, 0.670,1.395,53.49%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.667,1.395,41.06%
     DvE:, 0.051,0.028,34.27%
     Dmax:, 0.019,0.000,0.87%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.039,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.850 	 0.000e+00 	 0.000e+00
3.950 	 0.000e+00 	 0.000e+00
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 1.654e+09 	 1.999e+08
4.450 	 1.903e+09 	 1.486e+08
4.550 	 1.809e+09 	 1.263e+08
4.650 	 2.324e+09 	 1.238e+08
4.750 	 2.360e+09 	 1.107e+08
4.850 	 2.385e+09 	 1.113e+08
4.950 	 2.281e+09 	 1.094e+08
5.050 	 2.262e+09 	 1.091e+08
5.150 	 2.345e+09 	 1.109e+08
5.250 	 2.272e+09 	 1.096e+08
5.350 	 2.293e+09 	 1.101e+08
5.450 	 2.087e+09 	 1.060e+08
5.550 	 1.894e+09 	 1.020e+08
5.650 	 1.825e+09 	 1.006e+08
5.750 	 1.766e+09 	 9.944e+07
5.850 	 1.551e+09 	 9.464e+07
5.950 	 1.501e+09 	 9.359e+07
6.050 	 1.272e+09 	 8.815e+07
6.150 	 9.946e+08 	 8.100e+07
6.250 	 1.020e+09 	 8.186e+07
6.350 	 7.871e+08 	 7.544e+07
6.450 	 7.547e+08 	 7.465e+07
6.550 	 7.624e+08 	 7.505e+07
6.650 	 6.097e+08 	 7.057e+07
6.750 	 5.239e+08 	 6.800e+07
6.850 	 4.648e+08 	 6.624e+07
6.950 	 4.190e+08 	 6.488e+07
7.050 	 3.688e+08 	 6.334e+07
7.150 	 4.077e+08 	 6.490e+07
7.250 	 3.664e+08 	 6.367e+07
7.350 	 3.073e+08 	 6.178e+07
7.450 	 2.393e+08 	 5.950e+07
7.550 	 2.471e+08 	 6.001e+07
7.650 	 1.346e+08 	 5.592e+07
7.750 	 1.691e+08 	 5.750e+07
7.850 	 2.258e+08 	 5.987e+07
7.950 	 2.068e+08 	 5.938e+07
8.050 	 5.873e+07 	 5.379e+07
8.150 	 8.431e+07 	 5.507e+07
8.250 	 6.094e+07 	 5.436e+07
8.350 	 1.979e+08 	 5.992e+07
8.450 	 9.017e+05 	 5.234e+07
8.550 	 7.997e+07 	 5.583e+07
8.650 	 1.546e+08 	 5.895e+07
8.750 	 1.714e+08 	 5.979e+07
8.850 	 7.683e+07 	 5.639e+07
8.950 	 1.337e+08 	 5.881e+07
9.050 	 1.416e+08 	 5.932e+07
9.150 	 8.279e+07 	 5.729e+07
9.250 	 2.386e+07 	 5.519e+07
9.350 	 5.408e+07 	 5.662e+07
9.450 	 -4.812e+06 	 5.449e+07
9.550 	 -5.923e+07 	 5.246e+07
9.650 	 4.668e+07 	 5.700e+07
9.750 	 -3.288e+06 	 5.524e+07
9.850 	 -1.758e+07 	 5.490e+07
9.950 	 9.723e+07 	 5.958e+07
10.050 	 1.542e+08 	 6.188e+07
10.150 	 8.642e+07 	 5.960e+07
10.250 	 4.989e+07 	 5.844e+07
10.350 	 8.905e+07 	 6.012e+07
10.450 	 7.475e+07 	 5.980e+07
10.550 	 2.164e+08 	 6.505e+07
10.650 	 1.932e+08 	 6.445e+07
10.750 	 3.198e+07 	 5.883e+07
10.850 	 1.869e+08 	 6.462e+07
10.950 	 1.593e+08 	 6.386e+07
11.050 	 2.564e+08 	 6.735e+07
11.150 	 2.511e+08 	 6.736e+07
11.250 	 2.369e+08 	 6.707e+07
11.350 	 1.336e+08 	 6.375e+07
11.450 	 2.146e+07 	 5.991e+07
11.550 	 2.507e+07 	 6.026e+07
11.650 	 4.202e+07 	 6.108e+07
11.750 	 1.258e+08 	 6.426e+07
11.850 	 -1.752e+07 	 5.930e+07
11.950 	 3.948e+06 	 6.030e+07
12.050 	 1.202e+07 	 6.080e+07
12.150 	 -3.331e+07 	 5.933e+07
12.250 	 -1.631e+07 	 6.017e+07
12.350 	 1.850e+07 	 6.165e+07
12.450 	 -9.000e+06 	 6.085e+07
12.550 	 1.282e+08 	 6.587e+07
12.650 	 -8.627e+07 	 5.838e+07
12.750 	 -6.035e+07 	 5.957e+07
12.850 	 5.648e+06 	 6.219e+07
12.950 	 -8.417e+07 	 5.909e+07
13.050 	 3.976e+07 	 6.379e+07
13.150 	 1.726e+08 	 6.845e+07
13.250 	 3.379e+07 	 6.396e+07
13.350 	 -2.932e+07 	 6.193e+07
13.450 	 -9.686e+07 	 5.966e+07
13.550 	 -2.636e+07 	 6.243e+07
13.650 	 4.054e+06 	 6.370e+07
13.750 	 4.340e+07 	 6.525e+07
13.850 	 7.827e+07 	 6.662e+07
13.950 	 -1.597e+07 	 6.358e+07
14.050 	 -3.317e+06 	 6.422e+07
14.150 	 3.952e+05 	 6.454e+07
14.250 	 -4.039e+07 	 6.331e+07
14.350 	 2.568e+07 	 6.578e+07
14.450 	 -1.066e+07 	 6.473e+07
14.550 	 4.205e+07 	 6.670e+07
14.650 	 -5.216e+07 	 6.367e+07
14.750 	 -7.959e+07 	 6.290e+07
14.850 	 2.657e+07 	 6.674e+07
14.950 	 5.258e+07 	 6.778e+07
15.050 	 -6.838e+07 	 6.388e+07
15.150 	 -2.898e+07 	 6.542e+07
15.250 	 3.711e+07 	 6.782e+07
15.350 	 -1.257e+07 	 6.635e+07
15.450 	 5.800e+07 	 6.886e+07
15.550 	 -2.284e+07 	 6.638e+07
15.650 	 1.145e+08 	 7.101e+07
15.750 	 8.714e+07 	 7.032e+07
15.850 	 6.307e+06 	 6.789e+07
15.950 	 7.689e+07 	 7.034e+07
16.050 	 -2.612e+07 	 6.718e+07
16.150 	 -6.883e+04 	 6.822e+07
16.250 	 -9.421e+07 	 6.526e+07
16.350 	 1.144e+08 	 7.220e+07
16.450 	 -7.772e+07 	 6.619e+07
16.550 	 -4.721e+07 	 6.739e+07
16.650 	 -1.235e+08 	 6.501e+07
16.750 	 -8.412e+06 	 6.902e+07
16.850 	 -4.601e+06 	 6.932e+07
16.950 	 1.105e+08 	 7.309e+07
17.050 	 -1.442e+06 	 6.977e+07
17.150 	 -1.989e+07 	 6.936e+07
17.250 	 -7.172e+06 	 6.994e+07
17.350 	 -7.800e+06 	 7.009e+07
17.450 	 -4.405e+07 	 6.911e+07
17.550 	 1.156e+08 	 7.424e+07
17.650 	 6.152e+07 	 7.277e+07
17.750 	 7.464e+06 	 7.127e+07
17.850 	 -1.990e+07 	 7.058e+07
17.950 	 6.854e+07 	 7.348e+07
18.050 	 -1.815e+08 	 6.566e+07
18.150 	 5.834e+07 	 7.351e+07
18.250 	 -1.115e+08 	 6.835e+07
18.350 	 2.147e+07 	 7.272e+07
18.450 	 -1.923e+07 	 7.163e+07
18.550 	 1.761e+08 	 7.762e+07
18.650 	 -1.184e+08 	 6.884e+07
18.750 	 6.795e+07 	 7.479e+07
18.850 	 1.252e+08 	 7.663e+07
18.950 	 -5.795e+07 	 7.129e+07
19.050 	 -3.629e+07 	 7.213e+07
19.150 	 1.206e+07 	 7.377e+07
19.250 	 2.926e+07 	 7.445e+07
19.350 	 5.323e+06 	 8.603e+07
19.450 	 0.000e+00 	 0.000e+00
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
