WRF ANALYSIS
Date & time = ,2023-03-22, 09:37
Display format=,3
Program version:,2021-05-25

Scan file = ,N230207-001-999_WRF_090-078_2_13425857_AL_13517282_S1_40X_1.5HR
Port & distance (cm) =,782,84.4
WRF ID; Al blast(um) & cal=,13425857-g027 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(25-75),(0-63),-1.076,1.072,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,18,15,7.55,0.20,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.550,0.200,169.17

Fit limits (MeV):,11.500,13.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 11.695,0.349,7.226e+08
Value (raw stats):, 11.780,0.242,4.874e+08
Uncertainties
    Random:, 0.346,0.288,83.21%
    Systematic calib:, 0.059,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.332,0.286,20.15%
     DvE:, 0.077,0.030,80.73%
     Dmax:, 0.022,0.000,0.94%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.058,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.425 	 0.000e+00 	 0.000e+00
5.475 	 0.000e+00 	 0.000e+00
5.525 	 0.000e+00 	 0.000e+00
5.575 	 0.000e+00 	 0.000e+00
5.625 	 0.000e+00 	 0.000e+00
5.675 	 2.824e+09 	 9.458e+08
5.725 	 2.617e+09 	 5.969e+08
5.775 	 4.590e+09 	 5.802e+08
5.825 	 3.832e+09 	 4.695e+08
5.875 	 4.173e+09 	 4.360e+08
5.925 	 4.172e+09 	 4.360e+08
5.975 	 5.448e+09 	 4.963e+08
6.025 	 5.359e+09 	 4.924e+08
6.075 	 5.138e+09 	 4.824e+08
6.125 	 4.873e+09 	 4.702e+08
6.175 	 4.960e+09 	 4.743e+08
6.225 	 5.488e+09 	 4.983e+08
6.275 	 4.650e+09 	 4.598e+08
6.325 	 4.473e+09 	 4.513e+08
6.375 	 5.441e+09 	 4.963e+08
6.425 	 5.088e+09 	 4.804e+08
6.475 	 5.175e+09 	 4.845e+08
6.525 	 5.086e+09 	 4.804e+08
6.575 	 4.821e+09 	 4.682e+08
6.625 	 5.084e+09 	 4.804e+08
6.675 	 4.731e+09 	 4.640e+08
6.725 	 4.510e+09 	 4.534e+08
6.775 	 5.742e+09 	 5.098e+08
6.825 	 5.741e+09 	 5.098e+08
6.875 	 4.419e+09 	 4.492e+08
6.925 	 5.475e+09 	 4.983e+08
6.975 	 5.430e+09 	 4.963e+08
7.025 	 4.593e+09 	 4.577e+08
7.075 	 5.209e+09 	 4.865e+08
7.125 	 5.076e+09 	 4.804e+08
7.175 	 4.678e+09 	 4.619e+08
7.225 	 5.646e+09 	 5.060e+08
7.275 	 4.633e+09 	 4.598e+08
7.325 	 4.676e+09 	 4.619e+08
7.375 	 5.115e+09 	 4.825e+08
7.425 	 6.127e+09 	 5.267e+08
7.475 	 5.730e+09 	 5.098e+08
7.525 	 4.584e+09 	 4.577e+08
7.575 	 5.684e+09 	 5.079e+08
7.625 	 5.111e+09 	 4.825e+08
7.675 	 6.123e+09 	 5.267e+08
7.725 	 6.210e+09 	 5.303e+08
7.775 	 6.121e+09 	 5.267e+08
7.825 	 5.548e+09 	 5.022e+08
7.875 	 5.151e+09 	 4.845e+08
7.925 	 5.678e+09 	 5.079e+08
7.975 	 5.325e+09 	 4.924e+08
8.025 	 4.796e+09 	 4.682e+08
8.075 	 6.336e+09 	 5.358e+08
8.125 	 5.366e+09 	 4.944e+08
8.175 	 5.013e+09 	 4.784e+08
8.225 	 5.233e+09 	 4.885e+08
8.275 	 4.968e+09 	 4.764e+08
8.325 	 3.558e+09 	 4.061e+08
8.375 	 4.658e+09 	 4.620e+08
8.425 	 5.758e+09 	 5.117e+08
8.475 	 3.951e+09 	 4.271e+08
8.525 	 4.567e+09 	 4.577e+08
8.575 	 4.478e+09 	 4.535e+08
8.625 	 3.949e+09 	 4.271e+08
8.675 	 4.344e+09 	 4.470e+08
