WRF ANALYSIS
Date & time = ,2023-03-22, 14:59
Display format=,3
Program version:,2021-05-25

Scan file = ,N230207-003-999_WRF_090-124_1_13425894_AL_13517266_S1_40X_5HR
Port & distance (cm) =,124.1,53.0
WRF ID; Al blast(um) & cal=,13425894-g064 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,17.50,1.20,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,6.57

Fit limits (MeV):,8.000,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 10.812,1.646,4.845e+07
Value (raw stats):, 11.004,1.413,4.638e+07
Uncertainties
    Random:, 0.503,0.782,287.35%
    Systematic calib:, 0.062,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.372,0.776,15.00%
     DvE:, 0.327,0.101,286.95%
     Dmax:, 0.059,0.000,2.62%
     WRF nonlinearity:, 0.017,0.000,0.00%
     Cal. & processing:, 0.061,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 -1.210e+06 	 1.892e+06
5.750 	 -5.800e+05 	 7.404e+05
6.250 	 -8.509e+05 	 5.865e+05
6.750 	 -4.071e+05 	 7.928e+05
7.250 	 5.630e+05 	 1.091e+06
7.750 	 -5.685e+05 	 8.039e+05
8.250 	 1.980e+06 	 1.427e+06
8.750 	 5.581e+06 	 1.995e+06
9.250 	 8.657e+06 	 2.377e+06
9.750 	 1.068e+07 	 2.601e+06
10.250 	 1.061e+07 	 2.603e+06
10.750 	 1.001e+07 	 2.551e+06
11.250 	 1.046e+07 	 2.607e+06
11.750 	 1.196e+07 	 2.764e+06
12.250 	 8.207e+06 	 2.391e+06
12.750 	 6.557e+06 	 2.213e+06
13.250 	 2.805e+06 	 1.725e+06
13.750 	 1.682e+06 	 1.561e+06
14.250 	 2.137e+06 	 1.651e+06
14.750 	 -3.690e+04 	 1.279e+06
15.250 	 1.469e+06 	 1.574e+06
15.750 	 1.399e+06 	 1.578e+06
16.250 	 1.330e+06 	 1.583e+06
16.750 	 1.261e+06 	 1.587e+06
17.250 	 6.664e+05 	 1.503e+06
17.750 	 5.979e+05 	 1.508e+06
18.250 	 1.055e+06 	 1.601e+06
18.750 	 3.616e+06 	 1.990e+06
19.250 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
