WRF ANALYSIS
Date & time = ,2023-05-23, 12:58
Display format=,3
Program version:,2021-05-25

Scan file = ,N230510-001-999_WRF_090-078_4_13425937_AL_13517303_S1_40X_5HR
Port & distance (cm) =,784,51.8
WRF ID; Al blast(um) & cal=,13425937-g107 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,24,29,0,63,
Back x0; x1; y0; y1 (cm) =,69,77,0,63,
C; e; Dmax; dDmax; Dscale =,10,15,17.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,18.13

Fit limits (MeV):,10.000,12.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 10.885,0.256,1.177e+07
Value (raw stats):, 10.309,0.707,4.568e+06
Uncertainties
    Random:, 3.232,9.617,899.43%
    Systematic calib:, 0.065,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 2.902,9.605,723.28%
     DvE:, 1.423,0.479,534.64%
     Dmax:, 0.012,0.000,0.58%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 0.000e+00
5.100 	 0.000e+00 	 0.000e+00
5.300 	 -1.022e+07 	 2.579e+07
5.500 	 -4.859e+06 	 4.196e+06
5.700 	 -1.479e+06 	 2.922e+06
5.900 	 -1.369e+06 	 4.035e+06
6.100 	 6.819e+06 	 5.475e+06
6.300 	 -1.794e+06 	 4.629e+06
6.500 	 -3.762e+06 	 4.503e+06
6.700 	 -2.423e+06 	 4.779e+06
6.900 	 2.098e+02 	 5.161e+06
7.100 	 -2.048e+06 	 5.050e+06
7.300 	 4.765e+06 	 5.852e+06
7.500 	 -2.892e+06 	 5.191e+06
7.700 	 1.642e+06 	 5.764e+06
7.900 	 3.927e+06 	 6.086e+06
8.100 	 -7.150e+06 	 5.104e+06
8.300 	 -1.492e+07 	 4.331e+06
8.500 	 6.072e+05 	 6.115e+06
8.700 	 -6.112e+06 	 5.599e+06
8.900 	 -3.975e+06 	 5.931e+06
9.100 	 -1.863e+06 	 6.246e+06
9.300 	 1.021e+07 	 7.346e+06
9.500 	 -1.077e+06 	 6.557e+06
9.700 	 -1.765e+05 	 6.753e+06
9.900 	 9.579e+06 	 7.622e+06
10.100 	 -1.403e+07 	 5.794e+06
10.300 	 3.437e+06 	 7.397e+06
10.500 	 4.202e+06 	 7.573e+06
10.700 	 1.604e+07 	 8.504e+06
10.900 	 1.785e+07 	 8.729e+06
11.100 	 1.074e+07 	 8.379e+06
11.300 	 9.142e+06 	 8.390e+06
11.500 	 -2.654e+05 	 7.870e+06
11.700 	 -7.488e+06 	 7.481e+06
11.900 	 -1.364e+07 	 7.158e+06
12.100 	 -3.158e+06 	 8.063e+06
12.300 	 -4.938e+06 	 8.077e+06
12.500 	 4.354e+06 	 8.820e+06
12.700 	 -1.417e+07 	 7.714e+06
12.900 	 -1.619e+06 	 8.706e+06
13.100 	 3.113e+06 	 9.135e+06
13.300 	 -2.193e+06 	 8.944e+06
13.500 	 3.569e+06 	 9.428e+06
13.700 	 -4.039e+06 	 9.109e+06
13.900 	 -5.803e+05 	 9.457e+06
14.100 	 3.951e+06 	 9.855e+06
14.300 	 1.733e+07 	 1.071e+07
14.500 	 1.955e+07 	 1.095e+07
14.700 	 2.846e+06 	 1.021e+07
14.900 	 8.318e+06 	 1.064e+07
15.100 	 1.819e+07 	 1.127e+07
15.300 	 1.802e+07 	 1.140e+07
15.500 	 1.447e+07 	 1.136e+07
15.700 	 -6.888e+06 	 1.041e+07
15.900 	 -1.163e+07 	 1.031e+07
16.100 	 1.136e+07 	 1.162e+07
16.300 	 4.306e+06 	 1.142e+07
16.500 	 2.942e+07 	 1.272e+07
16.700 	 -1.105e+07 	 1.096e+07
16.900 	 3.978e+06 	 1.185e+07
17.100 	 1.785e+07 	 1.262e+07
17.300 	 7.232e+06 	 1.230e+07
17.500 	 1.323e+07 	 1.271e+07
17.700 	 1.141e+07 	 1.278e+07
17.900 	 -6.018e+06 	 1.215e+07
18.100 	 7.611e+06 	 1.291e+07
18.300 	 5.642e+06 	 1.298e+07
18.500 	 1.029e+07 	 1.333e+07
18.700 	 5.999e+06 	 1.331e+07
18.900 	 3.884e+06 	 1.337e+07
19.100 	 8.383e+06 	 1.372e+07
19.300 	 -2.419e+07 	 1.725e+07
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
