Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.075000000000000178e+00,1.505000000000000000e+08,1.574000000000000000e+08
5.125000000000000000e+00,1.150000000000000000e+08,1.115000000000000000e+08
5.174999999999999822e+00,-7.346000000000000000e+07,9.031000000000000000e+07
5.224999999999999645e+00,-4.502000000000000000e+07,7.041000000000000000e+07
5.275000000000000355e+00,-4.822000000000000000e+07,7.041000000000000000e+07
5.325000000000000178e+00,3.218000000000000000e+07,6.207000000000000000e+07
5.375000000000000000e+00,-5.285000000000000000e+07,5.485000000000000000e+07
5.424999999999999822e+00,-4.184000000000000000e+06,5.947000000000000000e+07
5.474999999999999645e+00,-8.001000000000000000e+06,4.734000000000000000e+07
5.525000000000000355e+00,-3.276000000000000000e+07,4.556000000000000000e+07
5.575000000000000178e+00,9.850000000000000000e+07,5.541000000000000000e+07
5.625000000000000000e+00,2.911000000000000000e+07,5.073000000000000000e+07
5.674999999999999822e+00,-5.672000000000000000e+07,3.541000000000000000e+07
5.724999999999999645e+00,-4.784000000000000000e+07,3.627000000000000000e+07
5.775000000000000355e+00,3.314000000000000000e+07,4.216000000000000000e+07
5.825000000000000178e+00,-7.917000000000000000e+06,3.953000000000000000e+07
5.875000000000000000e+00,-1.570000000000000000e+07,3.914000000000000000e+07
5.924999999999999822e+00,6.628000000000000000e+07,3.710000000000000000e+07
5.974999999999999645e+00,8.444000000000000000e+05,3.329000000000000000e+07
6.025000000000000355e+00,1.999000000000000000e+07,3.461000000000000000e+07
6.075000000000000178e+00,-4.969000000000000000e+07,3.019000000000000000e+07
6.125000000000000000e+00,5.406000000000000000e+07,3.687000000000000000e+07
6.174999999999999822e+00,-3.251000000000000000e+07,3.165000000000000000e+07
6.224999999999999645e+00,1.624000000000000000e+07,3.488000000000000000e+07
6.275000000000000355e+00,-2.382000000000000000e+07,3.249000000000000000e+07
6.325000000000000178e+00,9.686000000000000000e+07,3.968000000000000000e+07
6.375000000000000000e+00,1.867000000000000000e+07,3.540000000000000000e+07
6.424999999999999822e+00,-3.830000000000000000e+07,3.195000000000000000e+07
6.474999999999999645e+00,-5.721000000000000000e+07,3.081000000000000000e+07
6.525000000000000355e+00,-8.462000000000000000e+06,3.412000000000000000e+07
6.575000000000000178e+00,2.340000000000000000e+07,3.616000000000000000e+07
6.625000000000000000e+00,-3.367000000000000000e+07,3.279000000000000000e+07
6.674999999999999822e+00,-2.720000000000000000e+07,3.334000000000000000e+07
6.724999999999999645e+00,5.958000000000000000e+07,3.856000000000000000e+07
6.775000000000000355e+00,3.636000000000000000e+07,3.739000000000000000e+07
6.825000000000000178e+00,-3.748000000000000000e+06,3.518000000000000000e+07
6.875000000000000000e+00,-6.078000000000000000e+07,3.170000000000000000e+07
6.924999999999999822e+00,8.945000000000000000e+07,4.061000000000000000e+07
6.974999999999999645e+00,1.968000000000000000e+07,3.692000000000000000e+07
7.025000000000000355e+00,3.875000000000000000e+07,3.812000000000000000e+07
7.075000000000000178e+00,-5.635000000000000000e+07,3.255000000000000000e+07
7.125000000000000000e+00,9.197000000000000000e+06,3.669000000000000000e+07
7.174999999999999822e+00,-1.324000000000000000e+06,3.620000000000000000e+07
7.224999999999999645e+00,-2.458000000000000000e+07,3.495000000000000000e+07
7.275000000000000355e+00,-1.397000000000000000e+07,3.571000000000000000e+07
7.325000000000000178e+00,-5.419000000000000000e+07,3.339000000000000000e+07
7.375000000000000000e+00,-9.721000000000000000e+06,3.622000000000000000e+07
7.424999999999999822e+00,1.771000000000000000e+07,3.791000000000000000e+07
7.474999999999999645e+00,5.794000000000000000e+07,4.020000000000000000e+07
7.525000000000000355e+00,-2.884000000000000000e+07,3.548000000000000000e+07
7.575000000000000178e+00,-1.323000000000000000e+06,3.721000000000000000e+07
7.625000000000000000e+00,5.149000000000000000e+07,4.021000000000000000e+07
7.674999999999999822e+00,1.971000000000000000e+07,3.863000000000000000e+07
7.724999999999999645e+00,-3.738000000000000000e+07,3.550000000000000000e+07
7.775000000000000355e+00,1.964000000000000000e+07,3.887000000000000000e+07
7.825000000000000178e+00,-3.328000000000000000e+07,3.600000000000000000e+07
7.875000000000000000e+00,-1.853000000000000000e+07,3.699000000000000000e+07
7.924999999999999822e+00,2.582000000000000000e+07,3.956000000000000000e+07
7.974999999999999645e+00,-1.021000000000000000e+07,3.771000000000000000e+07
8.025000000000000355e+00,-2.090000000000000000e+07,3.724000000000000000e+07
8.074999999999999289e+00,-5.690000000000000000e+07,3.527000000000000000e+07
8.125000000000000000e+00,8.525000000000000000e+06,3.912000000000000000e+07
8.175000000000000711e+00,-3.595000000000000000e+07,3.677000000000000000e+07
