WRF ANALYSIS
Date & time = ,2023-07-26, 11:35
Display format=,3
Program version:,2021-05-25

Scan file = ,N230710-001-999_WRF_000-000_3_13425916_AL_13517291_S1_40X_1.5HR
Port & distance (cm) =,003,53.0
WRF ID; Al blast(um) & cal=,13425916-g086 *-1,0,cal16.1014

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,24,31,0,63,
Back x0; x1; y0; y1 (cm) =,69,77,0,63,
C; e; Dmax; dDmax; Dscale =,18,15,8.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,14.00,no

DvE fit: c; dc; red. Chi^2 =, 0.992,0.031,1.97

Fit limits (MeV):,11.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.991,1.447,6.571e+09
Uncertainties
    Random:, 0.051,0.044,9.84%
    Systematic calib:, 0.093,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.014,0.043,6.53%
     DvE:, 0.026,0.008,7.31%
     Dmax:, 0.024,0.000,0.86%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.031,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.975 	 0.000e+00 	 0.000e+00
5.025 	 0.000e+00 	 0.000e+00
5.075 	 0.000e+00 	 0.000e+00
5.125 	 0.000e+00 	 0.000e+00
5.175 	 0.000e+00 	 0.000e+00
5.225 	 -6.418e+07 	 1.114e+08
5.275 	 1.308e+08 	 1.489e+08
5.325 	 8.769e+06 	 8.134e+07
5.375 	 9.610e+07 	 9.289e+07
5.425 	 1.068e+08 	 7.096e+07
5.475 	 3.664e+07 	 6.413e+07
5.525 	 3.449e+07 	 6.413e+07
5.575 	 -5.127e+07 	 4.390e+07
5.625 	 -1.276e+08 	 3.519e+07
5.675 	 -3.679e+07 	 4.583e+07
5.725 	 -4.103e+07 	 3.734e+07
5.775 	 4.498e+07 	 4.460e+07
5.825 	 4.983e+07 	 4.511e+07
5.875 	 -1.973e+07 	 3.972e+07
5.925 	 -6.691e+07 	 2.971e+07
5.975 	 -7.237e+06 	 3.461e+07
6.025 	 -3.979e+07 	 3.226e+07
6.075 	 1.475e+07 	 3.646e+07
6.125 	 -4.853e+07 	 3.186e+07
6.175 	 -4.814e+07 	 2.724e+07
6.225 	 -2.594e+07 	 2.894e+07
6.275 	 -5.949e+07 	 2.666e+07
6.325 	 -9.410e+06 	 3.028e+07
6.375 	 -2.309e+07 	 2.949e+07
6.425 	 4.321e+06 	 2.687e+07
6.475 	 -1.609e+07 	 2.575e+07
