WRF ANALYSIS
Date & time = ,2023-07-26, 11:55
Display format=,3
Program version:,2021-05-25

Scan file = ,N230710-001-999_WRF_090-078_4_13425894_AL_13517290_S1_40X_1.5HR
Port & distance (cm) =,784,53.0
WRF ID; Al blast(um) & cal=,13425894-g064 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-61),-1.119,1.158,-0.981,0.937
Back x0; x1; y0; y1 (cm) =,24,31,0,63,
Back x0; x1; y0; y1 (cm) =,69,77,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,8.00,0.50,new
Dlow; Dhigh; Dauto; Elims =,9.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.351,0.030,0.75

Fit limits (MeV):,10.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 14.071,1.560,5.280e+10
Uncertainties
    Random:, 0.073,0.026,11.48%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.005,0.026,1.81%
     DvE:, 0.012,0.006,11.21%
     Dmax:, 0.048,0.000,1.70%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.051,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 0.000e+00 	 0.000e+00
5.025 	 0.000e+00 	 0.000e+00
5.075 	 -8.958e+07 	 2.406e+08
5.125 	 3.295e+08 	 2.294e+08
5.175 	 2.131e+08 	 1.789e+08
5.225 	 1.024e+08 	 1.425e+08
5.275 	 -1.849e+08 	 9.930e+07
5.325 	 1.129e+08 	 1.225e+08
5.375 	 -8.285e+07 	 9.152e+07
5.425 	 3.252e+06 	 9.789e+07
5.475 	 -3.640e+07 	 8.261e+07
5.525 	 -7.320e+07 	 8.062e+07
5.575 	 4.634e+07 	 8.835e+07
5.625 	 9.406e+06 	 8.649e+07
5.675 	 4.562e+07 	 8.897e+07
5.725 	 -1.210e+07 	 8.587e+07
5.775 	 -6.983e+07 	 8.266e+07
5.825 	 -3.378e+07 	 8.526e+07
5.875 	 -1.749e+08 	 7.653e+07
5.925 	 -7.628e+07 	 8.334e+07
5.975 	 -1.943e+07 	 8.717e+07
6.025 	 5.825e+07 	 9.203e+07
6.075 	 -1.038e+08 	 8.271e+07
6.125 	 1.719e+08 	 9.887e+07
6.175 	 -1.777e+08 	 7.869e+07
6.225 	 2.508e+07 	 9.147e+07
6.275 	 -8.486e+07 	 8.533e+07
6.325 	 -1.322e+08 	 8.275e+07
6.375 	 -3.379e+07 	 8.908e+07
6.425 	 -1.124e+08 	 8.472e+07
6.475 	 -1.807e+08 	 8.078e+07
6.525 	 -4.043e+07 	 8.971e+07
6.575 	 -1.711e+08 	 8.214e+07
6.625 	 -7.284e+07 	 8.851e+07
6.675 	 -7.851e+07 	 8.852e+07
6.725 	 -3.218e+07 	 9.155e+07
6.775 	 -1.006e+08 	 8.792e+07
6.825 	 -3.348e+07 	 9.215e+07
6.875 	 5.448e+07 	 9.732e+07
6.925 	 -6.594e+07 	 9.098e+07
6.975 	 3.231e+07 	 9.678e+07
7.025 	 -1.821e+08 	 8.482e+07
7.075 	 -2.112e+07 	 9.452e+07
7.125 	 -1.522e+08 	 8.736e+07
7.175 	 1.025e+08 	 1.017e+08
7.225 	 -3.902e+07 	 9.455e+07
7.275 	 7.189e+06 	 9.739e+07
7.325 	 2.616e+08 	 1.105e+08
7.375 	 1.606e+07 	 9.851e+07
7.425 	 -5.266e+07 	 9.515e+07
7.475 	 1.186e+08 	 1.044e+08
7.525 	 -4.392e+07 	 9.631e+07
7.575 	 4.396e+07 	 1.013e+08
7.625 	 -9.771e+07 	 9.404e+07
7.675 	 -7.262e+07 	 9.577e+07
7.725 	 2.132e+08 	 1.105e+08
7.775 	 1.549e+08 	 1.080e+08
7.825 	 3.410e+07 	 1.024e+08
7.875 	 -6.588e+07 	 9.749e+07
7.925 	 1.364e+08 	 1.081e+08
7.975 	 -5.308e+06 	 1.013e+08
8.025 	 1.864e+08 	 1.111e+08
8.075 	 1.698e+08 	 1.106e+08
8.125 	 -3.327e+06 	 1.024e+08
8.175 	 1.156e+08 	 1.086e+08
8.225 	 3.281e+08 	 1.187e+08
8.275 	 1.446e+08 	 1.106e+08
8.325 	 4.452e+07 	 1.061e+08
8.375 	 2.257e+08 	 1.150e+08
8.425 	 8.394e+07 	 1.087e+08
8.475 	 2.651e+08 	 1.173e+08
8.525 	 2.796e+08 	 1.182e+08
8.575 	 3.044e+08 	 1.196e+08
