WRF ANALYSIS
Date & time = ,2023-12-01, 14:39
Display format=,3
Program version:,2021-05-25

Scan file = ,N231025-001-999_WRF_090-078_1_13425937_AL_13517321_S1_40X_5HR
Port & distance (cm) =,781,51.8
WRF ID; Al blast(um) & cal=,13425937-g107 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,25.00,1.00,new
Dlow; Dhigh; Dauto; Elims =,7.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,69.36

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.750,1.250,5.133e+18
Value (raw stats):, -159.631,173.362,1.074e+04
Uncertainties
    Random:, 70965.695,16044550.000,22872.37%
    Systematic calib:, 0.000,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 70965.320,16044550.000,21709.01%
     DvE:, 167.488,173.362,7201.62%
     Dmax:, 0.212,0.000,26.18%
     WRF nonlinearity:, -159.631,0.000,0.00%
     Cal. & processing:, 0.000,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.025 	 0.000e+00 	 0.000e+00
5.075 	 0.000e+00 	 0.000e+00
5.125 	 0.000e+00 	 0.000e+00
5.175 	 0.000e+00 	 0.000e+00
5.225 	 0.000e+00 	 0.000e+00
5.275 	 -6.706e+06 	 9.021e+07
5.325 	 3.276e+07 	 3.818e+07
5.375 	 -5.435e+06 	 3.818e+07
5.425 	 -3.784e+06 	 2.138e+07
5.475 	 -3.810e+06 	 2.138e+07
5.525 	 -2.877e+06 	 1.347e+07
5.575 	 -2.896e+06 	 1.347e+07
5.625 	 -2.916e+06 	 1.347e+07
5.675 	 -3.014e+06 	 9.103e+06
5.725 	 -3.034e+06 	 9.103e+06
5.775 	 6.036e+06 	 9.103e+06
5.825 	 3.690e+06 	 6.453e+06
5.875 	 -2.769e+06 	 6.453e+06
5.925 	 -2.787e+06 	 6.453e+06
5.975 	 1.008e+07 	 9.118e+06
6.025 	 -2.822e+06 	 6.454e+06
6.075 	 -2.687e+06 	 4.729e+06
6.125 	 -2.703e+06 	 4.729e+06
6.175 	 -2.720e+06 	 4.730e+06
6.225 	 1.981e+06 	 4.730e+06
6.275 	 6.681e+06 	 6.680e+06
6.325 	 1.948e+06 	 4.730e+06
6.375 	 -2.217e+06 	 3.335e+06
6.425 	 4.419e+06 	 4.709e+06
6.475 	 1.082e+06 	 3.335e+06
