WRF ANALYSIS
Date & time = ,2024-03-07, 07:09
Display format=,3
Program version:,2021-05-25

Scan file = ,N231227-001-999_WRF_000-000_1_13425881_AL_13517468_S1_40X_5HR
Port & distance (cm) =,001,53.0
WRF ID; Al blast(um) & cal=,13425881-g051 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,8,15,23.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.00,17.50,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,9.22

Fit limits (MeV):,9.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 12.468,1.207,8.766e+06
Uncertainties
    Random:, 1.808,0.872,412.94%
    Systematic calib:, 0.057,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 1.026,0.861,85.89%
     DvE:, 1.488,0.138,403.91%
     Dmax:, 0.009,0.000,0.35%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.035,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 -4.936e+05 	 1.308e+06
5.750 	 -9.244e+05 	 6.251e+05
6.250 	 -2.921e+05 	 7.120e+05
6.750 	 4.735e+05 	 7.079e+05
7.250 	 6.576e+05 	 7.562e+05
7.750 	 -9.655e+05 	 4.191e+05
8.250 	 -7.800e+05 	 4.966e+05
8.750 	 -5.934e+05 	 5.636e+05
9.250 	 -4.058e+05 	 6.236e+05
9.750 	 5.570e+05 	 8.127e+05
10.250 	 1.262e+06 	 9.303e+05
10.750 	 6.767e+05 	 8.584e+05
11.250 	 1.900e+06 	 1.037e+06
11.750 	 1.057e+06 	 9.384e+05
12.250 	 2.540e+06 	 1.134e+06
12.750 	 4.022e+06 	 1.301e+06
13.250 	 1.115e+06 	 9.818e+05
13.750 	 2.857e+06 	 1.199e+06
14.250 	 1.242e+06 	 1.021e+06
14.750 	 2.469e+06 	 1.175e+06
15.250 	 -9.534e+05 	 7.216e+05
15.750 	 1.560e+04 	 8.910e+05
16.250 	 -8.227e+05 	 7.746e+05
16.750 	 -1.112e+05 	 8.981e+05
17.250 	 8.418e+04 	 9.380e+05
17.750 	 1.313e+06 	 1.105e+06
18.250 	 -2.991e+05 	 9.093e+05
18.750 	 9.302e+05 	 1.080e+06
19.250 	 -5.272e+05 	 1.240e+06
19.750 	 0.000e+00 	 0.000e+00
