WRF ANALYSIS
Date & time = ,2024-03-01, 08:46
Display format=,3
Program version:,2021-05-25

Scan file = ,N231227-001-999_WRF_090-078_1_13425858_AL_13517467_S1_40X_5HR
Port & distance (cm) =,781,53.0
WRF ID; Al blast(um) & cal=,13425858-g028 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(26-77),(0-63),-1.033,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,8,15,26.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.50,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,3.87

Fit limits (MeV):,9.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.304,1.439,4.274e+07
Uncertainties
    Random:, 0.850,1.188,361.74%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.240,1.186,42.12%
     DvE:, 0.814,0.070,359.28%
     Dmax:, 0.008,0.000,0.28%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.053,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 0.000e+00 	 0.000e+00
5.750 	 0.000e+00 	 0.000e+00
6.250 	 -2.143e+06 	 2.394e+06
6.750 	 7.736e+05 	 1.298e+06
7.250 	 -6.709e+05 	 6.398e+05
7.750 	 -1.064e+06 	 5.723e+05
8.250 	 -8.636e+05 	 6.495e+05
8.750 	 -9.582e+05 	 6.546e+05
9.250 	 -1.617e+05 	 8.362e+05
9.750 	 6.354e+05 	 9.849e+05
10.250 	 2.916e+06 	 1.297e+06
10.750 	 3.715e+06 	 1.397e+06
11.250 	 7.184e+06 	 1.737e+06
11.750 	 3.239e+06 	 1.371e+06
12.250 	 6.413e+06 	 1.690e+06
12.750 	 8.697e+06 	 1.889e+06
13.250 	 6.831e+06 	 1.746e+06
13.750 	 1.208e+07 	 2.154e+06
14.250 	 1.200e+07 	 2.156e+06
14.750 	 1.547e+07 	 2.390e+06
15.250 	 5.894e+06 	 1.705e+06
15.750 	 1.064e+06 	 1.229e+06
16.250 	 -5.027e+05 	 1.039e+06
16.750 	 -1.179e+06 	 9.560e+05
17.250 	 -6.691e+05 	 1.049e+06
17.750 	 4.347e+05 	 1.209e+06
18.250 	 -5.373e+05 	 1.099e+06
18.750 	 -1.212e+06 	 1.021e+06
19.250 	 -1.757e+06 	 1.328e+06
19.750 	 0.000e+00 	 0.000e+00
