WRF ANALYSIS
Date & time = ,2024-03-01, 08:55
Display format=,3
Program version:,2021-05-25

Scan file = ,N231227-001-999_WRF_090-078_4_13425867_AL_13517464_S1_40X_5HR
Port & distance (cm) =,784,53.0
WRF ID; Al blast(um) & cal=,13425867-g037 *,0,cal16.0717

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,8,15,23.20,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.50,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,6.16

Fit limits (MeV):,9.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 13.811,-416857.719,1.612e+06
Uncertainties
    Random:, 1.110,767714.000,459.54%
    Systematic calib:, 0.052,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 1.101,644680.375,288.51%
     DvE:, 0.139,416859.719,357.69%
     Dmax:, 0.008,0.000,0.30%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.032,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 -2.509e+05 	 1.363e+06
5.750 	 -6.622e+05 	 6.814e+05
6.250 	 4.391e+05 	 7.581e+05
6.750 	 -2.400e+05 	 6.326e+05
7.250 	 -3.199e+05 	 6.364e+05
7.750 	 -6.982e+05 	 5.662e+05
8.250 	 4.203e+05 	 8.270e+05
8.750 	 -1.452e+06 	 3.900e+05
9.250 	 -3.225e+04 	 7.780e+05
9.750 	 1.913e+05 	 8.370e+05
10.250 	 -1.828e+05 	 7.855e+05
10.750 	 1.239e+06 	 1.035e+06
11.250 	 -9.291e+05 	 6.711e+05
11.750 	 1.947e+05 	 9.027e+05
12.250 	 7.207e+05 	 1.000e+06
12.750 	 -5.480e+05 	 8.057e+05
13.250 	 2.784e+05 	 9.616e+05
13.750 	 5.067e+05 	 1.011e+06
14.250 	 1.633e+06 	 1.178e+06
14.750 	 -2.320e+05 	 9.257e+05
15.250 	 -1.199e+06 	 7.719e+05
15.750 	 2.279e+05 	 1.025e+06
16.250 	 1.356e+06 	 1.190e+06
16.750 	 6.898e+05 	 1.116e+06
17.250 	 -2.756e+05 	 9.928e+05
17.750 	 2.554e+05 	 1.083e+06
18.250 	 -7.094e+05 	 9.554e+05
18.750 	 1.318e+06 	 1.244e+06
19.250 	 -1.752e+06 	 7.352e+05
19.750 	 0.000e+00 	 0.000e+00
