WRF ANALYSIS
Date & time = ,2024-04-04, 16:22
Display format=,3
Program version:,2021-05-25

Scan file = ,N231227-001-999_WRF_000-000_1_13425881_AL_13517468_S1_40X_5HR
Port & distance (cm) =,001,53.0
WRF ID; Al blast(um) & cal=,13425881-g051 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,8,15,23.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.00,17.50,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,3.27

Fit limits (MeV):,11.200,13.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, -,-,-
Value (raw stats):, 12.618,0.812,6.836e+06
Uncertainties
    Random:, 0.377,0.662,338.06%
    Systematic calib:, 0.056,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.300,0.625,52.22%
     DvE:, 0.226,0.219,334.00%
     Dmax:, 0.009,0.000,0.34%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.034,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 -4.287e+05 	 1.311e+06
5.750 	 -8.974e+05 	 6.293e+05
6.250 	 -2.656e+05 	 7.146e+05
6.750 	 4.922e+05 	 7.098e+05
7.250 	 6.773e+05 	 7.581e+05
7.750 	 -9.448e+05 	 4.229e+05
8.250 	 -7.582e+05 	 5.001e+05
8.750 	 -5.707e+05 	 5.671e+05
9.250 	 -3.821e+05 	 6.270e+05
9.750 	 5.818e+05 	 8.155e+05
10.250 	 1.288e+06 	 9.329e+05
10.750 	 7.034e+05 	 8.615e+05
11.250 	 1.927e+06 	 1.040e+06
11.750 	 1.086e+06 	 9.417e+05
12.250 	 2.569e+06 	 1.137e+06
12.750 	 4.053e+06 	 1.303e+06
13.250 	 1.147e+06 	 9.855e+05
13.750 	 2.890e+06 	 1.202e+06
14.250 	 1.276e+06 	 1.025e+06
14.750 	 2.503e+06 	 1.179e+06
15.250 	 -9.184e+05 	 7.279e+05
15.750 	 5.150e+04 	 8.963e+05
16.250 	 -7.859e+05 	 7.811e+05
16.750 	 -7.351e+04 	 9.040e+05
17.250 	 1.227e+05 	 9.439e+05
17.750 	 1.352e+06 	 1.110e+06
18.250 	 -2.588e+05 	 9.159e+05
18.750 	 9.714e+05 	 1.086e+06
19.250 	 -5.272e+05 	 1.253e+06
19.750 	 0.000e+00 	 0.000e+00
