WRF ANALYSIS
Date & time = ,2024-03-19, 11:58
Display format=,3
Program version:,2021-05-25

Scan file = ,N231227-001-999_WRF_090-078_1_13425858_AL_13517467_S1_40X_5HR
Port & distance (cm) =,781,53.0
WRF ID; Al blast(um) & cal=,13425858-g028 ~,0,cal12.0417

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(26-77),(0-63),-1.033,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,35,15,26.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.50,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,120.18

Fit limits (MeV):,9.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, -,-,-
Value (raw stats):, 13.078,1.106,5.993e+07
Uncertainties
    Random:, 0.940,1.955,364.48%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.665,1.951,40.58%
     DvE:, 0.662,0.126,362.22%
     Dmax:, 0.008,0.000,0.29%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.054,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.650 	 0.000e+00 	 0.000e+00
5.750 	 0.000e+00 	 0.000e+00
5.850 	 0.000e+00 	 0.000e+00
5.950 	 0.000e+00 	 0.000e+00
6.050 	 0.000e+00 	 0.000e+00
6.150 	 -1.089e+07 	 2.119e+07
6.250 	 4.195e+06 	 1.155e+07
6.350 	 -6.212e+06 	 7.055e+06
6.450 	 -5.767e+06 	 4.627e+06
6.550 	 3.311e+06 	 6.505e+06
6.650 	 7.281e+06 	 6.307e+06
6.750 	 -2.200e+06 	 3.193e+06
6.850 	 -5.029e+06 	 2.276e+06
6.950 	 3.819e+06 	 4.477e+06
7.050 	 -5.140e+06 	 2.278e+06
7.150 	 -5.195e+06 	 2.279e+06
7.250 	 -3.315e+06 	 1.532e+06
7.350 	 -3.995e+05 	 2.598e+06
7.450 	 -1.933e+06 	 2.134e+06
7.550 	 9.832e+05 	 2.992e+06
7.650 	 -3.516e+06 	 1.536e+06
7.750 	 8.836e+05 	 2.993e+06
7.850 	 -3.615e+06 	 1.538e+06
7.950 	 -2.182e+06 	 2.138e+06
8.050 	 -3.714e+06 	 1.541e+06
8.150 	 3.651e+06 	 3.657e+06
8.250 	 -3.813e+06 	 1.543e+06
8.350 	 -3.862e+06 	 1.544e+06
8.450 	 2.021e+06 	 3.344e+06
8.550 	 -3.960e+06 	 1.546e+06
8.650 	 -1.043e+06 	 2.606e+06
8.750 	 -4.057e+06 	 1.548e+06
8.850 	 4.792e+06 	 3.949e+06
8.950 	 -4.154e+06 	 1.550e+06
9.050 	 2.468e+05 	 3.001e+06
9.150 	 3.165e+06 	 3.661e+06
9.250 	 -1.332e+06 	 2.610e+06
9.350 	 1.028e+05 	 3.003e+06
9.450 	 -4.394e+06 	 1.556e+06
9.550 	 2.973e+06 	 3.663e+06
9.650 	 -4.490e+06 	 1.559e+06
9.750 	 7.326e+06 	 4.475e+06
9.850 	 5.796e+06 	 4.222e+06
9.950 	 4.265e+06 	 3.954e+06
10.050 	 4.218e+06 	 3.954e+06
10.150 	 5.653e+06 	 4.224e+06
10.250 	 4.123e+06 	 3.955e+06
10.350 	 5.559e+06 	 4.225e+06
10.450 	 1.144e+07 	 5.162e+06
10.550 	 5.465e+06 	 4.226e+06
10.650 	 8.383e+06 	 4.718e+06
10.750 	 1.279e+07 	 5.372e+06
10.850 	 5.324e+06 	 4.227e+06
10.950 	 6.760e+06 	 4.480e+06
11.050 	 2.006e+07 	 6.314e+06
11.150 	 -2.230e+06 	 2.624e+06
11.250 	 1.552e+07 	 5.769e+06
11.350 	 6.575e+06 	 4.482e+06
11.450 	 9.494e+06 	 4.949e+06
11.550 	 7.965e+06 	 4.722e+06
11.650 	 -9.785e+05 	 3.017e+06
11.750 	 1.084e+07 	 5.167e+06
11.850 	 -4.036e+06 	 2.171e+06
11.950 	 4.816e+06 	 4.232e+06
12.050 	 1.070e+07 	 5.168e+06
12.150 	 9.173e+06 	 4.952e+06
12.250 	 6.161e+06 	 4.486e+06
12.350 	 7.598e+06 	 4.725e+06
12.450 	 7.553e+06 	 4.726e+06
12.550 	 1.196e+07 	 5.379e+06
12.650 	 5.979e+06 	 4.488e+06
12.750 	 1.187e+07 	 5.380e+06
12.850 	 1.479e+07 	 5.774e+06
12.950 	 1.919e+07 	 6.320e+06
13.050 	 5.798e+06 	 4.490e+06
13.150 	 1.613e+07 	 5.963e+06
13.250 	 5.708e+06 	 4.491e+06
13.350 	 1.456e+07 	 5.776e+06
13.450 	 1.007e+07 	 5.174e+06
13.550 	 3.375e+07 	 7.872e+06
13.650 	 1.443e+07 	 5.777e+06
13.750 	 5.484e+06 	 4.493e+06
13.850 	 1.285e+07 	 5.585e+06
13.950 	 1.429e+07 	 5.779e+06
14.050 	 9.799e+06 	 5.177e+06
14.150 	 1.569e+07 	 5.967e+06
14.250 	 1.564e+07 	 5.967e+06
14.350 	 1.411e+07 	 5.780e+06
14.450 	 2.445e+07 	 6.986e+06
14.550 	 2.144e+07 	 6.664e+06
14.650 	 1.695e+07 	 6.150e+06
14.750 	 1.542e+07 	 5.969e+06
14.850 	 2.279e+07 	 6.829e+06
14.950 	 1.682e+07 	 6.151e+06
15.050 	 7.874e+06 	 4.965e+06
15.150 	 9.313e+06 	 5.182e+06
15.250 	 3.717e+05 	 3.696e+06
15.350 	 7.742e+06 	 4.966e+06
15.450 	 1.066e+07 	 5.391e+06
15.550 	 6.172e+06 	 4.741e+06
15.650 	 -1.286e+06 	 3.389e+06
15.750 	 -5.778e+06 	 2.212e+06
15.850 	 6.041e+06 	 4.742e+06
15.950 	 -5.865e+06 	 2.214e+06
16.050 	 1.507e+06 	 3.988e+06
16.150 	 -4.468e+06 	 2.666e+06
16.250 	 -6.275e+04 	 3.703e+06
16.350 	 4.343e+06 	 4.507e+06
16.450 	 -1.492e+05 	 3.704e+06
16.550 	 -7.607e+06 	 1.653e+06
16.650 	 -3.201e+06 	 3.055e+06
16.750 	 1.205e+06 	 3.992e+06
16.850 	 -6.253e+06 	 2.224e+06
16.950 	 -6.296e+06 	 2.225e+06
17.050 	 -4.070e+05 	 3.708e+06
17.150 	 -4.899e+06 	 2.676e+06
17.250 	 -1.976e+06 	 3.401e+06
17.350 	 -3.501e+06 	 3.061e+06
17.450 	 -5.780e+05 	 3.711e+06
17.550 	 2.345e+06 	 4.263e+06
17.650 	 8.195e+05 	 3.998e+06
17.750 	 -7.059e+05 	 3.713e+06
17.850 	 6.666e+06 	 4.979e+06
17.950 	 -5.240e+06 	 2.684e+06
18.050 	 6.493e+05 	 4.000e+06
18.150 	 -2.359e+06 	 3.408e+06
18.250 	 2.047e+06 	 4.268e+06
18.350 	 -2.444e+06 	 3.409e+06
18.450 	 -1.003e+06 	 3.718e+06
18.550 	 -4.011e+06 	 3.071e+06
18.650 	 -2.571e+06 	 3.411e+06
18.750 	 -5.578e+06 	 2.692e+06
18.850 	 3.112e+05 	 4.006e+06
18.950 	 -4.180e+06 	 3.075e+06
19.050 	 3.193e+06 	 4.523e+06
19.150 	 -2.781e+06 	 3.415e+06
19.250 	 -5.832e+06 	 2.394e+06
19.350 	 4.433e+06 	 5.455e+06
19.450 	 -3.086e+06 	 4.109e+06
19.550 	 4.730e+05 	 6.416e+06
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
