WRF ANALYSIS
Date & time = ,2024-02-01, 12:51
Display format=,3
Program version:,2021-05-25

Scan file = ,N240104-001-999_WRF_090-078_2_13425878_AI_13517316_S1_40X_1.5HR
Port & distance (cm) =,782,41.9
WRF ID; Al blast(um) & cal=,13425878-g048 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,6.20,0.25,new
Dlow; Dhigh; Dauto; Elims =,10.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.481,0.091,1.91

Fit limits (MeV):,5.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 8.798,1.739,2.899e+09
Uncertainties
    Random:, 0.096,0.046,36.77%
    Systematic calib:, 0.074,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.037,0.046,4.80%
     DvE:, 0.032,0.003,36.41%
     Dmax:, 0.037,0.000,1.86%
     WRF nonlinearity:, 0.020,0.000,0.00%
     Cal. & processing:, 0.071,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 0.000e+00 	 0.000e+00
5.050 	 -6.862e+06 	 3.952e+07
5.150 	 6.995e+07 	 3.165e+07
5.250 	 1.106e+08 	 2.760e+07
5.350 	 1.951e+08 	 3.621e+07
5.450 	 1.560e+08 	 3.252e+07
5.550 	 1.884e+08 	 3.562e+07
5.650 	 1.883e+08 	 3.563e+07
5.750 	 2.142e+08 	 3.792e+07
5.850 	 1.881e+08 	 3.563e+07
5.950 	 2.596e+08 	 4.164e+07
6.050 	 2.725e+08 	 4.265e+07
6.150 	 2.594e+08 	 4.165e+07
6.250 	 2.203e+08 	 3.848e+07
6.350 	 3.502e+08 	 4.823e+07
6.450 	 4.282e+08 	 5.323e+07
6.550 	 3.696e+08 	 4.953e+07
6.650 	 4.345e+08 	 5.363e+07
6.750 	 4.019e+08 	 5.162e+07
6.850 	 4.473e+08 	 5.441e+07
6.950 	 4.733e+08 	 5.594e+07
7.050 	 5.122e+08 	 5.817e+07
7.150 	 5.186e+08 	 5.853e+07
7.250 	 6.030e+08 	 6.305e+07
7.350 	 4.404e+08 	 5.402e+07
7.450 	 4.403e+08 	 5.402e+07
7.550 	 6.548e+08 	 6.568e+07
7.650 	 5.897e+08 	 6.238e+07
7.750 	 6.871e+08 	 6.727e+07
7.850 	 5.050e+08 	 5.780e+07
7.950 	 5.179e+08 	 5.853e+07
8.050 	 5.829e+08 	 6.204e+07
8.150 	 5.568e+08 	 6.066e+07
8.250 	 4.201e+08 	 5.284e+07
8.350 	 6.216e+08 	 6.405e+07
8.450 	 5.240e+08 	 5.889e+07
8.550 	 4.589e+08 	 5.519e+07
8.650 	 3.483e+08 	 4.824e+07
8.750 	 4.522e+08 	 5.480e+07
8.850 	 2.961e+08 	 4.459e+07
8.950 	 4.000e+08 	 5.163e+07
9.050 	 3.740e+08 	 4.996e+07
9.150 	 5.104e+08 	 5.817e+07
9.250 	 4.713e+08 	 5.595e+07
9.350 	 6.013e+08 	 6.305e+07
9.450 	 6.532e+08 	 6.568e+07
9.550 	 5.101e+08 	 5.817e+07
9.650 	 6.596e+08 	 6.600e+07
9.750 	 7.180e+08 	 6.883e+07
9.850 	 6.919e+08 	 6.759e+07
9.950 	 5.618e+08 	 6.101e+07
10.050 	 7.373e+08 	 6.974e+07
10.150 	 5.681e+08 	 6.136e+07
10.250 	 4.640e+08 	 5.557e+07
10.350 	 4.574e+08 	 5.519e+07
10.450 	 3.273e+08 	 4.691e+07
10.550 	 2.037e+08 	 3.738e+07
10.650 	 2.556e+08 	 4.166e+07
10.750 	 3.076e+08 	 4.554e+07
10.850 	 2.815e+08 	 4.364e+07
10.950 	 3.074e+08 	 4.554e+07
11.050 	 3.008e+08 	 4.507e+07
11.150 	 3.983e+08 	 5.163e+07
11.250 	 3.527e+08 	 4.868e+07
11.350 	 3.591e+08 	 4.911e+07
11.450 	 4.631e+08 	 5.558e+07
11.550 	 4.955e+08 	 5.745e+07
11.650 	 3.719e+08 	 4.997e+07
11.750 	 3.328e+08 	 4.736e+07
11.850 	 2.742e+08 	 4.316e+07
11.950 	 1.766e+08 	 3.505e+07
12.050 	 1.570e+08 	 3.319e+07
12.150 	 4.637e+07 	 1.957e+07
12.250 	 3.329e+07 	 1.728e+07
12.350 	 2.671e+07 	 1.601e+07
12.450 	 7.129e+06 	 1.138e+07
12.550 	 1.355e+07 	 1.311e+07
12.650 	 1.348e+07 	 1.311e+07
12.750 	 1.340e+07 	 1.311e+07
12.850 	 6.820e+06 	 1.139e+07
12.950 	 1.325e+07 	 1.312e+07
13.050 	 6.667e+06 	 1.139e+07
13.150 	 1.959e+07 	 1.464e+07
13.250 	 1.159e+04 	 9.361e+06
13.350 	 -6.519e+04 	 9.363e+06
13.450 	 -6.644e+06 	 6.739e+06
13.550 	 -1.322e+07 	 6.742e+06
13.650 	 1.271e+07 	 1.313e+07
13.750 	 -3.697e+05 	 9.371e+06
13.850 	 -4.458e+05 	 9.373e+06
13.950 	 1.248e+07 	 1.313e+07
14.050 	 5.905e+06 	 1.141e+07
14.150 	 1.883e+07 	 1.466e+07
14.250 	 1.226e+07 	 1.314e+07
14.350 	 -8.236e+05 	 9.382e+06
14.450 	 -7.401e+06 	 6.767e+06
14.550 	 -7.476e+06 	 6.770e+06
14.650 	 3.796e+07 	 1.849e+07
14.750 	 -1.413e+07 	 6.775e+06
14.850 	 1.180e+07 	 1.314e+07
14.950 	 -1.274e+06 	 9.395e+06
15.050 	 5.152e+06 	 1.143e+07
15.150 	 -1.424e+06 	 9.399e+06
15.250 	 5.003e+06 	 1.143e+07
15.350 	 1.793e+07 	 1.467e+07
15.450 	 2.436e+07 	 1.605e+07
15.550 	 -1.473e+07 	 6.799e+06
15.650 	 1.121e+07 	 1.316e+07
15.750 	 4.632e+06 	 1.144e+07
15.850 	 -8.447e+06 	 6.807e+06
15.950 	 -2.018e+06 	 9.416e+06
16.050 	 -2.091e+06 	 9.418e+06
16.150 	 -2.165e+06 	 9.420e+06
16.250 	 1.727e+07 	 1.468e+07
16.350 	 -1.532e+07 	 6.822e+06
16.450 	 -2.385e+06 	 9.427e+06
16.550 	 -2.458e+06 	 9.429e+06
16.650 	 -9.033e+06 	 6.831e+06
16.750 	 -9.107e+06 	 6.834e+06
16.850 	 -9.180e+06 	 6.837e+06
16.950 	 -9.253e+06 	 6.840e+06
17.050 	 -2.824e+06 	 9.440e+06
17.150 	 -1.590e+07 	 6.846e+06
17.250 	 -2.969e+06 	 9.444e+06
17.350 	 -3.042e+06 	 9.446e+06
17.450 	 -3.114e+06 	 9.449e+06
17.550 	 2.282e+07 	 1.608e+07
17.650 	 2.925e+07 	 1.734e+07
17.750 	 -3.332e+06 	 9.456e+06
17.850 	 1.610e+07 	 1.471e+07
17.950 	 -1.648e+07 	 6.871e+06
18.050 	 1.596e+07 	 1.471e+07
18.150 	 2.880e+06 	 1.148e+07
18.250 	 9.311e+06 	 1.320e+07
18.350 	 -3.766e+06 	 9.469e+06
18.450 	 2.664e+06 	 1.149e+07
18.550 	 -3.909e+06 	 9.474e+06
18.650 	 9.023e+06 	 1.320e+07
18.750 	 2.449e+06 	 1.149e+07
18.850 	 2.378e+06 	 1.150e+07
18.950 	 8.808e+06 	 1.321e+07
19.050 	 -1.077e+07 	 6.907e+06
19.150 	 -1.734e+07 	 6.910e+06
19.250 	 5.622e+07 	 4.961e+07
19.350 	 0.000e+00 	 0.000e+00
19.450 	 0.000e+00 	 0.000e+00
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
