WRF ANALYSIS
Date & time = ,2024-05-22, 10:18
Display format=,3
Program version:,2021-05-25

Scan file = ,N240104-001-999_WRF_090-078_2_13425878_AI_13517316_S1_40X_4HR
Port & distance (cm) =,0782,41.9
WRF ID; Al blast(um) & cal=,13425878-g048 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,30,15,12.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.750,0.250,9.36

Fit limits (MeV):,10.900,12.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 11.343,0.385,1.030e+09
Value (raw stats):, 11.401,0.285,8.706e+08
Uncertainties
    Random:, 0.078,0.040,234.53%
    Systematic calib:, 0.061,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.036,0.040,8.21%
     DvE:, 0.027,0.006,234.38%
     Dmax:, 0.017,0.000,0.73%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.059,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 0.000e+00 	 0.000e+00
5.025 	 1.156e+09 	 4.002e+08
5.075 	 3.373e+08 	 1.183e+08
5.125 	 6.459e+08 	 1.326e+08
5.175 	 4.415e+08 	 1.113e+08
5.225 	 5.432e+08 	 1.224e+08
5.275 	 6.705e+08 	 1.350e+08
5.325 	 6.447e+08 	 1.326e+08
5.375 	 7.464e+08 	 1.421e+08
5.425 	 9.757e+08 	 1.614e+08
5.475 	 5.672e+08 	 1.250e+08
5.525 	 7.200e+08 	 1.398e+08
5.575 	 6.686e+08 	 1.350e+08
5.625 	 6.428e+08 	 1.326e+08
5.675 	 4.384e+08 	 1.113e+08
5.725 	 7.187e+08 	 1.398e+08
5.775 	 6.419e+08 	 1.326e+08
5.825 	 6.161e+08 	 1.301e+08
5.875 	 8.454e+08 	 1.510e+08
5.925 	 7.430e+08 	 1.421e+08
5.975 	 8.703e+08 	 1.531e+08
6.025 	 7.679e+08 	 1.444e+08
6.075 	 8.442e+08 	 1.510e+08
6.125 	 7.928e+08 	 1.466e+08
6.175 	 8.691e+08 	 1.531e+08
6.225 	 1.022e+09 	 1.654e+08
6.275 	 8.175e+08 	 1.488e+08
6.325 	 1.251e+09 	 1.822e+08
6.375 	 1.098e+09 	 1.712e+08
6.425 	 1.480e+09 	 1.977e+08
6.475 	 9.694e+08 	 1.614e+08
6.525 	 8.925e+08 	 1.552e+08
6.575 	 1.173e+09 	 1.768e+08
6.625 	 1.147e+09 	 1.750e+08
6.675 	 1.274e+09 	 1.840e+08
6.725 	 1.146e+09 	 1.750e+08
6.775 	 1.146e+09 	 1.750e+08
6.825 	 1.554e+09 	 2.025e+08
6.875 	 1.248e+09 	 1.822e+08
6.925 	 1.298e+09 	 1.858e+08
6.975 	 1.349e+09 	 1.893e+08
7.025 	 1.094e+09 	 1.712e+08
7.075 	 1.195e+09 	 1.786e+08
7.125 	 1.527e+09 	 2.009e+08
7.175 	 1.399e+09 	 1.927e+08
7.225 	 1.807e+09 	 2.180e+08
7.275 	 1.373e+09 	 1.910e+08
7.325 	 1.347e+09 	 1.893e+08
7.375 	 1.449e+09 	 1.960e+08
7.425 	 1.551e+09 	 2.026e+08
7.475 	 1.423e+09 	 1.944e+08
7.525 	 1.907e+09 	 2.239e+08
7.575 	 1.830e+09 	 2.195e+08
7.625 	 1.651e+09 	 2.089e+08
7.675 	 1.626e+09 	 2.073e+08
7.725 	 1.498e+09 	 1.993e+08
7.775 	 1.421e+09 	 1.944e+08
7.825 	 1.344e+09 	 1.893e+08
7.875 	 1.446e+09 	 1.960e+08
