WRF ANALYSIS
Date & time = ,2024-05-22, 09:59
Display format=,3
Program version:,2021-05-25

Scan file = ,N240104-001-999_WRF_090-124_3_13425851_AI_13517440_S1_40X_4HR
Port & distance (cm) =,1243,84.4
WRF ID; Al blast(um) & cal=,13425851-g021 *,0,cal16.1012

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-77),(0-63),-1.205,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,13.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.220,0.040,4.09

Fit limits (MeV):,9.500,12.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 9.983,0.446,3.493e+08
Value (raw stats):, 10.093,0.329,2.992e+08
Uncertainties
    Random:, 0.063,0.049,11.46%
    Systematic calib:, 0.067,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.033,0.043,3.56%
     DvE:, 0.020,0.023,10.86%
     Dmax:, 0.017,0.000,0.79%
     WRF nonlinearity:, 0.018,0.000,0.00%
     Cal. & processing:, 0.042,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.050 	 0.000e+00 	 0.000e+00
4.150 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 -1.019e+07 	 1.167e+08
4.650 	 4.063e+07 	 5.230e+07
4.750 	 2.227e+07 	 3.124e+07
4.850 	 -8.004e+06 	 2.104e+07
4.950 	 6.680e+06 	 1.517e+07
5.050 	 3.680e+06 	 1.142e+07
5.150 	 3.765e+07 	 2.275e+07
5.250 	 4.629e+07 	 2.159e+07
5.350 	 8.486e+07 	 2.517e+07
5.450 	 7.083e+07 	 2.316e+07
5.550 	 7.772e+07 	 2.418e+07
5.650 	 1.195e+08 	 2.961e+07
5.750 	 1.055e+08 	 2.792e+07
5.850 	 1.124e+08 	 2.878e+07
5.950 	 1.332e+08 	 3.122e+07
6.050 	 2.378e+08 	 4.129e+07
6.150 	 1.749e+08 	 3.559e+07
6.250 	 1.609e+08 	 3.419e+07
6.350 	 1.817e+08 	 3.627e+07
6.450 	 1.189e+08 	 2.962e+07
6.550 	 1.607e+08 	 3.419e+07
6.650 	 1.466e+08 	 3.274e+07
6.750 	 1.465e+08 	 3.274e+07
6.850 	 2.232e+08 	 4.009e+07
6.950 	 2.231e+08 	 4.009e+07
7.050 	 2.021e+08 	 3.823e+07
7.150 	 1.602e+08 	 3.420e+07
7.250 	 1.252e+08 	 3.043e+07
7.350 	 2.019e+08 	 3.823e+07
7.450 	 1.948e+08 	 3.759e+07
7.550 	 1.529e+08 	 3.348e+07
7.650 	 1.738e+08 	 3.559e+07
7.750 	 1.876e+08 	 3.694e+07
7.850 	 1.248e+08 	 3.043e+07
7.950 	 1.875e+08 	 3.694e+07
8.050 	 2.223e+08 	 4.010e+07
8.150 	 1.385e+08 	 3.199e+07
8.250 	 1.314e+08 	 3.122e+07
8.350 	 1.593e+08 	 3.420e+07
8.450 	 1.801e+08 	 3.627e+07
8.550 	 9.633e+07 	 2.705e+07
8.650 	 1.102e+08 	 2.879e+07
8.750 	 1.241e+08 	 3.044e+07
8.850 	 8.215e+07 	 2.519e+07
8.950 	 7.510e+07 	 2.420e+07
9.050 	 6.805e+07 	 2.317e+07
9.150 	 8.891e+07 	 2.614e+07
9.250 	 1.586e+08 	 3.420e+07
9.350 	 1.167e+08 	 2.963e+07
9.450 	 2.143e+08 	 3.949e+07
9.550 	 2.142e+08 	 3.949e+07
9.650 	 2.560e+08 	 4.303e+07
9.750 	 2.629e+08 	 4.359e+07
9.850 	 2.349e+08 	 4.130e+07
9.950 	 3.814e+08 	 5.223e+07
10.050 	 2.627e+08 	 4.359e+07
10.150 	 2.766e+08 	 4.470e+07
10.250 	 2.486e+08 	 4.246e+07
10.350 	 2.625e+08 	 4.359e+07
