WRF ANALYSIS
Date & time = ,2024-04-01, 13:55
Display format=,3
Program version:,2021-05-25

Scan file = ,N240207-001-999_WRF_000-000_4_13425889_AL_13517446_S1_40X_3.5HR
Port & distance (cm) =,004,52.0
WRF ID; Al blast(um) & cal=,13425889-g059 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,17.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,5.30,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,11.67

Fit limits (MeV):,12.000,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 13.337,0.379,1.590e+07
Value (raw stats):, 13.420,0.412,1.784e+07
Uncertainties
    Random:, 0.650,1.130,422.05%
    Systematic calib:, 0.053,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.134,1.125,39.22%
     DvE:, 0.634,0.102,420.22%
     Dmax:, 0.011,0.000,0.41%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.053,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 0.000e+00 	 0.000e+00
5.050 	 0.000e+00 	 0.000e+00
5.150 	 -2.453e+06 	 3.793e+07
5.250 	 -3.060e+06 	 1.557e+07
5.350 	 -4.073e+06 	 8.473e+06
5.450 	 1.596e+06 	 5.208e+06
5.550 	 1.190e+07 	 8.987e+06
5.650 	 -2.965e+06 	 3.446e+06
5.750 	 4.162e+05 	 3.447e+06
5.850 	 -3.044e+06 	 3.448e+06
5.950 	 -1.504e+05 	 2.393e+06
6.050 	 -2.553e+06 	 2.394e+06
6.150 	 -2.144e+05 	 2.394e+06
6.250 	 -2.616e+06 	 2.395e+06
6.350 	 -5.996e+05 	 1.590e+06
6.450 	 9.444e+05 	 2.235e+06
6.550 	 -2.220e+06 	 1.591e+06
6.650 	 -2.246e+06 	 1.591e+06
6.750 	 -7.013e+05 	 1.592e+06
6.850 	 -2.296e+06 	 1.592e+06
6.950 	 2.439e+05 	 1.466e+06
7.050 	 2.280e+06 	 2.065e+06
7.150 	 2.044e+05 	 1.467e+06
7.250 	 1.849e+05 	 1.467e+06
7.350 	 1.653e+05 	 1.467e+06
7.450 	 1.456e+05 	 1.468e+06
