WRF ANALYSIS
Date & time = ,2024-04-01, 14:03
Display format=,3
Program version:,2021-05-25

Scan file = ,N240207-001-999_WRF_090-078_1_13425942_AL_13517423_S1_40X_5HR
Port & distance (cm) =,781,51.8
WRF ID; Al blast(um) & cal=,13425942-g112 *,0,cal19.0813

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,35,15,23.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.50,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.300,0.100,9.01

Fit limits (MeV):,11.000,14.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 12.400,0.388,8.292e+07
Value (raw stats):, 12.314,0.396,8.562e+07
Uncertainties
    Random:, 0.124,0.247,47.83%
    Systematic calib:, 0.057,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.074,0.234,20.49%
     DvE:, 0.095,0.079,43.22%
     Dmax:, 0.009,0.000,0.36%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.025,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 0.000e+00 	 0.000e+00
4.950 	 0.000e+00 	 0.000e+00
5.050 	 0.000e+00 	 0.000e+00
5.150 	 1.408e+07 	 1.921e+07
5.250 	 5.410e+06 	 1.133e+07
5.350 	 8.488e+07 	 2.593e+07
5.450 	 6.996e+07 	 1.989e+07
5.550 	 6.254e+07 	 1.627e+07
5.650 	 9.797e+07 	 2.012e+07
5.750 	 9.511e+07 	 1.735e+07
5.850 	 1.494e+08 	 2.157e+07
5.950 	 1.209e+08 	 1.720e+07
6.050 	 1.398e+08 	 1.845e+07
6.150 	 1.255e+08 	 1.752e+07
6.250 	 1.231e+08 	 1.736e+07
6.350 	 1.325e+08 	 1.799e+07
6.450 	 1.348e+08 	 1.814e+07
6.550 	 1.442e+08 	 1.875e+07
6.650 	 1.536e+08 	 1.934e+07
6.750 	 1.913e+08 	 2.152e+07
6.850 	 1.252e+08 	 1.752e+07
6.950 	 1.723e+08 	 2.046e+07
7.050 	 1.676e+08 	 2.018e+07
7.150 	 1.510e+08 	 1.919e+07
7.250 	 1.439e+08 	 1.875e+07
7.350 	 1.556e+08 	 1.948e+07
7.450 	 1.744e+08 	 2.059e+07
7.550 	 1.838e+08 	 2.113e+07
