type,DIM,position,distance,theta,phi,filter ID,bert ID,ernie ID,snout configuration
WRF,TC000-000,1,52.02628184445273,13.38670929068215,165.57334518350694,13425894,13517447,,HGXD4-H-1200-6.35
WRF,TC000-000,2,52.02628184445273,13.38670929068215,194.42665481649303,13425867,13517443,,HGXD4-H-1200-6.35
WRF,TC000-000,3,52.02628184445273,13.38670929068215,345.57334518350694,13425858,13517444,,HGXD4-H-1200-6.35
WRF,TC000-000,4,52.02628184445273,13.38670929068215,14.426654816493068,13425889,13517446,,HGXD4-H-1200-6.35
WRF,TC090-078,1,51.83173660578625,76.97115807939502,81.40667096838155,13425942,13517423,,RGXD4-H-1200-6.35
WRF,TC090-078,4,51.83173660578625,103.02884192060498,81.40667096838155,13425919,13517425,,RGXD4-H-1200-6.35
SRF,TC090-124,1,299.32516391250164,87.76636736403816,124.5748791142882,14045604,13517426,13517427,HGXD2-H-1200-12.7
WRF,TC090-124,2,299.32516391250164,87.76636736403816,123.4251208857118,13425856,13517448,,HGXD2-H-1200-12.7
SRF,TC090-124,3,299.32516391250164,92.23363263596184,123.4251208857118,14045391,13517424,13517422,HGXD2-H-1200-12.7
WRF,TC090-124,4,299.32516391250164,92.23363263596184,124.5748791142882,13425852,13517445,,HGXD2-H-1200-12.7
